FN,FP,TN,TP,sr,t
0.0,135.0,0.0,1214.0,2,22.464000000000002
0.0,270.0,0.0,1079.0,2,23.397
944.0,0.0,405.0,0.0,2,24.643
809.0,0.0,540.0,0.0,2,27.068
674.0,0.0,675.0,0.0,2,30.396
539.0,0.0,810.0,0.0,2,33.649
405.0,0.0,944.0,0.0,2,39.013000000000005
270.0,0.0,1079.0,0.0,2,45.168
135.0,0.0,1214.0,0.0,2,58.173
37.3,48.6,86.4,1176.7,676,22.464000000000002
75.9,81.3,188.7,1003.1,676,23.397
62.1,80.8,324.2,881.9,676,24.643
104.7,73.9,466.1,704.3,676,27.068
91.5,67.6,607.4,582.5,676,30.396
51.9,72.0,737.0,488.1,676,33.649
87.9,97.8,846.2,317.1,676,39.013000000000005
94.9,97.3,981.7,175.1,676,45.168
87.9,8.3,1205.7,47.1,676,58.173
33.1,54.3,80.7,1180.9,1350,22.464000000000002
58.1,78.9,191.1,1020.9,1350,23.397
52.4,78.5,326.5,891.6,1350,24.643
112.2,82.8,457.2,696.8,1350,27.068
100.6,57.3,617.7,573.4,1350,30.396
51.6,67.5,742.5,487.4,1350,33.649
79.7,99.0,845.0,325.3,1350,39.013000000000005
92.6,90.2,988.8,177.4,1350,45.168
85.8,9.3,1204.7,49.2,1350,58.173
33.8,49.4,85.6,1180.2,2024,22.464000000000002
20.1,103.5,166.5,1058.9,2024,23.397
51.2,77.9,327.1,892.8,2024,24.643
111.1,89.4,450.6,697.9,2024,27.068
94.1,58.0,617.0,579.9,2024,30.396
54.9,52.2,756.8,485.1,2024,33.649
46.7,112.5,831.5,358.3,2024,39.013000000000005
86.5,97.0,982.0,183.5,2024,45.168
84.3,6.2,1207.8,50.7,2024,58.173
35.0,52.4,82.6,1179.0,2698,22.464000000000002
25.0,104.6,165.4,1054.0,2698,23.397
52.1,76.0,329.0,891.9,2698,24.643
116.7,89.5,450.5,692.3,2698,27.068
85.5,70.2,604.8,588.5,2698,30.396
56.8,57.0,753.0,482.2,2698,33.649
84.6,87.0,857.0,320.4,2698,39.013000000000005
68.5,118.2,960.8,201.5,2698,45.168
81.3,8.0,1206.0,53.7,2698,58.173
38.1,44.2,90.8,1175.9,3372,22.464000000000002
29.4,96.2,173.8,1049.6,3372,23.397
49.4,82.3,322.7,894.6,3372,24.643
84.9,117.8,422.2,724.1,3372,27.068
89.3,58.3,616.7,584.7,3372,30.396
51.3,66.0,744.0,487.7,3372,33.649
70.8,102.2,841.8,334.2,3372,39.013000000000005
64.8,113.6,965.4,205.2,3372,45.168
84.8,9.3,1204.7,50.2,3372,58.173
38.9,42.9,92.1,1175.1,4046,22.464000000000002
33.5,89.7,180.3,1045.5,4046,23.397
50.4,82.8,322.2,893.6,4046,24.643
79.7,122.0,418.0,729.3,4046,27.068
86.8,58.1,616.9,587.2,4046,30.396
56.2,54.5,754.5,483.8,4046,33.649
72.1,101.7,842.3,332.9,4046,39.013000000000005
94.1,82.6,996.4,175.9,4046,45.168
84.7,6.6,1207.4,50.3,4046,58.173
34.7,51.4,83.6,1179.3,4720,22.464000000000002
37.6,95.8,174.2,1041.4,4720,23.397
41.2,79.1,325.9,902.8,4720,24.643
109.2,91.2,448.8,699.8,4720,27.068
79.9,65.5,609.5,594.1,4720,30.396
57.3,58.4,751.6,481.7,4720,33.649
67.8,98.1,845.9,337.2,4720,39.013000000000005
94.8,82.0,997.0,175.2,4720,45.168
84.0,8.0,1206.0,51.0,4720,58.173
28.2,51.8,83.2,1185.8,5394,22.464000000000002
45.5,83.4,186.6,1033.5,5394,23.397
43.5,80.2,324.8,900.5,5394,24.643
