FN,FP,MSE,TN,TP,sr,t
0.0,135.0,26.36344542942921,0.0,1214.0,2,22.464000000000002
0.0,270.0,34.74696734032618,0.0,1079.0,2,23.397
0.0,405.0,80.54483696693845,0.0,944.0,2,24.643
161.8,432.0,42.80909642831728,108.0,647.2,2,27.068
269.6,405.0,27.521264801130467,270.0,404.4,2,30.396
269.5,405.0,27.195900521571538,405.0,269.5,2,33.649
40.5,849.6,62.224780371015584,94.4,364.5,2,39.013000000000005
270.0,0.0,39.91810333091178,1079.0,0.0,2,45.168
135.0,0.0,25.922874255893255,1214.0,0.0,2,58.173
0.0,135.0,8.474540468135649,0.0,1214.0,676,22.464000000000002
0.0,270.0,8.05895933981937,0.0,1079.0,676,23.397
0.0,405.0,8.934131945329712,0.0,944.0,676,24.643
177.7,26.3,8.982592155342363,513.7,631.3,676,27.068
107.0,77.1,7.846566059561987,597.9,567.0,676,30.396
41.2,152.8,8.317820798072301,656.2,498.8,676,33.649
112.2,104.2,7.275734813857712,839.8,292.8,676,39.013000000000005
78.5,137.6,7.874504020115317,941.4,191.5,676,45.168
87.2,12.8,8.56977098635367,1201.2,47.8,676,58.173
0.0,135.0,7.635028592528191,0.0,1214.0,1350,22.464000000000002
0.0,270.0,7.738626249255802,0.0,1079.0,1350,23.397
0.0,405.0,7.2844544501244695,0.0,944.0,1350,24.643
191.2,27.9,7.345761819846134,512.1,617.8,1350,27.068
103.7,84.9,7.594919745871186,590.1,570.3,1350,30.396
40.3,158.5,8.164441873858468,651.5,498.7,1350,33.649
102.1,111.3,7.3941429100635405,832.7,302.9,1350,39.013000000000005
71.5,164.6,7.538717072375678,914.4,198.5,1350,45.168
79.4,13.3,7.148710236672009,1200.7,55.6,1350,58.173
0.0,135.0,7.281945075966972,0.0,1214.0,2024,22.464000000000002
0.0,270.0,6.9396520391063845,0.0,1079.0,2024,23.397
0.0,405.0,7.25685231772673,0.0,944.0,2024,24.643
180.0,28.4,7.827028645674915,511.6,629.0,2024,27.068
100.8,76.6,8.013928655959479,598.4,573.2,2024,30.396
40.1,156.6,7.751560580084631,652.4,499.9,2024,33.649
98.7,120.9,7.4431833944112125,823.1,306.3,2024,39.013000000000005
67.4,162.4,7.479745068391648,916.6,202.6,2024,45.168
87.8,10.6,8.184554322449838,1203.4,47.2,2024,58.173
0.0,135.0,7.68124879650415,0.0,1214.0,2698,22.464000000000002
0.0,270.0,7.405528957110948,0.0,1079.0,2698,23.397
0.0,405.0,7.410190534225502,0.0,944.0,2698,24.643
175.0,24.9,8.014936312885172,515.1,634.0,2698,27.068
99.5,78.6,7.22823621776447,596.4,574.5,2698,30.396
40.1,157.1,7.942717232939373,652.9,498.9,2698,33.649
102.7,98.7,7.3983180266849,845.3,302.3,2698,39.013000000000005
68.5,164.6,7.600363870917289,914.4,201.5,2698,45.168
76.8,10.7,6.941720680401348,1203.3,58.2,2698,58.173
0.0,135.0,6.662476585078042,0.0,1214.0,3372,22.464000000000002
0.0,270.0,7.926547846858452,0.0,1079.0,3372,23.397
0.0,405.0,7.607387323316869,0.0,944.0,3372,24.643
185.4,25.5,7.123690515230218,514.5,623.6,3372,27.068
101.8,78.7,6.791642054408139,596.3,572.2,3372,30.396
41.4,165.9,7.0080144904219,644.1,497.6,3372,33.649
107.1,98.5,7.814629901928896,845.5,297.9,3372,39.013000000000005
65.3,173.7,7.875567629582918,905.3,204.7,3372,45.168
86.5,10.9,7.778012481688829,1203.1,48.5,3372,58.173
0.0,135.0,6.751541958927879,0.0,1214.0,4046,22.464000000000002
0.0,270.0,8.200822366283901,0.0,1079.0,4046,23.397
0.0,405.0,9.101209207757059,0.0,944.0,4046,24.643
186.8,24.1,7.481463308183891,515.9,622.2,4046,27.068
104.4,79.9,6.781910769466757,595.1,569.6,4046,30.396
38.6,150.2,7.259265000641885,658.8,501.4,4046,33.649
106.4,105.8,7.027417681942653,838.2,298.6,4046,39.013000000000005
60.8,171.4,7.975847060022294,907.6,209.2,4046,45.168
87.2,11.4,7.951973700846518,1202.6,47.8,4046,58.173
0.0,135.0,7.61072352820018,0.0,1214.0,4720,22.464000000000002
0.0,270.0,9.497740119817651,0.0,1079.0,4720,23.397
0.0,405.0,7.398261581022285,0.0,944.0,4720,24.643
186.8,28.1,6.830023335632532,511.9,622.2,4720,27.068
100.3,80.0,7.847060163587836,595.0,573.7,4720,30.396
38.9,149.3,6.845782956983572,660.7,500.1,4720,33.649
106.0,98.4,8.673997222350135,845.6,299.0,4720,39.013000000000005
56.7,178.9,7.267493674063817,900.1,213.3,4720,45.168
84.0,10.2,8.232023600583503,1203.8,51.0,4720,58.173
0.0,135.0,7.386612450869737,0.0,1214.0,5394,22.464000000000002
0.0,270.0,7.481550106059736,0.0,1079.0,5394,23.397
0.0,405.0,7.443000914914064,0.0,944.0,5394,24.643
186.0,27.3,7.734289231834033,512.7,623.0,5394,27.068
100.6,81.4,7.632177401502153,593.6,573.4,5394,30.396
37.3,152.8,6.834450922848319,656.2,502.7,5394,33.649
105.2,91.4,8.045079186433965,852.6,299.8,5394,39.013000000000005
63.4,166.7,7.2721640804430665,912.3,206.6,5394,45.168
81.6,8.6,7.4303801244680745,1205.4,53.4,5394,58.173
0.0,135.0,7.542964712301878,0.0,1214.0,6068,22.464000000000002
0.0,270.0,7.789638075050009,0.0,1079.0,6068,23.397
0.0,405.0,7.56436063194969,0.0,944.0,6068,24.643
183.4,28.4,6.933344768486959,511.6,625.6,6068,27.068
101.1,76.9,7.746531714288676,598.1,572.9,6068,30.396
40.4,155.8,7.616906222190328,654.2,498.6,6068,33.649
103.8,97.7,6.844557739342271,846.3,301.2,6068,39.013000000000005
61.8,173.2,7.780599796020297,905.8,208.2,6068,45.168
78.3,11.5,7.116983636414614,1202.5,56.7,6068,58.173
0.0,135.0,8.319944446819658,0.0,1214.0,6742,22.464000000000002
0.0,270.0,7.950350370208628,0.0,1079.0,6742,23.397
0.0,405.0,7.094106865838486,0.0,944.0,6742,24.643
184.8,29.2,7.837450328264721,510.8,624.2,6742,27.068
102.5,78.4,8.1407357177337,596.6,571.5,6742,30.396
40.3,155.7,7.77293890768492,653.3,499.7,6742,33.649
96.9,96.8,6.733693863419527,847.2,308.1,6742,39.013000000000005
63.0,177.3,7.870982647190786,901.7,207.0,6742,45.168
84.5,15.8,7.41751988589579,1198.2,50.5,6742,58.173
0.0,135.0,7.530705309188244,0.0,1214.0,7416,22.464000000000002
0.0,270.0,7.82692090791784,0.0,1079.0,7416,23.397
0.0,405.0,8.268753002777995,0.0,944.0,7416,24.643
184.0,29.7,7.904717739779789,510.3,625.0,7416,27.068
101.6,79.2,8.196510690355412,595.8,572.4,7416,30.396
40.7,153.8,6.953041403641999,656.2,498.3,7416,33.649
103.5,103.1,7.6026127632154825,840.9,301.5,7416,39.013000000000005
60.8,174.1,7.409591621136563,904.9,209.2,7416,45.168
78.5,10.4,7.131491673251672,1203.6,56.5,7416,58.173
0.0,135.0,8.369459520392777,0.0,1214.0,8090,22.464000000000002
0.0,270.0,7.05467077755119,0.0,1079.0,8090,23.397
0.0,405.0,7.0607392356431955,0.0,944.0,8090,24.643
185.0,25.2,7.370493654452271,514.8,624.0,8090,27.068
101.7,76.2,8.166895876616833,598.8,572.3,8090,30.396
41.8,156.0,7.181228450686023,653.0,498.2,8090,33.649
103.5,104.6,6.893914785626295,839.4,301.5,8090,39.013000000000005
64.1,167.1,7.694871542629242,911.9,205.9,8090,45.168
83.0,11.6,7.376193661757232,1202.4,52.0,8090,58.173
0.0,135.0,7.658434126743276,0.0,1214.0,8764,22.464000000000002
0.0,270.0,8.054058163771291,0.0,1079.0,8764,23.397
0.0,405.0,6.599585164716669,0.0,944.0,8764,24.643
185.7,32.8,8.287614484897208,507.2,623.3,8764,27.068
105.3,82.0,6.940244225891895,593.0,568.7,8764,30.396
42.3,157.9,8.607612102074224,652.1,496.7,8764,33.649
103.6,95.7,7.1786615611796005,848.3,301.4,8764,39.013000000000005
65.3,168.7,7.560601288038482,910.3,204.7,8764,45.168
80.6,11.4,8.182983947742116,1202.6,54.4,8764,58.173
0.0,135.0,7.797402758010229,0.0,1214.0,9438,22.464000000000002
0.0,270.0,7.089850531590606,0.0,1079.0,9438,23.397
0.0,405.0,7.460208337413579,0.0,944.0,9438,24.643
179.3,29.6,7.3028525062298915,510.4,629.7,9438,27.068
101.7,82.1,7.580251417700916,592.9,572.3,9438,30.396
38.7,154.0,7.785999196067768,656.0,500.3,9438,33.649
106.6,100.8,8.069483846510094,843.2,298.4,9438,39.013000000000005
62.9,173.3,6.847710103200666,905.7,207.1,9438,45.168
80.1,10.5,7.254333391436177,1203.5,54.9,9438,58.173
0.0,135.0,7.311528362998665,0.0,1214.0,10112,22.464000000000002
0.0,270.0,7.371503527788332,0.0,1079.0,10112,23.397
0.0,405.0,8.362424312973843,0.0,944.0,10112,24.643
179.5,25.1,7.066506034050303,514.9,629.5,10112,27.068
103.9,76.1,6.971682757401199,598.9,570.1,10112,30.396
36.6,150.9,7.519419657041958,658.1,503.4,10112,33.649
100.5,93.3,7.632187985291411,850.7,304.5,10112,39.013000000000005
58.7,172.6,8.043077692265037,906.4,211.3,10112,45.168
82.0,10.6,7.533934957308309,1203.4,53.0,10112,58.173
0.0,135.0,8.151330990762666,0.0,1214.0,10786,22.464000000000002
0.0,270.0,7.8713486086043805,0.0,1079.0,10786,23.397
0.0,405.0,7.887363892954044,0.0,944.0,10786,24.643
184.5,28.1,6.6449920528754705,511.9,624.5,10786,27.068
102.6,81.7,7.857124694104141,593.3,571.4,10786,30.396
40.4,155.4,8.164485373871434,654.6,498.6,10786,33.649
102.7,99.2,6.875613045877704,844.8,302.3,10786,39.013000000000005
64.4,166.5,7.325861829853774,912.5,205.6,10786,45.168
82.2,12.0,7.080157262134153,1202.0,52.8,10786,58.173
0.0,135.0,7.28678451194862,0.0,1214.0,11460,22.464000000000002
0.0,270.0,8.051646894871714,0.0,1079.0,11460,23.397
0.0,405.0,8.634422762489336,0.0,944.0,11460,24.643
184.6,28.4,7.833759539415995,511.6,624.4,11460,27.068
101.3,76.9,7.974243466580559,598.1,572.7,11460,30.396
38.4,155.4,7.47944483472096,653.6,501.6,11460,33.649
103.7,102.8,7.089463112029129,842.2,300.3,11460,39.013000000000005
70.0,172.4,7.6378458268325105,906.6,200.0,11460,45.168
79.8,11.3,7.184827178576836,1202.7,55.2,11460,58.173
0.0,135.0,7.382784701189618,0.0,1214.0,12134,22.464000000000002
0.0,271.0,6.832374172048517,0.0,1078.0,12134,23.397
0.0,404.0,8.743875335435837,0.0,945.0,12134,24.643
181.7,26.5,7.317650737481586,513.5,627.3,12134,27.068
102.6,79.7,6.962954328009616,595.3,571.4,12134,30.396
39.6,154.8,7.32443276301409,655.2,499.4,12134,33.649
105.5,101.7,7.1182590396754595,843.3,298.5,12134,39.013000000000005
65.8,166.6,6.936452139207844,912.4,204.2,12134,45.168
77.5,10.6,7.22545544874059,1203.4,57.5,12134,58.173
