class_weight,criterion,file,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,random_state,results,splitter
,entropy,Apache,,,10,1e-07,1,2,0.0,False,,./dataTest/Apache-0001-classification.csv,best
,mse,Apache,,,10,1e-07,1,2,0.0,False,,./dataTest/Apache-0002-regression.csv,best
,entropy,Apache,,,10,1e-07,2,2,0.0,False,,./dataTest/Apache-0003-classification.csv,best
,mse,Apache,,,10,1e-07,2,2,0.0,False,,./dataTest/Apache-0004-regression.csv,best
,entropy,Apache,,,20,1e-07,1,2,0.0,False,,./dataTest/Apache-0005-classification.csv,best
,mse,Apache,,,20,1e-07,1,2,0.0,False,,./dataTest/Apache-0006-regression.csv,best
,entropy,Apache,,,20,1e-07,2,2,0.0,False,,./dataTest/Apache-0007-classification.csv,best
,mse,Apache,,,20,1e-07,2,2,0.0,False,,./dataTest/Apache-0008-regression.csv,best
,entropy,Apache,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/Apache-0009-classification.csv,best
,mse,Apache,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/Apache-0010-regression.csv,best
,entropy,Apache,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/Apache-0011-classification.csv,best
,mse,Apache,10.0,,10,1e-07,2,2,0.0,False,,./dataTest/Apache-0012-regression.csv,best
,entropy,Apache,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/Apache-0013-classification.csv,best
,mse,Apache,10.0,,20,1e-07,1,2,0.0,False,,./dataTest/Apache-0014-regression.csv,best
,entropy,Apache,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/Apache-0015-classification.csv,best
,mse,Apache,10.0,,20,1e-07,2,2,0.0,False,,./dataTest/Apache-0016-regression.csv,best
,entropy,Apache,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/Apache-0017-classification.csv,best
,mse,Apache,20.0,,10,1e-07,1,2,0.0,False,,./dataTest/Apache-0018-regression.csv,best
,entropy,Apache,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/Apache-0019-classification.csv,best
,mse,Apache,20.0,,10,1e-07,2,2,0.0,False,,./dataTest/Apache-0020-regression.csv,best
,entropy,Apache,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/Apache-0021-classification.csv,best
,mse,Apache,20.0,,20,1e-07,1,2,0.0,False,,./dataTest/Apache-0022-regression.csv,best
,entropy,Apache,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/Apache-0023-classification.csv,best
,mse,Apache,20.0,,20,1e-07,2,2,0.0,False,,./dataTest/Apache-0024-regression.csv,best
,entropy,BerkeleyC,,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0001-classification.csv,best
,mse,BerkeleyC,,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0002-regression.csv,best
,entropy,BerkeleyC,,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0003-classification.csv,best
,mse,BerkeleyC,,,10,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0004-regression.csv,best
,entropy,BerkeleyC,,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0005-classification.csv,best
,mse,BerkeleyC,,,20,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0006-regression.csv,best
,entropy,BerkeleyC,,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0007-classification.csv,best
,mse,BerkeleyC,,,20,1e-07,2,2,0.0,False,,./dataTest/BerkeleyC-0008-regression.csv,best
,entropy,BerkeleyC,10.0,,10,1e-07,1,2,0.0,False,,./dataTest/BerkeleyC-0009-classification.csv,best
