FN,FP,TN,TP,sr,t
0.0,3.0,0.0,17.0,2,960
0.0,5.0,0.0,15.0,2,1020
6.375,2.075,3.925,7.625,2,1080
4.8,3.05,4.95,7.2,2,1140
3.975,4.125,6.875,5.025,2,1230
2.95,4.975,7.025,5.05,2,1320
2.0,5.8,8.2,4.0,2,1770
4.0,0.0,16.0,0.0,2,1980
2.0,0.0,18.0,0.0,2,2160
0.0,3.0,0.0,17.0,3,960
6.425,2.025,2.975,8.575,3,1020
5.75,2.275,3.725,8.25,3,1080
4.625,3.3,4.7,7.375,3,1140
3.625,4.875,6.125,5.375,3,1230
3.075,4.75,7.25,4.925,3,1320
2.2,6.225,7.775,3.8,3,1770
1.625,6.975,9.025,2.375,3,1980
2.0,0.0,18.0,0.0,3,2160
6.475,1.0,2.0,10.525,4,960
5.275,1.9,3.1,9.725,4,1020
5.025,2.3,3.7,8.975,4,1080
4.65,2.775,5.225,7.35,4,1140
3.4,5.0,6.0,5.6,4,1230
2.4,4.275,7.725,5.6,4,1320
1.675,4.675,9.325,4.325,4,1770
1.5,6.4,9.6,2.5,4,1980
2.0,0.0,18.0,0.0,4,2160
5.125,1.4,1.6,11.875,5,960
4.9,2.025,2.975,10.1,5,1020
4.775,2.65,3.35,9.225,5,1080
4.025,2.825,5.175,7.975,5,1140
3.8,3.7,7.3,5.2,5,1230
2.5,3.725,8.275,5.5,5,1320
2.9,3.45,10.55,3.1,5,1770
1.7,5.125,10.875,2.3,5,1980
2.0,0.0,18.0,0.0,5,2160
5.575,1.15,1.85,11.425,6,960
4.375,2.875,2.125,10.625,6,1020
3.6,2.475,3.525,10.4,6,1080
3.25,3.125,4.875,8.75,6,1140
2.8,3.175,7.825,6.2,6,1230
3.7,2.525,9.475,4.3,6,1320
2.25,3.425,10.575,3.75,6,1770
1.95,4.225,11.775,2.05,6,1980
0.775,5.225,12.775,1.225,6,2160
2.9,1.4,1.6,14.1,7,960
3.5,2.2,2.8,11.5,7,1020
3.575,2.375,3.625,10.425,7,1080
3.15,2.825,5.175,8.85,7,1140
3.65,3.05,7.95,5.35,7,1230
2.325,2.95,9.05,5.675,7,1320
2.475,3.475,10.525,3.525,7,1770
1.775,2.975,13.025,2.225,7,1980
0.875,4.05,13.95,1.125,7,2160
3.775,1.575,1.425,13.225,8,960
2.675,2.325,2.675,12.325,8,1020
2.7,2.5,3.5,11.3,8,1080
2.725,3.325,4.675,9.275,8,1140
2.425,3.45,7.55,6.575,8,1230
2.4,2.25,9.75,5.6,8,1320
1.9,2.275,11.725,4.1,8,1770
2.125,3.5,12.5,1.875,8,1980
1.175,3.475,14.525,0.825,8,2160
3.55,1.225,1.775,13.45,9,960
1.9,2.2,2.8,13.1,9,1020
3.625,2.475,3.525,10.375,9,1080
3.325,2.825,5.175,8.675,9,1140
2.4,3.0,8.0,6.6,9,1230
1.775,2.125,9.875,6.225,9,1320
1.0,1.8,12.2,5.0,9,1770
1.4,3.0,13.0,2.6,9,1980
1.075,3.5,14.5,0.925,9,2160
3.45,1.625,1.375,13.55,10,960
2.675,2.25,2.75,12.325,10,1020
2.525,2.875,3.125,11.475,10,1080
2.875,3.075,4.925,9.125,10,1140
2.375,3.9,7.1,6.625,10,1230
1.65,1.975,10.025,6.35,10,1320
1.65,2.15,11.85,4.35,10,1770
1.45,3.1,12.9,2.55,10,1980
0.925,4.4,13.6,1.075,10,2160
3.025,1.225,1.775,13.975,11,960
2.1,1.825,3.175,12.9,11,1020
2.975,2.45,3.55,11.025,11,1080
2.55,2.875,5.125,9.45,11,1140
2.7,2.575,8.425,6.3,11,1230
2.275,1.675,10.325,5.725,11,1320
1.7,1.55,12.45,4.3,11,1770
2.0,2.15,13.85,2.0,11,1980
0.925,3.2,14.8,1.075,11,2160
2.25,1.55,1.45,14.75,12,960
2.025,1.625,3.375,12.975,12,1020
2.925,1.85,4.15,11.075,12,1080
2.6,2.65,5.35,9.4,12,1140
2.0,2.15,8.85,7.0,12,1230
2.325,2.15,9.85,5.675,12,1320
1.475,1.625,12.375,4.525,12,1770
1.95,1.425,14.575,2.05,12,1980
1.15,2.925,15.075,0.85,12,2160
2.325,1.45,1.55,14.675,13,960
2.45,2.25,2.75,12.55,13,1020
2.625,2.425,3.575,11.375,13,1080
2.65,2.95,5.05,9.35,13,1140
1.65,2.3,8.7,7.35,13,1230
1.5,1.575,10.425,6.5,13,1320
1.375,2.2,11.8,4.625,13,1770
2.0,2.3,13.7,2.0,13,1980
1.275,2.275,15.725,0.725,13,2160
2.575,1.275,1.725,14.425,14,960
2.025,1.725,3.275,12.975,14,1020
2.975,2.2,3.8,11.025,14,1080
2.25,2.3,5.7,9.75,14,1140
2.2,2.575,8.425,6.8,14,1230
1.425,1.75,10.25,6.575,14,1320
1.225,1.8,12.2,4.775,14,1770
1.5,2.05,13.95,2.5,14,1980
1.0,2.55,15.45,1.0,14,2160
1.9,1.325,1.675,15.1,15,960
2.0,1.8,3.2,13.0,15,1020
2.35,1.65,4.35,11.65,15,1080
2.175,2.8,5.2,9.825,15,1140
2.075,2.375,8.625,6.925,15,1230
1.2,1.45,10.55,6.8,15,1320
1.45,1.175,12.825,4.55,15,1770
1.725,1.5,14.5,2.275,15,1980
1.15,2.125,15.875,0.85,15,2160
2.15,1.575,1.425,14.85,16,960
2.0,1.525,3.475,13.0,16,1020
2.55,2.125,3.875,11.45,16,1080
2.45,2.425,5.575,9.55,16,1140
2.125,2.6,8.4,6.875,16,1230
1.225,1.5,10.5,6.775,16,1320
0.825,1.525,12.475,5.175,16,1770
1.7,2.1,13.9,2.3,16,1980
0.725,2.475,15.525,1.275,16,2160
1.75,1.3,1.7,15.25,17,960
2.425,1.475,3.525,12.575,17,1020
2.425,1.7,4.3,11.575,17,1080
3.0,1.9,6.1,9.0,17,1140
2.35,2.175,8.825,6.65,17,1230
1.025,1.775,10.225,6.975,17,1320
0.925,0.675,13.325,5.075,17,1770
1.525,1.35,14.65,2.475,17,1980
0.975,1.85,16.15,1.025,17,2160
1.95,1.15,1.85,15.05,18,960
1.4,1.375,3.625,13.6,18,1020
3.225,2.25,3.75,10.775,18,1080
2.25,2.4,5.6,9.75,18,1140
2.225,2.05,8.95,6.775,18,1230
1.425,1.625,10.375,6.575,18,1320
0.975,0.95,13.05,5.025,18,1770
1.8,2.175,13.825,2.2,18,1980
1.05,1.8,16.2,0.95,18,2160
1.825,1.25,1.75,15.175,19,960
1.825,1.4,3.6,13.175,19,1020
1.9,1.675,4.325,12.1,19,1080
2.3,2.1,5.9,9.7,19,1140
2.025,2.225,8.775,6.975,19,1230
1.25,1.8,10.2,6.75,19,1320
0.975,0.975,13.025,5.025,19,1770
1.525,1.3,14.7,2.475,19,1980
1.175,2.125,15.875,0.825,19,2160
1.35,1.1,1.9,15.65,20,960
1.775,1.55,3.45,13.225,20,1020
2.35,1.775,4.225,11.65,20,1080
2.275,2.075,5.925,9.725,20,1140
2.125,1.975,9.025,6.875,20,1230
1.175,1.725,10.275,6.825,20,1320
1.0,0.85,13.15,5.0,20,1770
1.55,1.575,14.425,2.45,20,1980
1.125,1.6,16.4,0.875,20,2160
1.35,1.3,1.7,15.65,21,960
1.45,1.725,3.275,13.55,21,1020
2.225,1.675,4.325,11.775,21,1080
2.05,2.025,5.975,9.95,21,1140
1.7,2.6,8.4,7.3,21,1230
1.325,1.8,10.2,6.675,21,1320
0.6,0.55,13.45,5.4,21,1770
1.375,1.45,14.55,2.625,21,1980
0.95,1.775,16.225,1.05,21,2160
1.9,1.2,1.8,15.1,22,960
1.225,1.4,3.6,13.775,22,1020
2.375,1.575,4.425,11.625,22,1080
2.475,1.725,6.275,9.525,22,1140
1.725,2.425,8.575,7.275,22,1230
1.075,1.65,10.35,6.925,22,1320
0.7,0.875,13.125,5.3,22,1770
1.2,1.875,14.125,2.8,22,1980
0.875,1.1,16.9,1.125,22,2160
1.325,1.5,1.5,15.675,23,960
1.45,1.85,3.15,13.55,23,1020
2.15,1.45,4.55,11.85,23,1080
2.425,1.6,6.4,9.575,23,1140
1.375,2.525,8.475,7.625,23,1230
1.175,1.8,10.2,6.825,23,1320
0.85,0.875,13.125,5.15,23,1770
1.6,2.0,14.0,2.4,23,1980
1.15,1.225,16.775,0.85,23,2160
1.525,1.075,1.925,15.475,24,960
2.125,1.3,3.7,12.875,24,1020
2.15,1.825,4.175,11.85,24,1080
2.325,2.075,5.925,9.675,24,1140
1.625,2.0,9.0,7.375,24,1230
1.05,0.9,11.1,6.95,24,1320
0.75,0.825,13.175,5.25,24,1770
1.575,1.55,14.45,2.425,24,1980
1.0,1.85,16.15,1.0,24,2160
1.675,0.9,2.1,15.325,25,960
1.55,1.3,3.7,13.45,25,1020
2.175,1.425,4.575,11.825,25,1080
1.825,1.725,6.275,10.175,25,1140
1.6,2.275,8.725,7.4,25,1230
1.125,1.475,10.525,6.875,25,1320
1.125,0.725,13.275,4.875,25,1770
1.1,1.925,14.075,2.9,25,1980
0.975,1.625,16.375,1.025,25,2160
1.225,1.15,1.85,15.775,26,960
1.6,1.5,3.5,13.4,26,1020
1.8,1.575,4.425,12.2,26,1080
2.525,1.825,6.175,9.475,26,1140
1.475,1.7,9.3,7.525,26,1230
1.075,1.2,10.8,6.925,26,1320
0.75,0.35,13.65,5.25,26,1770
1.175,1.675,14.325,2.825,26,1980
0.85,1.3,16.7,1.15,26,2160
1.75,0.9,2.1,15.25,27,960
1.8,1.475,3.525,13.2,27,1020
1.75,1.625,4.375,12.25,27,1080
2.15,2.2,5.8,9.85,27,1140
1.475,1.825,9.175,7.525,27,1230
0.975,1.9,10.1,7.025,27,1320
1.05,0.55,13.45,4.95,27,1770
1.325,1.3,14.7,2.675,27,1980
0.9,1.45,16.55,1.1,27,2160
1.15,1.35,1.65,15.85,28,960
1.45,1.15,3.85,13.55,28,1020
1.75,1.6,4.4,12.25,28,1080
1.775,1.8,6.2,10.225,28,1140
1.475,2.025,8.975,7.525,28,1230
1.0,1.225,10.775,7.0,28,1320
0.95,0.775,13.225,5.05,28,1770
1.175,1.575,14.425,2.825,28,1980
0.9,1.45,16.55,1.1,28,2160
1.55,1.225,1.775,15.45,29,960
1.625,1.325,3.675,13.375,29,1020
1.725,1.65,4.35,12.275,29,1080
1.775,1.575,6.425,10.225,29,1140
1.625,2.15,8.85,7.375,29,1230
0.875,1.4,10.6,7.125,29,1320
0.775,0.425,13.575,5.225,29,1770
1.25,1.65,14.35,2.75,29,1980
0.875,1.35,16.65,1.125,29,2160
0.875,1.275,1.725,16.125,30,960
1.775,1.5,3.5,13.225,30,1020
2.0,1.5,4.5,12.0,30,1080
2.275,1.7,6.3,9.725,30,1140
1.5,1.55,9.45,7.5,30,1230
0.95,1.45,10.55,7.05,30,1320
0.7,0.55,13.45,5.3,30,1770
1.125,1.375,14.625,2.875,30,1980
0.675,1.65,16.35,1.325,30,2160
1.1,1.05,1.95,15.9,31,960
1.425,1.25,3.75,13.575,31,1020
1.95,1.45,4.55,12.05,31,1080
2.05,1.725,6.275,9.95,31,1140
1.65,1.775,9.225,7.35,31,1230
0.875,1.1,10.9,7.125,31,1320
1.1,0.625,13.375,4.9,31,1770
1.175,1.625,14.375,2.825,31,1980
0.925,1.0,17.0,1.075,31,2160
0.975,0.975,2.025,16.025,32,960
1.175,1.325,3.675,13.825,32,1020
2.2,1.5,4.5,11.8,32,1080
1.7,1.5,6.5,10.3,32,1140
1.8,1.525,9.475,7.2,32,1230
1.1,1.375,10.625,6.9,32,1320
1.225,0.675,13.325,4.775,32,1770
1.05,1.3,14.7,2.95,32,1980
0.9,1.075,16.925,1.1,32,2160
0.975,0.9,2.1,16.025,33,960
1.6,1.1,3.9,13.4,33,1020
2.15,1.65,4.35,11.85,33,1080
1.325,1.675,6.325,10.675,33,1140
1.65,2.0,9.0,7.35,33,1230
0.9,1.3,10.7,7.1,33,1320
0.625,0.5,13.5,5.375,33,1770
1.3,1.3,14.7,2.7,33,1980
1.0,0.9,17.1,1.0,33,2160
1.0,0.95,2.05,16.0,34,960
