FN,FP,MSE,TN,TP,sr,t
0.0,3.0,5752.125,0.0,17.0,2,960
0.0,5.0,7488.0,0.0,15.0,2,1020
1.4,5.4,9716.625,0.6,12.6,2,1080
2.7,6.2,5699.25,1.8,9.3,2,1140
0.9,9.9,4320.0,1.1,8.1,2,1230
0.8,10.8,4314.375,1.2,7.2,2,1320
5.55,1.05,8164.125,12.95,0.45,2,1770
4.0,0.0,5684.625,16.0,0.0,2,1980
2.0,0.0,5380.875,18.0,0.0,2,2160
0.0,3.0,5936.625,0.0,17.0,3,960
0.0,5.0,6529.0,0.0,15.0,3,1020
0.35,5.85,9463.5,0.15,13.65,3,1080
0.6,7.6,6593.875,0.4,11.4,3,1140
3.15,7.15,12166.875,3.85,5.85,3,1230
2.6,8.1,5124.375,3.9,5.4,3,1320
6.0,0.0,6768.625,14.0,0.0,3,1770
4.0,0.0,6227.125,16.0,0.0,3,1980
2.0,0.0,5236.875,18.0,0.0,3,2160
0.975,2.825,2183.625,0.175,16.025,4,960
1.125,4.325,3841.59375,0.675,13.875,4,1020
2.325,4.675,3906.0,1.325,11.675,4,1080
3.9,2.625,3205.125,5.375,8.1,4,1140
3.025,4.725,2809.125,6.275,5.975,4,1230
2.275,5.75,12826.40625,6.25,5.725,4,1320
5.025,1.3,5230.125,12.7,0.975,4,1770
3.15,1.775,7214.34375,14.225,0.85,4,1980
2.0,0.0,12039.46875,18.0,0.0,4,2160
0.8,2.725,2990.125,0.275,16.2,5,960
1.025,4.525,4838.875,0.475,13.975,5,1020
4.95,2.2,13229.0,3.8,9.05,5,1080
4.025,3.35,3717.125,4.65,7.975,5,1140
3.35,4.175,7826.0,6.825,5.65,5,1230
2.2,4.2,4953.125,7.8,5.8,5,1320
5.275,1.125,7322.125,12.875,0.725,5,1770
3.0,2.425,8676.5625,13.575,1.0,5,1980
2.0,0.0,6623.625,18.0,0.0,5,2160
1.025,2.725,2946.25,0.275,15.975,6,960
0.9,4.475,4908.375,0.525,14.1,6,1020
3.35,3.15,5454.84375,2.85,10.65,6,1080
2.925,3.35,2151.84375,4.65,9.075,6,1140
2.825,3.9,17311.78125,7.1,6.175,6,1230
2.575,4.175,3229.875,7.825,5.425,6,1320
1.525,4.2,3318.875,9.8,4.475,6,1770
3.275,1.55,5051.875,14.45,0.725,6,1980
1.65,1.4,6555.375,16.6,0.35,6,2160
0.525,2.625,6339.6875,0.375,16.475,7,960
2.925,2.25,1250.25,2.75,12.075,7,1020
2.05,3.3,9921.75,2.7,11.95,7,1080
2.825,3.75,1860.84375,4.25,9.175,7,1140
2.075,4.4,5031.28125,6.6,6.925,7,1230
1.475,4.0,2906.6875,8.0,6.525,7,1320
2.1,4.3,4222.875,9.7,3.9,7,1770
2.6,2.275,2311.875,13.725,1.4,7,1980
1.725,0.875,12213.28125,17.125,0.275,7,2160
0.475,2.725,4592.09375,0.275,16.525,8,960
2.8,2.175,9221.25,2.825,12.2,8,1020
2.65,2.875,9101.8125,3.125,11.35,8,1080
2.3,2.95,4933.125,5.05,9.7,8,1140
1.4,4.05,3982.78125,6.95,7.6,8,1230
1.2,3.425,5835.28125,8.575,6.8,8,1320
2.75,2.4,806.8125,11.6,3.25,8,1770
2.725,1.65,729.1875,14.35,1.275,8,1980
1.575,0.9,14419.6875,17.1,0.425,8,2160
0.675,2.7,5541.5,0.3,16.325,9,960
1.375,2.3,4676.71875,2.7,13.625,9,1020
2.325,2.625,3716.875,3.375,11.675,9,1080
1.675,3.675,7257.9375,4.325,10.325,9,1140
2.125,4.25,7354.84375,6.75,6.875,9,1230
1.625,3.075,2699.71875,8.925,6.375,9,1320
2.15,2.5,7117.75,11.5,3.85,9,1770
1.575,2.325,4295.65625,13.675,2.425,9,1980
1.625,1.325,9991.34375,16.675,0.375,9,2160
0.375,2.65,4121.25,0.35,16.625,10,960
2.175,2.4,1374.75,2.6,12.825,10,1020
2.6,2.275,2655.5,3.725,11.4,10,1080
1.75,3.05,1634.375,4.95,10.25,10,1140
1.475,4.45,4321.125,6.55,7.525,10,1230
1.925,2.575,5739.1875,9.425,6.075,10,1320
1.95,2.4,856.0625,11.6,4.05,10,1770
1.725,2.675,4151.875,13.325,2.275,10,1980
1.475,1.125,3701.8125,16.875,0.525,10,2160
1.5,1.425,8727.15625,1.575,15.5,11,960
1.9,2.15,1325.375,2.85,13.1,11,1020
1.7,2.725,2671.46875,3.275,12.3,11,1080
1.7,3.55,10328.90625,4.45,10.3,11,1140
2.2,3.8,1073.25,7.2,6.8,11,1230
1.95,2.625,1275.0,9.375,6.05,11,1320
1.775,2.225,2735.09375,11.775,4.225,11,1770
1.45,2.1,651.375,13.9,2.55,11,1980
1.6,0.775,6119.3125,17.225,0.4,11,2160
1.775,1.425,5765.625,1.575,15.225,12,960
2.0,2.175,4097.40625,2.825,13.0,12,1020
1.525,2.025,2804.0625,3.975,12.475,12,1080
1.4,3.25,2553.625,4.75,10.6,12,1140
2.0,2.55,963.84375,8.45,7.0,12,1230
1.275,2.35,654.46875,9.65,6.725,12,1320
1.6,1.775,1251.75,12.225,4.4,12,1770
1.625,1.9,672.28125,14.1,2.375,12,1980
1.6,0.825,2606.875,17.175,0.4,12,2160
1.225,1.675,1334.71875,1.325,15.775,13,960
1.425,2.4,3593.21875,2.6,13.575,13,1020
1.175,2.275,1023.875,3.725,12.825,13,1080
1.65,3.35,3635.96875,4.65,10.35,13,1140
1.8,2.925,388.21875,8.075,7.2,13,1230
1.075,1.35,592.9375,10.65,6.925,13,1320
1.3,1.8,3045.65625,12.2,4.7,13,1770
1.675,2.275,702.0,13.725,2.325,13,1980
1.6,0.65,610.375,17.35,0.4,13,2160
1.45,1.4,4403.125,1.6,15.55,14,960
1.7,1.7,1279.625,3.3,13.3,14,1020
1.275,2.4,1963.125,3.6,12.725,14,1080
1.75,2.75,1137.4375,5.25,10.25,14,1140
1.7,2.475,1128.84375,8.525,7.3,14,1230
1.05,1.675,999.5625,10.325,6.95,14,1320
0.825,1.15,1001.6875,12.85,5.175,14,1770
1.325,2.25,721.65625,13.75,2.675,14,1980
1.3,1.225,3809.53125,16.775,0.7,14,2160
1.35,1.4,4352.375,1.6,15.65,15,960
1.2,1.725,522.9375,3.275,13.8,15,1020
1.55,2.025,736.3125,3.975,12.45,15,1080
1.65,2.8,3376.125,5.2,10.35,15,1140
1.55,2.95,2114.40625,8.05,7.45,15,1230
1.3,1.625,1251.15625,10.375,6.7,15,1320
1.05,1.525,5378.21875,12.475,4.95,15,1770
1.05,1.925,1896.34375,14.075,2.95,15,1980
1.25,0.875,835.4375,17.125,0.75,15,2160
1.175,1.625,556.4375,1.375,15.825,16,960
1.3,1.725,634.28125,3.275,13.7,16,1020
0.975,2.175,704.1875,3.825,13.025,16,1080
1.65,3.175,574.90625,4.825,10.35,16,1140
1.475,2.3,2851.03125,8.7,7.525,16,1230
1.625,1.525,786.65625,10.475,6.375,16,1320
0.675,1.325,881.59375,12.675,5.325,16,1770
1.15,1.75,4128.5,14.25,2.85,16,1980
0.8,1.7,971.65625,16.3,1.2,16,2160
0.625,1.625,1215.0,1.375,16.375,17,960
1.025,1.65,4228.375,3.35,13.975,17,1020
1.15,2.325,881.09375,3.675,12.85,17,1080
1.75,2.25,1017.8125,5.75,10.25,17,1140
1.775,2.325,501.78125,8.675,7.225,17,1230
1.375,1.5,822.03125,10.5,6.625,17,1320
1.05,1.325,8226.78125,12.675,4.95,17,1770
1.45,1.1,4980.90625,14.9,2.55,17,1980
0.75,1.7,1228.1875,16.3,1.25,17,2160
1.3,1.55,355.53125,1.45,15.7,18,960
0.625,2.175,685.15625,2.825,14.375,18,1020
1.225,1.725,549.28125,4.275,12.775,18,1080
1.325,2.275,870.25,5.725,10.675,18,1140
1.45,2.475,815.90625,8.525,7.55,18,1230
1.225,0.975,756.25,11.025,6.775,18,1320
0.725,0.9,541.7578125,13.1,5.275,18,1770
1.25,1.475,498.25,14.525,2.75,18,1980
1.0,1.75,4094.53125,16.25,1.0,18,2160
0.925,1.175,867.09375,1.825,16.075,19,960
1.25,1.575,739.46875,3.425,13.75,19,1020
0.575,1.825,546.7265625,4.175,13.425,19,1080
1.05,2.825,625.59375,5.175,10.95,19,1140
1.25,2.3,1438.5,8.7,7.75,19,1230
1.025,1.65,548.15625,10.35,6.975,19,1320
0.6,1.125,706.6875,12.875,5.4,19,1770
1.075,1.55,732.3125,14.45,2.925,19,1980
0.7,1.95,532.28125,16.05,1.3,19,2160
1.5,1.175,555.5625,1.825,15.5,20,960
1.075,2.05,1262.75,2.95,13.925,20,1020
0.925,2.075,771.875,3.925,13.075,20,1080
1.55,2.4,715.09375,5.6,10.45,20,1140
1.3,1.75,498.90625,9.25,7.7,20,1230
0.975,1.025,565.9375,10.975,7.025,20,1320
0.75,0.975,669.9375,13.025,5.25,20,1770
1.375,1.475,665.78125,14.525,2.625,20,1980
1.1,1.125,1468.71875,16.875,0.9,20,2160
1.075,1.15,665.0625,1.85,15.925,21,960
1.225,1.7,387.78125,3.3,13.775,21,1020
1.8,1.65,1545.75,4.35,12.2,21,1080
1.925,2.2,705.03125,5.8,10.075,21,1140
1.2,2.475,1089.8125,8.525,7.8,21,1230
1.275,1.425,1303.625,10.575,6.725,21,1320
0.6,0.625,1243.375,13.375,5.4,21,1770
1.175,1.3,1086.5,14.7,2.825,21,1980
0.8,1.8,2211.78125,16.2,1.2,21,2160
1.0,1.175,1040.90625,1.825,16.0,22,960
0.975,2.075,929.3125,2.925,14.025,22,1020
0.975,1.675,409.5,4.325,13.025,22,1080
1.65,2.275,946.9375,5.725,10.35,22,1140
1.525,2.2,2779.25,8.8,7.475,22,1230
1.275,0.875,866.75,11.125,6.725,22,1320
0.475,1.025,738.1875,12.975,5.525,22,1770
1.2,1.425,1125.0625,14.575,2.8,22,1980
0.95,1.3,731.25,16.7,1.05,22,2160
0.95,1.1,422.1875,1.9,16.05,23,960
0.575,1.625,620.53125,3.375,14.425,23,1020
1.25,1.925,6260.9375,4.075,12.75,23,1080
1.625,2.0,6331.0,6.0,10.375,23,1140
1.3,2.4,275.6875,8.6,7.7,23,1230
1.325,0.925,520.90625,11.075,6.675,23,1320
0.4,0.775,7170.25,13.225,5.6,23,1770
1.175,1.025,503.84375,14.975,2.825,23,1980
0.825,0.875,3136.125,17.125,1.175,23,2160
1.0,1.25,589.25,1.75,16.0,24,960
0.9,1.525,324.40625,3.475,14.1,24,1020
1.375,1.525,434.28125,4.475,12.625,24,1080
1.85,2.15,294.75,5.85,10.15,24,1140
1.825,1.5,507.375,9.5,7.175,24,1230
1.325,1.0,842.28125,11.0,6.675,24,1320
0.175,0.625,477.84375,13.375,5.825,24,1770
1.1,1.3,489.65625,14.7,2.9,24,1980
1.05,1.375,1383.34375,16.625,0.95,24,2160
0.8,1.1,1422.0703125,1.9,16.2,25,960
1.1,1.5,481.5,3.5,13.9,25,1020
1.05,1.825,1455.28125,4.175,12.95,25,1080
1.675,1.875,1485.46875,6.125,10.325,25,1140
1.425,1.65,1152.8515625,9.35,7.575,25,1230
0.95,1.325,1130.6171875,10.675,7.05,25,1320
0.4,1.4,807.5,12.6,5.6,25,1770
0.875,1.35,323.53125,14.65,3.125,25,1980
0.825,1.15,549.25,16.85,1.175,25,2160
0.775,1.375,633.6875,1.625,16.225,26,960
0.6,1.65,823.53125,3.35,14.4,26,1020
1.5,1.5,827.59375,4.5,12.5,26,1080
1.825,2.1,795.3359375,5.9,10.175,26,1140
1.075,1.6,306.84375,9.4,7.925,26,1230
1.1,1.175,769.1875,10.825,6.9,26,1320
0.25,0.9,2516.78125,13.1,5.75,26,1770
1.125,1.375,4093.25,14.625,2.875,26,1980
0.725,1.325,562.03125,16.675,1.275,26,2160
0.875,1.2,231.21875,1.8,16.125,27,960
0.85,1.55,1087.5625,3.45,14.15,27,1020
1.3,1.575,742.71875,4.425,12.7,27,1080
1.7,1.975,891.1875,6.025,10.3,27,1140
1.2,1.9,1100.21875,9.1,7.8,27,1230
1.2,1.1,520.28125,10.9,6.8,27,1320
0.225,0.9,4627.8125,13.1,5.775,27,1770
0.825,1.55,655.4375,14.45,3.175,27,1980
0.975,1.175,474.1875,16.825,1.025,27,2160
0.65,0.975,506.6875,2.025,16.35,28,960
1.025,1.375,451.90625,3.625,13.975,28,1020
1.375,2.025,554.1875,3.975,12.625,28,1080
1.25,1.8,416.625,6.2,10.75,28,1140
1.45,1.9,950.59375,9.1,7.55,28,1230
1.1,0.9,456.03125,11.1,6.9,28,1320
0.35,0.725,592.9375,13.275,5.65,28,1770
1.2,1.075,2825.4375,14.925,2.8,28,1980
0.9,0.85,678.21875,17.15,1.1,28,2160
0.775,1.225,535.1875,1.775,16.225,29,960
0.85,1.575,757.46875,3.425,14.15,29,1020
1.075,1.65,555.1875,4.35,12.925,29,1080
1.45,1.925,517.5,6.075,10.55,29,1140
1.3,2.0,514.09375,9.0,7.7,29,1230
0.825,1.0,1115.46875,11.0,7.175,29,1320
0.3,0.95,523.15625,13.05,5.7,29,1770
0.975,1.4,896.1875,14.6,3.025,29,1980
0.825,0.975,302.890625,17.025,1.175,29,2160
0.45,0.95,609.84375,2.05,16.55,30,960
0.55,1.7,327.6875,3.3,14.45,30,1020
1.15,1.775,315.625,4.225,12.85,30,1080
2.1,1.725,703.875,6.275,9.9,30,1140
1.475,1.65,369.78125,9.35,7.525,30,1230
0.825,1.15,658.5625,10.85,7.175,30,1320
0.375,0.8,553.53125,13.2,5.625,30,1770
1.1,1.4,497.53125,14.6,2.9,30,1980
0.875,1.325,367.75,16.675,1.125,30,2160
0.775,1.25,326.125,1.75,16.225,31,960
1.075,1.35,538.65625,3.65,13.925,31,1020
1.25,1.55,617.03125,4.45,12.75,31,1080
1.1,1.85,756.40625,6.15,10.9,31,1140
1.4,1.7,488.15625,9.3,7.6,31,1230
1.2,0.85,570.4375,11.15,6.8,31,1320
0.4,0.425,155.34375,13.575,5.6,31,1770
0.825,1.05,272.390625,14.95,3.175,31,1980
0.825,0.675,797.15625,17.325,1.175,31,2160
0.675,1.075,774.125,1.925,16.325,32,960
0.675,1.525,240.59375,3.475,14.325,32,1020
1.15,1.725,725.8125,4.275,12.85,32,1080
1.175,1.7,705.1875,6.3,10.825,32,1140
1.4,1.975,802.40625,9.025,7.6,32,1230
1.15,0.775,517.9375,11.225,6.85,32,1320
0.35,0.7,523.4375,13.3,5.65,32,1770
0.7,1.25,943.3125,14.75,3.3,32,1980
0.8,1.175,549.21875,16.825,1.2,32,2160
0.7,0.8,341.578125,2.2,16.3,33,960
0.875,1.675,628.28125,3.325,14.125,33,1020
1.125,1.5,348.125,4.5,12.875,33,1080
1.45,1.925,425.4375,6.075,10.55,33,1140
1.5,1.7,463.09375,9.3,7.5,33,1230
0.9,1.0,362.375,11.0,7.1,33,1320
0.4,0.675,192.9375,13.325,5.6,33,1770
1.0,1.175,2529.75,14.825,3.0,33,1980
0.825,1.025,395.5,16.975,1.175,33,2160
0.95,1.125,915.875,1.875,16.05,34,960
0.7,1.175,565.4375,3.825,14.3,34,1020
1.4,1.4,1172.625,4.6,12.6,34,1080
1.525,2.0,342.4375,6.0,10.475,34,1140
1.2,1.825,802.25,9.175,7.8,34,1230
1.05,0.675,849.53125,11.325,6.95,34,1320
0.5,0.55,438.28125,13.45,5.5,34,1770
0.8,1.45,607.34375,14.55,3.2,34,1980
0.8,0.875,2931.125,17.125,1.2,34,2160
0.85,1.225,1218.2890625,1.775,16.15,35,960
0.8,1.1,811.125,3.9,14.2,35,1020
1.15,1.55,1176.96875,4.45,12.85,35,1080
1.225,1.35,293.8125,6.65,10.775,35,1140
1.175,1.775,425.9375,9.225,7.825,35,1230
0.825,0.85,787.6875,11.15,7.175,35,1320
0.225,0.725,1243.59375,13.275,5.775,35,1770
0.775,1.375,386.9375,14.625,3.225,35,1980
0.875,1.025,740.6875,16.975,1.125,35,2160
0.825,1.175,754.84375,1.825,16.175,36,960
0.7,1.425,672.75,3.575,14.3,36,1020
1.325,1.575,362.5625,4.425,12.675,36,1080
1.35,1.475,510.90625,6.525,10.65,36,1140
1.35,2.025,869.03125,8.975,7.65,36,1230
1.125,0.8,474.125,11.2,6.875,36,1320
0.25,0.55,1204.84375,13.45,5.75,36,1770
0.85,1.425,336.3359375,14.575,3.15,36,1980
0.75,0.95,374.375,17.05,1.25,36,2160
0.65,1.275,862.34375,1.725,16.35,37,960
0.575,1.45,565.75,3.55,14.425,37,1020
1.35,1.3,622.28125,4.7,12.65,37,1080
1.925,1.525,466.875,6.475,10.075,37,1140
1.125,2.15,289.71875,8.85,7.875,37,1230
1.1,0.75,478.78125,11.25,6.9,37,1320
0.55,0.65,850.15625,13.35,5.45,37,1770
0.775,1.15,356.25,14.85,3.225,37,1980
0.7,0.95,492.875,17.05,1.3,37,2160
0.75,1.05,359.875,1.95,16.25,38,960
1.0,1.4,1042.59375,3.6,14.0,38,1020
1.05,1.625,313.46875,4.375,12.95,38,1080
1.45,1.575,389.0,6.425,10.55,38,1140
1.7,1.375,257.0625,9.625,7.3,38,1230
1.0,1.225,361.28125,10.775,7.0,38,1320
0.2,0.8,346.28125,13.2,5.8,38,1770
0.85,1.275,929.75,14.725,3.15,38,1980
0.675,0.95,746.0,17.05,1.325,38,2160
0.725,1.125,1100.6875,1.875,16.275,39,960
0.475,1.6,580.3828125,3.4,14.525,39,1020
1.025,1.25,786.5859375,4.75,12.975,39,1080
1.6,1.575,815.34375,6.425,10.4,39,1140
1.625,2.0,710.03125,9.0,7.375,39,1230
0.875,0.65,332.625,11.35,7.125,39,1320
0.2,0.5,584.375,13.5,5.8,39,1770
0.525,1.25,1949.03125,14.75,3.475,39,1980
0.675,0.725,341.65625,17.275,1.325,39,2160
0.575,1.075,235.71875,1.925,16.425,40,960
0.375,1.425,464.6640625,3.575,14.625,40,1020
1.0,1.65,254.5,4.35,13.0,40,1080
1.15,1.6,575.09375,6.4,10.85,40,1140
1.125,1.5,466.1953125,9.5,7.875,40,1230
0.85,0.85,426.84375,11.15,7.15,40,1320
0.425,0.5,663.84375,13.5,5.575,40,1770
0.85,0.95,333.96875,15.05,3.15,40,1980
0.775,0.775,855.40625,17.225,1.225,40,2160
0.725,1.225,556.09375,1.775,16.275,41,960
0.725,1.275,436.90625,3.725,14.275,41,1020
