FN,FP,TN,TP,sr,t
0.0,26.0,0.0,230.0,2,0.478987974358975
0.0,51.0,0.0,205.0,2,0.528053435897436
82.675,29.45,47.55,96.325,2,0.732406631578947
76.0,40.275,61.725,78.0,2,1.24142602702703
45.45,54.9,73.1,82.55,2,2.08937425641026
38.5,62.15,91.85,63.5,2,5.81297530769231
34.9,80.75,98.25,42.1,2,10.6980868974359
51.0,0.0,205.0,0.0,2,19.898601564102602
26.0,0.0,230.0,0.0,2,37.5557710769231
26.325,13.65,12.35,203.675,27,0.478987974358975
26.975,22.95,28.05,178.025,27,0.528053435897436
19.3,12.8,64.2,159.7,27,0.732406631578947
12.275,9.375,92.625,141.725,27,1.24142602702703
12.85,12.8,115.2,115.15,27,2.08937425641026
0.0,2.85,151.15,102.0,27,5.81297530769231
0.75,6.15,172.85,76.25,27,10.6980868974359
7.675,17.225,187.775,43.325,27,19.898601564102602
3.925,5.55,225.45,21.075,27,37.5557710769231
10.375,9.0,17.0,219.625,52,0.478987974358975
17.5,14.35,36.65,187.5,52,0.528053435897436
5.125,4.45,72.55,173.875,52,0.732406631578947
5.625,7.325,94.675,148.375,52,1.24142602702703
4.85,4.75,123.25,123.15,52,2.08937425641026
0.0,0.15,153.85,102.0,52,5.81297530769231
0.275,0.15,178.85,76.725,52,10.6980868974359
0.0,0.075,204.925,51.0,52,19.898601564102602
0.45,0.3,229.7,25.55,52,37.5557710769231
5.05,4.425,21.575,224.95,77,0.478987974358975
12.6,10.8,40.2,192.4,77,0.528053435897436
2.175,2.225,74.775,176.825,77,0.732406631578947
1.775,1.975,100.025,152.225,77,1.24142602702703
1.85,1.2,126.8,126.15,77,2.08937425641026
0.15,0.2,153.8,101.85,77,5.81297530769231
0.05,0.125,178.875,76.95,77,10.6980868974359
0.3,0.025,204.975,50.7,77,19.898601564102602
0.15,0.125,230.875,24.85,77,37.5557710769231
2.075,1.85,24.15,227.925,102,0.478987974358975
9.975,7.875,43.125,195.025,102,0.528053435897436
0.525,0.075,76.925,178.475,102,0.732406631578947
0.575,0.275,101.725,153.425,102,1.24142602702703
1.475,0.75,127.25,126.525,102,2.08937425641026
0.0,0.2,153.8,102.0,102,5.81297530769231
0.375,0.05,178.95,76.625,102,10.6980868974359
0.0,0.075,204.925,51.0,102,19.898601564102602
0.25,0.2,229.8,25.75,102,37.5557710769231
0.975,0.95,25.05,229.025,127,0.478987974358975
7.95,8.575,42.425,197.05,127,0.528053435897436
0.3,0.125,76.875,178.7,127,0.732406631578947
0.225,0.2,101.8,153.775,127,1.24142602702703
0.925,0.5,127.5,127.075,127,2.08937425641026
0.05,0.1,153.9,101.95,127,5.81297530769231
0.0,0.1,178.9,77.0,127,10.6980868974359
0.225,0.05,204.95,50.775,127,19.898601564102602
0.05,0.025,230.975,24.95,127,37.5557710769231
1.225,1.5,24.5,228.775,152,0.478987974358975
5.825,7.325,43.675,199.175,152,0.528053435897436
0.2,0.125,76.875,178.8,152,0.732406631578947
0.425,0.05,101.95,153.575,152,1.24142602702703
0.525,0.175,127.825,127.475,152,2.08937425641026
0.2,0.1,153.9,101.8,152,5.81297530769231
0.3,0.075,178.925,76.7,152,10.6980868974359
0.0,0.0,205.0,51.0,152,19.898601564102602
0.175,0.15,229.85,25.825,152,37.5557710769231
2.175,1.65,24.35,227.825,177,0.478987974358975
7.375,7.325,43.675,197.625,177,0.528053435897436
0.175,0.1,76.9,178.825,177,0.732406631578947
0.15,0.1,101.9,153.85,177,1.24142602702703
0.375,0.45,127.55,127.625,177,2.08937425641026
0.35,0.075,153.925,101.65,177,5.81297530769231
0.15,0.075,178.925,76.85,177,10.6980868974359
0.15,0.2,204.8,50.85,177,19.898601564102602
0.4,0.15,230.85,24.6,177,37.5557710769231
1.025,1.05,24.95,228.975,202,0.478987974358975
6.625,5.825,45.175,198.375,202,0.528053435897436
0.225,0.05,76.95,178.775,202,0.732406631578947
0.2,0.1,101.9,153.8,202,1.24142602702703
0.175,0.275,127.725,127.825,202,2.08937425641026
0.45,0.125,153.875,101.55,202,5.81297530769231
0.15,0.05,178.95,76.85,202,10.6980868974359
0.15,0.125,204.875,50.85,202,19.898601564102602
0.075,0.1,229.9,25.925,202,37.5557710769231
1.55,1.35,24.65,228.45,227,0.478987974358975
5.65,5.425,45.575,199.35,227,0.528053435897436
0.1,0.15,76.85,178.9,227,0.732406631578947
0.25,0.075,101.925,153.75,227,1.24142602702703
0.125,0.225,127.775,127.875,227,2.08937425641026
0.225,0.125,153.875,101.775,227,5.81297530769231
0.1,0.05,178.95,76.9,227,10.6980868974359
0.225,0.125,204.875,50.775,227,19.898601564102602
0.35,0.075,230.925,24.65,227,37.5557710769231
1.05,0.65,25.35,228.95,252,0.478987974358975
4.6,5.275,45.725,200.4,252,0.528053435897436
0.275,0.05,76.95,178.725,252,0.732406631578947
0.1,0.075,101.925,153.9,252,1.24142602702703
0.325,0.475,127.525,127.675,252,2.08937425641026
0.2,0.125,153.875,101.8,252,5.81297530769231
0.275,0.05,178.95,76.725,252,10.6980868974359
0.4,0.075,204.925,50.6,252,19.898601564102602
0.2,0.125,229.875,25.8,252,37.5557710769231
1.125,1.05,24.95,228.875,277,0.478987974358975
4.5,4.55,46.45,200.5,277,0.528053435897436
0.275,0.075,76.925,178.725,277,0.732406631578947
0.125,0.175,101.825,153.875,277,1.24142602702703
0.525,0.3,127.7,127.475,277,2.08937425641026
0.025,0.15,153.85,101.975,277,5.81297530769231
0.275,0.125,178.875,76.725,277,10.6980868974359
0.075,0.175,204.825,50.925,277,19.898601564102602
0.4,0.075,230.925,24.6,277,37.5557710769231
0.25,0.275,25.725,229.75,302,0.478987974358975
3.85,3.65,47.35,201.15,302,0.528053435897436
0.2,0.075,76.925,178.8,302,0.732406631578947
