FN,FP,MSE,TN,TP,sr,t
0.0,26.0,3.7671243077110113,0.0,230.0,2,0.478987974358975
0.0,51.0,25.27224744922419,0.0,205.0,2,0.528053435897436
22.375,67.375,6.268816969206225,9.625,156.625,2,0.732406631578947
11.55,94.35,4.115618724431459,7.65,142.45,2,1.24142602702703
19.2,108.8,4.654949207344954,19.2,108.8,2,2.08937425641026
40.8,92.4,6.760809481435696,61.6,61.2,2,5.81297530769231
36.575,93.975,3.3815297636440365,85.025,40.425,2,10.6980868974359
51.0,0.0,5.153270245585904,205.0,0.0,2,19.898601564102602
26.0,0.0,3.4698968679633717,230.0,0.0,2,37.5557710769231
18.75,14.75,0.1870849258631457,11.25,211.25,27,0.478987974358975
17.4,24.4,1.9371679678098175,26.6,187.6,27,0.528053435897436
14.975,17.5,0.4576445766489923,59.5,164.025,27,0.732406631578947
12.625,13.475,0.45395970293474297,88.525,141.375,27,1.24142602702703
9.825,18.825,0.026226875751377186,109.175,118.175,27,2.08937425641026
7.9,8.45,0.9100884745924223,145.55,94.1,27,5.81297530769231
13.15,8.75,0.021297842080469483,170.25,63.85,27,10.6980868974359
11.325,7.1,3.213866841038765,197.9,39.675,27,19.898601564102602
2.075,3.075,0.025032417417484965,227.925,22.925,27,37.5557710769231
11.775,13.175,0.003959151869948623,12.825,218.225,52,0.478987974358975
11.675,13.075,0.0011490990322799912,37.925,193.325,52,0.528053435897436
8.075,8.6,0.0033062715286125534,68.4,170.925,52,0.732406631578947
7.25,6.575,0.007325223464182862,95.425,146.75,52,1.24142602702703
5.025,7.3,0.0025334548614018753,120.7,122.975,52,2.08937425641026
0.825,0.3,0.021506932806648144,153.7,101.175,52,5.81297530769231
0.0,0.125,0.0002082647315975036,178.875,77.0,52,10.6980868974359
0.85,1.075,0.026947072313930488,203.925,50.15,52,19.898601564102602
0.2,0.475,0.004839695246878099,229.525,25.8,52,37.5557710769231
8.575,13.9,0.005774950595738894,12.1,221.425,77,0.478987974358975
10.75,5.8,0.0017277455734155927,45.2,194.25,77,0.528053435897436
2.5,3.75,0.0011122611106923266,73.25,176.5,77,0.732406631578947
2.775,4.1,0.004375359851676267,97.9,151.225,77,1.24142602702703
1.275,2.525,0.000257653188007704,125.475,126.725,77,2.08937425641026
0.0,0.075,0.0011486886128496533,153.925,102.0,77,5.81297530769231
0.0,0.025,0.002405955231887149,178.975,77.0,77,10.6980868974359
0.0,0.175,0.002132773560205296,204.825,51.0,77,19.898601564102602
0.0,0.175,0.002824793384800366,230.825,25.0,77,37.5557710769231
7.675,13.375,0.00011608584165223742,12.625,222.325,102,0.478987974358975
10.025,3.225,0.0005861847388719488,47.775,194.975,102,0.528053435897436
1.35,0.525,0.0019054302696927452,76.475,177.65,102,0.732406631578947
0.675,1.0,6.652574754542277e-05,101.0,153.325,102,1.24142602702703
1.075,1.55,0.0016185868020071807,126.45,126.925,102,2.08937425641026
0.0,0.125,0.001537948016452359,153.875,102.0,102,5.81297530769231
0.0,0.075,6.929378132084231e-05,178.925,77.0,102,10.6980868974359
0.0,0.125,6.463150248703703e-05,204.875,51.0,102,19.898601564102602
0.0,0.1,0.0006631467530636361,229.9,26.0,102,37.5557710769231
7.775,11.175,8.551129740142144e-05,14.825,222.225,127,0.478987974358975
9.525,3.475,0.00010431546728388633,47.525,195.475,127,0.528053435897436
0.125,0.275,6.575364269705132e-05,76.725,178.875,127,0.732406631578947
0.325,0.375,4.8582694237679744e-05,101.625,153.675,127,1.24142602702703
0.325,0.75,6.157610761395747e-05,127.25,127.675,127,2.08937425641026
0.0,0.125,0.0016865413349203273,153.875,102.0,127,5.81297530769231
0.0,0.025,5.688584394291917e-05,178.975,77.0,127,10.6980868974359
0.0,0.1,6.688645457584868e-05,204.9,51.0,127,19.898601564102602
0.0,0.25,5.882460825948051e-05,230.75,25.0,127,37.5557710769231
7.05,13.175,0.00010310678357774318,12.825,222.95,152,0.478987974358975
10.3,1.575,6.0302212588168335e-05,49.425,194.7,152,0.528053435897436
0.9,0.3,5.845097477649457e-05,76.7,178.1,152,0.732406631578947
0.0,0.125,4.3386248418509526e-05,101.875,154.0,152,1.24142602702703
0.15,0.525,3.960843794617983e-05,127.475,127.85,152,2.08937425641026
0.0,0.05,3.2128953419707294e-05,153.95,102.0,152,5.81297530769231
0.0,0.225,6.995207242748302e-05,178.775,77.0,152,10.6980868974359
0.0,0.075,5.4255554466451696e-05,204.925,51.0,152,19.898601564102602
0.0,0.125,7.431129337457554e-05,229.875,26.0,152,37.5557710769231
8.125,13.825,5.928515561225414e-05,12.175,221.875,177,0.478987974358975
12.275,1.35,5.490902995733937e-05,49.65,192.725,177,0.528053435897436
0.0,0.075,4.957866458094887e-05,76.925,179.0,177,0.732406631578947
0.0,0.075,7.323284150347817e-05,101.925,154.0,177,1.24142602702703
0.075,0.225,5.4821160287537315e-05,127.775,127.925,177,2.08937425641026
0.0,0.075,6.885306661965089e-05,153.925,102.0,177,5.81297530769231
0.0,0.075,4.7611529444552526e-05,178.925,77.0,177,10.6980868974359
0.0,0.125,8.228763959740665e-05,204.875,51.0,177,19.898601564102602
0.0,0.1,4.453431460647214e-05,230.9,25.0,177,37.5557710769231
11.25,11.05,6.268637556272591e-05,14.95,218.75,202,0.478987974358975
12.625,0.775,5.109057715535425e-05,50.225,192.375,202,0.528053435897436
0.0,0.125,5.931996932056029e-05,76.875,179.0,202,0.732406631578947
0.0,0.05,4.503492043225932e-05,101.95,154.0,202,1.24142602702703
0.075,0.275,6.5416704333586e-05,127.725,127.925,202,2.08937425641026
0.0,0.1,5.904956259977077e-05,153.9,102.0,202,5.81297530769231
0.0,0.05,4.154095152108519e-05,178.95,77.0,202,10.6980868974359
0.0,0.05,7.989031274761515e-05,204.95,51.0,202,19.898601564102602
0.0,0.125,4.167404837204887e-05,229.875,26.0,202,37.5557710769231
13.175,9.55,4.3282977316178117e-05,16.45,216.825,227,0.478987974358975
12.05,0.125,6.43293831576091e-05,50.875,192.95,227,0.528053435897436
0.0,0.075,4.730216007103667e-05,76.925,179.0,227,0.732406631578947
0.0,0.125,4.564543884413164e-05,101.875,154.0,227,1.24142602702703
0.025,0.325,5.72612547817447e-05,127.675,127.975,227,2.08937425641026
0.0,0.025,3.761845198752493e-05,153.975,102.0,227,5.81297530769231
0.0,0.075,4.526346547792239e-05,178.925,77.0,227,10.6980868974359
0.0,0.025,4.889647697753311e-05,204.975,51.0,227,19.898601564102602
0.0,0.1,7.939218206315465e-05,230.9,25.0,227,37.5557710769231
10.4,13.775,4.2162286105424705e-05,12.225,219.6,252,0.478987974358975
12.325,0.325,5.741180140428227e-05,50.675,192.675,252,0.528053435897436
0.0,0.125,4.079575172068619e-05,76.875,179.0,252,0.732406631578947
0.0,0.075,5.1459192721112624e-05,101.925,154.0,252,1.24142602702703
