FN,FP,TN,TP,sr,t
0.0,2.0,0.0,16.0,2,3161
0.0,4.0,0.0,14.0,2,3268
6.05,1.675,3.325,6.95,2,3451
5.075,2.475,4.525,5.925,2,4894
3.15,2.7,6.3,5.85,2,5186
2.3,4.825,6.175,4.7,2,5295
1.575,5.35,7.65,3.425,2,5361
4.0,0.0,14.0,0.0,2,5499
2.0,0.0,16.0,0.0,2,14744
0.0,2.0,0.0,16.0,3,3161
5.175,1.75,2.25,8.825,3,3268
4.375,1.875,3.125,8.625,3,3451
3.325,2.2,4.8,7.675,3,4894
3.1,2.375,6.625,5.9,3,5186
3.275,3.65,7.35,3.725,3,5295
1.65,5.175,7.825,3.35,3,5361
1.075,6.05,8.95,1.925,3,5499
2.0,0.0,16.0,0.0,3,14744
0.0,2.0,0.0,16.0,4,3161
4.4,1.575,2.425,9.6,4,3268
4.2,2.45,3.55,7.8,4,3451
2.4,1.575,5.425,8.6,4,4894
1.175,1.025,7.975,7.825,4,5186
1.7,3.95,7.05,5.3,4,5295
1.85,4.65,8.35,3.15,4,5361
0.9,5.3,9.7,2.1,4,5499
2.0,0.0,16.0,0.0,4,14744
4.4,1.2,0.8,11.6,5,3161
4.25,2.2,1.8,9.75,5,3268
3.675,2.225,2.775,9.325,5,3451
2.175,1.75,5.25,8.825,5,4894
0.85,0.675,8.325,8.15,5,5186
1.65,3.275,7.725,5.35,5,5295
2.5,3.7,9.3,2.5,5,5361
1.275,3.65,11.35,1.725,5,5499
2.0,0.0,16.0,0.0,5,14744
4.2,1.2,0.8,11.8,6,3161
3.45,2.25,1.75,10.55,6,3268
3.375,1.525,3.475,9.625,6,3451
2.2,1.725,5.275,8.8,6,4894
0.95,0.675,8.325,8.05,6,5186
2.15,2.225,8.775,4.85,6,5295
1.825,3.525,9.475,3.175,6,5361
1.25,3.875,10.125,2.75,6,5499
0.85,3.775,12.225,1.15,6,14744
3.575,1.425,0.575,12.425,7,3161
3.35,2.15,1.85,10.65,7,3268
2.225,2.125,3.875,9.775,7,3451
1.825,1.65,5.35,9.175,7,4894
0.35,0.275,8.725,8.65,7,5186
1.1,1.85,9.15,5.9,7,5295
2.0,2.775,10.225,3.0,7,5361
2.05,2.525,11.475,1.95,7,5499
0.775,3.4,12.6,1.225,7,14744
3.425,1.575,0.425,12.575,8,3161
3.35,1.85,2.15,10.65,8,3268
1.175,2.4,3.6,10.825,8,3451
1.175,1.05,5.95,9.825,8,4894
0.2,0.075,8.925,8.8,8,5186
1.775,1.625,9.375,5.225,8,5295
2.375,2.875,10.125,2.625,8,5361
0.95,2.575,12.425,2.05,8,5499
0.9,3.1,12.9,1.1,8,14744
2.6,1.55,0.45,13.4,9,3161
2.825,2.1,1.9,11.175,9,3268
3.0,1.2,3.8,10.0,9,3451
1.35,0.675,6.325,9.65,9,4894
0.35,0.1,8.9,8.65,9,5186
1.075,2.175,8.825,5.925,9,5295
1.2,3.075,9.925,3.8,9,5361
1.075,3.0,12.0,1.925,9,5499
0.85,2.6,13.4,1.15,9,14744
3.375,1.55,0.45,12.625,10,3161
2.275,1.8,2.2,11.725,10,3268
1.725,1.85,4.15,10.275,10,3451
1.0,1.05,5.95,10.0,10,4894
0.05,0.15,8.85,8.95,10,5186
1.4,1.975,9.025,5.6,10,5295
1.25,2.075,10.925,3.75,10,5361
0.9,1.825,13.175,2.1,10,5499
0.925,2.3,13.7,1.075,10,14744
2.425,1.55,0.45,13.575,11,3161
2.225,2.075,1.925,11.775,11,3268
1.35,1.475,4.525,10.65,11,3451
1.325,1.4,5.6,9.675,11,4894
0.05,0.1,8.9,8.95,11,5186
1.5,1.525,9.475,5.5,11,5295
1.375,1.675,11.325,3.625,11,5361
1.575,2.075,11.925,2.425,11,5499
0.8,2.325,13.675,1.2,11,14744
3.15,1.425,0.575,12.85,12,3161
2.3,2.4,1.6,11.7,12,3268
1.8,0.875,4.125,11.2,12,3451
0.55,1.275,5.725,10.45,12,4894
0.05,0.05,8.95,8.95,12,5186
1.4,0.975,10.025,5.6,12,5295
1.3,2.375,10.625,3.7,12,5361
1.375,2.125,11.875,2.625,12,5499
0.9,1.525,14.475,1.1,12,14744
2.15,1.55,0.45,13.85,13,3161
2.35,1.825,2.175,11.65,13,3268
0.875,0.625,4.375,12.125,13,3451
1.55,0.85,6.15,9.45,13,4894
0.3,0.225,8.775,8.7,13,5186
1.45,1.325,9.675,5.55,13,5295
1.2,1.975,11.025,3.8,13,5361
0.75,1.775,13.225,2.25,13,5499
1.05,2.1,13.9,0.95,13,14744
2.5,1.625,0.375,13.5,14,3161
2.0,1.975,2.025,12.0,14,3268
1.475,1.45,4.55,10.525,14,3451
0.75,1.25,5.75,10.25,14,4894
0.175,0.1,8.9,8.825,14,5186
1.3,1.3,9.7,5.7,14,5295
1.075,2.25,10.75,3.925,14,5361
0.775,1.7,13.3,2.225,14,5499
1.225,1.5,14.5,0.775,14,14744
2.075,1.475,0.525,13.925,15,3161
2.25,1.7,2.3,11.75,15,3268
1.375,0.425,4.575,11.625,15,3451
0.85,0.925,6.075,10.15,15,4894
0.325,0.1,8.9,8.675,15,5186
0.775,0.9,10.1,6.225,15,5295
1.525,1.5,11.5,3.475,15,5361
0.7,0.925,14.075,2.3,15,5499
1.225,2.1,13.9,0.775,15,14744
2.325,1.2,0.8,13.675,16,3161
1.85,1.5,2.5,12.15,16,3268
0.55,0.7,4.3,12.45,16,3451
0.725,1.275,5.725,10.275,16,4894
0.2,0.15,8.85,8.8,16,5186
1.275,1.0,10.0,5.725,16,5295
1.1,1.15,11.85,3.9,16,5361
0.8,0.775,13.225,3.2,16,5499
0.825,1.9,14.1,1.175,16,14744
2.575,1.4,0.6,13.425,17,3161
1.725,1.75,2.25,12.275,17,3268
0.525,1.175,4.825,11.475,17,3451
0.425,0.95,6.05,10.575,17,4894
0.125,0.1,8.9,8.875,17,5186
1.325,0.85,10.15,5.675,17,5295
1.075,1.0,12.0,3.925,17,5361
0.7,0.875,13.125,3.3,17,5499
0.8,1.575,14.425,1.2,17,14744
2.025,1.325,0.675,13.975,18,3161
1.9,1.5,2.5,12.1,18,3268
0.85,0.85,4.625,11.675,18,3451
0.725,1.2,5.8,10.275,18,4894
0.3,0.2,8.8,8.7,18,5186
1.175,1.075,9.925,5.825,18,5295
1.0,1.075,11.925,4.0,18,5361
0.675,1.375,13.2,2.75,18,5499
0.85,1.8,14.2,1.15,18,14744
1.625,1.575,0.425,14.375,19,3161
1.825,1.75,2.25,12.175,19,3268
0.775,0.625,4.375,12.225,19,3451
0.775,0.975,6.025,10.225,19,4894
0.15,0.0,9.0,8.85,19,5186
1.625,1.25,9.75,5.375,19,5295
0.85,0.95,12.05,4.15,19,5361
0.55,0.675,14.325,2.45,19,5499
