FN,FP,MSE,TN,TP,sr,t
0.0,2.0,51266.683333333334,0.0,16.0,2,3161
0.0,4.0,774509.2986111111,0.0,14.0,2,3268
5.725,1.875,1009272.8097222222,3.125,7.275,2,3451
4.55,3.025,918529.1375,3.975,6.45,2,4894
3.225,2.675,799621.9875,6.325,5.775,2,5186
2.6,4.875,869976.9805555556,6.125,4.4,2,5295
1.65,6.775,768591.8569444444,6.225,3.35,2,5361
4.0,0.0,605301.0027777778,14.0,0.0,2,5499
2.0,0.0,435250.9152777778,16.0,0.0,2,14744
0.0,2.0,503008.0833333333,0.0,16.0,3,3161
4.625,1.7,183440.58194444445,2.3,9.375,3,3268
3.9,2.3,1348890.0402777777,2.7,9.1,3,3451
3.625,3.85,589385.713888889,3.15,7.375,3,4894
3.375,2.15,750385.4666666667,6.85,5.625,3,5186
2.7,3.85,1351856.4347222222,7.15,4.3,3,5295
1.675,4.9,519630.1958333333,8.1,3.325,3,5361
0.9,6.0,467765.7277777778,9.0,2.1,3,5499
2.0,0.0,395007.3138888889,16.0,0.0,3,14744
0.0,2.0,13407.005555555555,0.0,16.0,4,3161
3.3,1.975,278552.2486111111,2.025,10.7,4,3268
2.75,2.625,526278.4763888889,3.375,9.25,4,3451
2.775,2.125,806186.3638888889,4.875,8.225,4,4894
1.675,2.475,593978.6388888889,6.525,7.325,4,5186
1.3,4.05,420273.2986111111,6.95,5.7,4,5295
2.025,4.25,579917.588888889,8.75,2.975,4,5361
1.075,4.775,665669.1819444444,10.225,1.925,4,5499
2.0,0.0,568108.9652777778,16.0,0.0,4,14744
2.7,1.4,1217462.4694444444,0.6,13.3,5,3161
1.55,2.5,391104.68333333335,1.5,12.45,5,3268
2.275,1.525,450058.9236111111,3.475,10.725,5,3451
2.6,2.275,360329.2708333334,4.725,8.4,5,4894
1.825,1.7,418975.5527777778,7.3,7.175,5,5186
2.35,2.85,378607.3722222222,8.15,4.65,5,5295
2.3,2.7,379821.6111111111,10.3,2.7,5,5361
1.0,3.45,195212.25416666668,11.55,2.0,5,5499
2.0,0.0,463620.0194444444,16.0,0.0,5,14744
3.125,1.225,284899.4222222222,0.775,12.875,6,3161
1.875,2.075,552043.848611111,1.925,12.125,6,3268
1.55,1.6,273895.3972222222,3.4,11.45,6,3451
1.675,2.65,197696.64027777777,4.35,9.325,6,4894
1.15,2.1,858136.9666666666,6.9,7.85,6,5186
1.75,1.9,120122.7263888889,9.1,5.25,6,5295
1.775,3.95,1855294.7013888888,9.05,3.225,6,5361
1.675,2.9,1391316.5972222222,11.1,2.325,6,5499
0.35,4.0,385796.6625,12.0,1.65,6,14744
2.4,1.275,5197.854166666666,0.725,13.6,7,3161
2.1,1.975,2413915.3430555556,2.025,11.9,7,3268
1.15,2.6,416356.59305555554,3.4,10.85,7,3451
2.025,2.425,453348.7888888889,4.575,8.975,7,4894
1.5,1.05,543065.6625,7.95,7.5,7,5186
1.375,3.1,547621.2694444444,7.9,5.625,7,5295
1.7,3.375,747647.0944444444,9.625,3.3,7,5361
1.725,2.05,144410.19166666668,11.95,2.275,7,5499
0.85,3.175,747141.1763888889,12.825,1.15,7,14744
1.7,1.3,1190599.7805555556,0.7,14.3,8,3161
1.525,1.7,371531.6013888889,2.3,12.475,8,3268
0.975,1.7,551548.901388889,4.3,11.025,8,3451
1.075,1.275,141833.99305555556,5.725,9.925,8,4894
0.725,1.575,4435.591666666666,7.425,8.275,8,5186
1.325,2.275,410171.6861111111,8.725,5.675,8,5295
1.65,2.55,664429.3722222222,10.45,3.35,8,5361
0.9,3.1,902231.2736111112,11.9,2.1,8,5499
0.95,2.125,8902.591666666667,13.875,1.05,8,14744
1.65,1.3,144651.0625,0.7,14.35,9,3161
1.675,1.375,271420.76944444445,2.625,12.325,9,3268
0.8,0.55,677245.6916666667,4.45,12.2,9,3451
1.0,1.3,388605.8694444444,5.7,10.0,9,4894
0.475,1.35,4660.291666666666,7.65,8.525,9,5186
1.025,2.65,147813.8263888889,8.35,5.975,9,5295
1.375,2.55,463490.9555555556,10.45,3.625,9,5361
0.875,2.5,194332.40277777778,12.5,2.125,9,5499
0.85,2.775,609046.3222222222,13.225,1.15,9,14744
1.425,1.35,373940.4194444445,0.65,14.575,10,3161
1.475,1.5,389241.0333333333,2.5,12.525,10,3268
0.625,0.975,4735.309722222222,5.025,11.375,10,3451
0.55,1.2,471.3569444444444,5.8,10.45,10,4894
0.6,1.15,547083.4,7.85,8.4,10,5186
1.5,2.525,48245.972222222226,8.475,5.5,10,5295
1.5,2.05,252906.1472222222,10.95,3.5,10,5361
0.725,2.275,401135.8847222222,12.725,2.275,10,5499
0.95,1.8,1479353.1958333333,14.2,1.05,10,14744
1.5,1.125,27889.81666666667,0.875,14.5,11,3161
1.55,1.35,602498.9041666667,2.65,12.45,11,3268
0.475,0.625,3943.0819444444446,5.375,11.525,11,3451
