FN,FP,TN,TP,sr,t
0.0,23.0,0.0,208.0,2,7395.054999999998
0.0,46.0,0.0,185.0,2,8447.814285714283
71.625,29.525,39.475,90.375,2,9560.767142857143
64.65,40.525,51.475,74.35,2,9896.94214285714
49.45,53.55,62.45,65.55,2,10259.974999999997
37.225,63.775,75.225,54.775,2,10607.560714285712
29.4,65.6,96.4,39.6,2,10970.621428571429
46.0,0.0,185.0,0.0,2,11656.392857142857
23.0,0.0,208.0,0.0,2,13508.696428571431
18.925,12.25,10.75,189.075,25,7395.054999999998
30.975,21.675,24.325,154.025,25,8447.814285714283
28.575,28.475,40.525,133.425,25,9560.767142857143
31.35,31.0,61.0,107.65,25,9896.94214285714
31.45,30.225,85.775,83.55,25,10259.974999999997
28.8,24.3,114.7,63.2,25,10607.560714285712
21.875,23.525,138.475,47.125,25,10970.621428571429
17.925,17.975,167.025,28.075,25,11656.392857142857
10.675,11.725,196.275,12.325,25,13508.696428571431
12.05,11.425,11.575,195.95,48,7395.054999999998
23.95,21.0,25.0,161.05,48,8447.814285714283
22.8,24.375,44.625,139.2,48,9560.767142857143
27.85,26.5,65.5,111.15,48,9896.94214285714
25.85,22.275,93.725,89.15,48,10259.974999999997
21.2,22.35,116.65,70.8,48,10607.560714285712
13.875,16.05,145.95,55.125,48,10970.621428571429
16.375,16.375,168.625,29.625,48,11656.392857142857
10.025,11.35,196.65,12.975,48,13508.696428571431
13.15,13.125,9.875,194.85,71,7395.054999999998
21.875,19.925,26.075,163.125,71,8447.814285714283
20.65,19.5,49.5,141.35,71,9560.767142857143
23.225,23.9,68.1,115.775,71,9896.94214285714
23.4,21.025,94.975,91.6,71,10259.974999999997
18.45,19.35,119.65,73.55,71,10607.560714285712
12.85,15.0,147.0,56.15,71,10970.621428571429
14.35,18.475,166.525,31.65,71,11656.392857142857
10.375,9.125,198.875,12.625,71,13508.696428571431
11.5,11.475,11.525,196.5,94,7395.054999999998
20.575,17.95,28.05,164.425,94,8447.814285714283
