FN,FP,MSE,TN,TP,sr,t
0.0,23.0,412191.89691656106,0.0,208.0,2,7395.054999999998
0.0,46.0,953285.9927444328,0.0,185.0,2,8447.814285714283
64.8,41.4,262655.2696293422,27.6,97.2,2,9560.767142857143
62.55,50.6,312841.9277629944,41.4,76.45,2,9896.94214285714
43.125,72.5,393653.680016759,43.5,71.875,2,10259.974999999997
39.1,79.925,349546.45858654723,59.075,52.9,2,10607.560714285712
36.225,76.95,603793.8838724481,85.05,32.775,2,10970.621428571429
46.0,0.0,473153.3695611473,185.0,0.0,2,11656.392857142857
23.0,0.0,205892.07685021908,208.0,0.0,2,13508.696428571431
14.575,14.775,444011.8353289639,8.225,193.425,25,7395.054999999998
19.575,25.75,248672.54934615284,20.25,165.425,25,8447.814285714283
29.875,27.725,566153.6375053237,41.275,132.125,25,9560.767142857143
34.175,27.875,139244.0180352171,64.125,104.825,25,9896.94214285714
28.2,32.4,158460.53070543657,83.6,86.8,25,10259.974999999997
27.1,23.875,124157.10195359211,115.125,64.9,25,10607.560714285712
20.825,27.675,199344.69718060957,134.325,48.175,25,10970.621428571429
19.15,16.075,169974.79622847534,168.925,26.85,25,11656.392857142857
12.375,15.0,151058.54654793878,193.0,10.625,25,13508.696428571431
8.95,15.775,364530.99059207976,7.225,199.05,48,7395.054999999998
20.1,22.425,204656.46665772703,23.575,164.9,48,8447.814285714283
26.75,21.15,236966.8729894775,47.85,135.25,48,9560.767142857143
26.25,26.625,258308.83007953447,65.375,112.75,48,9896.94214285714
27.35,23.275,104747.7345097667,92.725,87.65,48,10259.974999999997
20.775,22.35,181640.21343567796,116.65,71.225,48,10607.560714285712
18.95,15.175,217634.30848462498,146.825,50.05,48,10970.621428571429
14.8,15.325,137137.6069747347,169.675,31.2,48,11656.392857142857
9.825,10.65,304072.6251993131,197.35,13.175,48,13508.696428571431
9.15,15.3,100057.8758455904,7.7,198.85,71,7395.054999999998
18.65,23.0,365451.7525128063,23.0,166.35,71,8447.814285714283
25.675,19.875,143437.93501349157,49.125,136.325,71,9560.767142857143
