FN,FP,TN,TP,sr,t
0.0,135.0,0.0,1214.0,2,22.464000000000002
0.0,270.0,0.0,1079.0,2,23.397
544.275,124.7,280.3,399.725,2,24.643
306.525,255.075,284.925,502.475,2,27.068
278.8,312.775,362.225,395.2,2,30.396
223.925,354.15,455.85,315.075,2,33.649
204.975,436.625,507.375,200.025,2,39.013000000000005
270.0,0.0,1079.0,0.0,2,45.168
135.0,0.0,1214.0,0.0,2,58.173
65.45,66.8,68.2,1148.55,136,22.464000000000002
102.65,99.075,170.925,976.35,136,23.397
104.275,88.725,316.275,839.725,136,24.643
110.3,112.925,427.075,698.7,136,27.068
112.8,93.925,581.075,561.2,136,30.396
90.675,107.45,701.55,449.325,136,33.649
96.925,105.525,838.475,308.075,136,39.013000000000005
115.6,111.6,967.4,154.4,136,45.168
72.525,60.325,1153.675,62.475,136,58.173
51.625,56.775,78.225,1162.375,270,22.464000000000002
76.775,73.7,196.3,1002.225,270,23.397
79.95,65.075,339.925,864.05,270,24.643
92.85,89.05,450.95,716.15,270,27.068
94.125,78.25,596.75,579.875,270,30.396
77.25,75.5,734.5,461.75,270,33.649
75.5,85.975,858.025,329.5,270,39.013000000000005
100.575,91.025,987.975,169.425,270,45.168
58.975,35.275,1178.725,76.025,270,58.173
46.7,53.55,81.45,1167.3,404,22.464000000000002
55.775,76.575,193.425,1023.225,404,23.397
64.55,60.575,344.425,879.45,404,24.643
78.25,83.525,456.475,730.75,404,27.068
87.325,60.375,614.625,586.675,404,30.396
74.375,59.825,750.175,464.625,404,33.649
68.925,70.0,874.0,336.075,404,39.013000000000005
95.45,78.35,1000.65,174.55,404,45.168
49.65,33.925,1180.075,85.35,404,58.173
38.75,47.35,87.65,1175.25,538,22.464000000000002
54.775,70.425,199.575,1024.225,538,23.397
51.45,68.45,336.55,892.55,538,24.643
76.9,83.525,456.475,732.1,538,27.068
92.625,52.85,622.15,581.375,538,30.396
64.675,56.775,752.225,475.325,538,33.649
68.9,61.65,882.35,336.1,538,39.013000000000005
77.4,79.425,999.575,192.6,538,45.168
46.65,24.1,1189.9,88.35,538,58.173
38.25,45.25,89.75,1175.75,672,22.464000000000002
44.25,81.175,188.825,1034.75,672,23.397
49.45,57.525,347.475,894.55,672,24.643
81.375,75.875,464.125,727.625,672,27.068
85.9,55.85,619.15,588.1,672,30.396
58.875,54.5,755.5,480.125,672,33.649
64.15,67.825,876.175,340.85,672,39.013000000000005
69.0,76.3,1002.7,201.0,672,45.168
42.725,20.45,1193.55,92.275,672,58.173
38.7,42.075,92.925,1175.3,806,22.464000000000002
51.725,64.825,205.175,1027.275,806,23.397
45.775,60.025,344.975,898.225,806,24.643
83.725,82.05,457.95,725.275,806,27.068
88.275,51.625,623.375,585.725,806,30.396
63.0,41.975,767.025,477.0,806,33.649
63.4,67.55,876.45,341.6,806,39.013000000000005
70.75,69.375,1009.625,199.25,806,45.168
45.15,15.675,1198.325,89.85,806,58.173
36.75,42.875,92.125,1177.25,940,22.464000000000002
54.075,58.525,211.475,1024.925,940,23.397
43.1,63.025,341.975,900.9,940,24.643
85.675,70.075,469.925,723.325,940,27.068
86.7,45.05,629.95,587.3,940,30.396
60.075,45.85,764.15,478.925,940,33.649
60.125,65.4,878.6,344.875,940,39.013000000000005
66.65,71.375,1007.625,203.35,940,45.168
34.575,14.65,1199.35,100.425,940,58.173
36.1,39.5,95.5,1177.9,1074,22.464000000000002
60.3,54.95,215.05,1018.7,1074,23.397
43.0,61.1,343.9,901.0,1074,24.643
76.8,80.35,459.65,732.2,1074,27.068
83.325,46.625,628.375,590.675,1074,30.396
