FN,FP,MSE,TN,TP,sr,t
0.0,135.0,6.152912735938659,0.0,1214.0,2,22.464000000000002
0.0,270.0,8.038103826413083,0.0,1079.0,2,23.397
47.2,384.75,25.952145854211455,20.25,896.8,2,24.643
182.025,418.5,6.303107186304669,121.5,626.975,2,27.068
219.05,455.625,7.173519914343958,219.375,454.95,2,30.396
242.55,445.5,5.658906991164752,364.5,296.45,2,33.649
212.625,448.4,6.0511213191855076,495.6,192.375,2,39.013000000000005
270.0,0.0,6.118604622817828,1079.0,0.0,2,45.168
135.0,0.0,8.918069766294478,1214.0,0.0,2,58.173
0.0,135.0,4.197790002470241,0.0,1214.0,136,22.464000000000002
4.8,263.5,2.3827431436458624,6.5,1074.2,136,23.397
104.225,169.4,3.462037243140466,235.6,839.775,136,24.643
131.325,73.325,2.388884088331906,466.675,677.675,136,27.068
108.05,89.55,2.796987792818805,585.45,565.95,136,30.396
91.2,108.175,3.4673802626631316,700.825,448.8,136,33.649
115.5,122.25,2.7923235219024187,821.75,289.5,136,39.013000000000005
115.525,116.775,3.489768477531596,962.225,154.475,136,45.168
81.7,67.425,3.320241535997635,1146.575,53.3,136,58.173
0.0,135.0,2.538486385436778,0.0,1214.0,270,22.464000000000002
0.0,270.0,2.6906787518111677,0.0,1079.0,270,23.397
34.85,325.1,4.206443540575491,79.9,909.15,270,24.643
148.975,58.075,1.670055637850529,481.925,660.025,270,27.068
97.275,79.125,3.207863231897606,595.875,576.725,270,30.396
71.475,117.1,2.7480536352795792,692.9,467.525,270,33.649
97.875,99.125,2.801271533311978,844.875,307.125,270,39.013000000000005
105.725,85.625,2.0645093813715696,993.375,164.275,270,45.168
75.9,42.3,2.1399504071725213,1171.7,59.1,270,58.173
0.0,135.0,2.437540472528959,0.0,1214.0,404,22.464000000000002
0.0,270.0,2.010865298918543,0.0,1079.0,404,23.397
33.5,325.375,1.5565546820703304,79.625,910.5,404,24.643
149.8,50.9,2.3430863940248683,489.1,659.2,404,27.068
88.875,85.8,1.8682610022871784,589.2,585.125,404,30.396
44.1,147.225,2.5183747456717263,662.775,494.9,404,33.649
98.35,96.55,2.226850975637314,847.45,306.65,404,39.013000000000005
114.05,67.525,1.5454094375266025,1011.475,155.95,404,45.168
70.65,30.475,2.021146264146115,1183.525,64.35,404,58.173
0.0,135.0,1.5232347808599451,0.0,1214.0,538,22.464000000000002
0.0,270.0,1.856554523571921,0.0,1079.0,538,23.397
14.55,370.1,1.7451350918104676,34.9,929.45,538,24.643
168.175,36.95,1.5825889524043213,503.05,640.825,538,27.068
90.65,86.8,2.0723295606037153,588.2,583.35,538,30.396
41.625,151.475,1.9511756403550937,657.525,498.375,538,33.649
106.225,87.125,2.2791800330154315,856.875,298.775,538,39.013000000000005
100.275,66.8,1.772466973624758,1012.2,169.725,538,45.168
55.2,28.5,1.7217919404487367,1185.5,79.8,538,58.173
0.0,135.0,1.3338997094793594,0.0,1214.0,672,22.464000000000002
0.0,270.0,1.4869676691978857,0.0,1079.0,672,23.397
10.925,378.625,1.6132366783079206,26.375,933.075,672,24.643
160.45,43.95,2.167964210472885,496.05,648.55,672,27.068
90.375,88.95,1.9652743432258706,586.05,583.625,672,30.396
39.425,154.65,1.300661791424188,655.35,499.575,672,33.649
108.325,84.55,1.848669021292915,859.45,296.675,672,39.013000000000005
99.15,65.95,1.2409061684289844,1013.05,170.85,672,45.168
57.3,25.725,1.2732736326375613,1188.275,77.7,672,58.173
0.0,135.0,1.7872083001475474,0.0,1214.0,806,22.464000000000002
