class_weight,criterion,file,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,random_state,results,splitter
,entropy,Apache,10.0,,10,1e-07,1,2,0.0,False,,./dataTest2/Apache-0001-classification.csv,best
,entropy,Apache,,,10,1e-07,1,2,0.0,False,,./dataTest2/Apache-0002-classification.csv,best
,entropy,Apache,20.0,,20,1e-07,1,2,0.0,False,,./dataTest2/Apache-0003-classification.csv,best
,mse,Apache,20.0,,20,1e-07,2,2,0.0,False,,./dataTest2/Apache-0004-regression.csv,best
,mse,Apache,,,20,1e-07,2,2,0.0,False,,./dataTest2/Apache-0005-regression.csv,best
,mse,Apache,20.0,,20,1e-07,1,2,0.0,False,,./dataTest2/Apache-0006-regression.csv,best
,entropy,BerkeleyC,20.0,,20,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyC-0001-classification.csv,best
,entropy,BerkeleyC,,,20,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyC-0002-classification.csv,best
,entropy,BerkeleyC,10.0,,10,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyC-0003-classification.csv,best
,mse,BerkeleyC,,,20,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyC-0004-regression.csv,best
,mse,BerkeleyC,,,20,1e-07,2,2,0.0,False,,./dataTest2/BerkeleyC-0005-regression.csv,best
,mse,BerkeleyC,10.0,,20,1e-07,2,2,0.0,False,,./dataTest2/BerkeleyC-0006-regression.csv,best
,entropy,BerkeleyJ,20.0,,10,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyJ-0001-classification.csv,best
,entropy,BerkeleyJ,20.0,,20,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyJ-0002-classification.csv,best
,entropy,BerkeleyJ,10.0,,20,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyJ-0003-classification.csv,best
,mse,BerkeleyJ,20.0,,20,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyJ-0004-regression.csv,best
,mse,BerkeleyJ,10.0,,10,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyJ-0005-regression.csv,best
,mse,BerkeleyJ,20.0,,10,1e-07,1,2,0.0,False,,./dataTest2/BerkeleyJ-0006-regression.csv,best
,entropy,Dune,10.0,,20,1e-07,1,2,0.0,False,,./dataTest2/Dune-0001-classification.csv,best
,entropy,Dune,,,20,1e-07,1,2,0.0,False,,./dataTest2/Dune-0002-classification.csv,best
,entropy,Dune,20.0,,20,1e-07,1,2,0.0,False,,./dataTest2/Dune-0003-classification.csv,best
,mse,Dune,10.0,,20,1e-07,2,2,0.0,False,,./dataTest2/Dune-0004-regression.csv,best
,mse,Dune,,,20,1e-07,2,2,0.0,False,,./dataTest2/Dune-0005-regression.csv,best
,mse,Dune,20.0,,20,1e-07,2,2,0.0,False,,./dataTest2/Dune-0006-regression.csv,best
,entropy,HIPAcc,20.0,,20,1e-07,1,2,0.0,False,,./dataTest2/HIPAcc-0001-classification.csv,best
,entropy,HIPAcc,10.0,,20,1e-07,1,2,0.0,False,,./dataTest2/HIPAcc-0002-classification.csv,best
,entropy,HIPAcc,,,20,1e-07,1,2,0.0,False,,./dataTest2/HIPAcc-0003-classification.csv,best
,mse,HIPAcc,,,20,1e-07,1,2,0.0,False,,./dataTest2/HIPAcc-0004-regression.csv,best
,mse,HIPAcc,10.0,,20,1e-07,2,2,0.0,False,,./dataTest2/HIPAcc-0005-regression.csv,best
,mse,HIPAcc,20.0,,20,1e-07,2,2,0.0,False,,./dataTest2/HIPAcc-0006-regression.csv,best
