FN,FP,TN,TP,sr,t
0.0,1.0,0.0,19.0,2,870
0.0,1.0,0.0,19.0,2,900
0.0,1.0,0.0,19.0,2,900
0.0,2.0,0.0,18.0,2,930
0.0,3.0,0.0,17.0,2,960
0.0,3.0,0.0,17.0,2,960
0.0,3.0,0.0,17.0,2,960
0.0,4.0,0.0,16.0,2,990
0.0,4.0,0.0,16.0,2,990
0.0,5.0,0.0,15.0,2,1020
0.0,5.0,0.0,15.0,2,1020
7.2,2.5,2.5,7.8,2,1050
7.1,2.2,2.8,7.9,2,1050
7.3,2.3,3.7,6.7,2,1080
7.5,3.2,2.8,6.5,2,1080
5.4,2.2,4.8,7.6,2,1110
6.1,2.6,4.4,6.9,2,1110
5.6,3.3,4.7,6.4,2,1140
6.2,3.4,4.6,5.8,2,1140
5.1,3.4,4.6,6.9,2,1140
4.2,3.9,5.1,6.8,2,1170
4.7,4.7,5.3,5.3,2,1200
4.4,4.3,5.7,5.6,2,1200
3.5,3.7,6.3,6.5,2,1200
3.1,6.8,4.2,5.9,2,1230
3.9,5.3,5.7,5.1,2,1230
3.5,4.7,6.3,5.5,2,1230
3.6,4.5,6.5,5.4,2,1260
2.8,4.5,7.5,5.2,2,1320
3.3,5.9,6.1,4.7,2,1320
3.1,6.6,6.4,3.9,2,1380
2.3,6.5,6.5,4.7,2,1410
2.9,6.3,6.7,4.1,2,1470
2.5,4.6,9.4,3.5,2,1680
3.6,7.1,6.9,2.4,2,1770
1.8,7.3,7.7,3.2,2,1830
1.1,5.6,9.4,3.9,2,1860
5.0,0.0,15.0,0.0,2,1890
4.0,0.0,16.0,0.0,2,1920
4.0,0.0,16.0,0.0,2,1980
4.0,0.0,16.0,0.0,2,2010
3.0,0.0,17.0,0.0,2,2070
3.0,0.0,17.0,0.0,2,2100
2.0,0.0,18.0,0.0,2,2130
2.0,0.0,18.0,0.0,2,2160
1.0,0.0,19.0,0.0,2,2190
1.0,0.0,19.0,0.0,2,2250
1.0,0.0,19.0,0.0,2,2340
0.0,0.0,20.0,0.0,2,2430
0.0,1.0,0.0,19.0,3,870
0.0,1.0,0.0,19.0,3,900
0.0,1.0,0.0,19.0,3,900
