FN,FP,MSE,TN,TP,sr,t
0.0,1.0,35982.0,0.0,19.0,2,870
0.0,1.0,42961.5,0.0,19.0,2,900
0.0,1.0,32458.5,0.0,19.0,2,900
0.0,2.0,17019.0,0.0,18.0,2,930
0.0,3.0,37854.0,0.0,17.0,2,960
0.0,3.0,80127.0,0.0,17.0,2,960
0.0,3.0,14953.5,0.0,17.0,2,960
0.0,4.0,33417.0,0.0,16.0,2,990
0.0,4.0,42142.5,0.0,16.0,2,990
0.0,5.0,12555.0,0.0,15.0,2,1020
0.0,5.0,19939.5,0.0,15.0,2,1020
6.6,1.7,44604.0,3.3,8.4,2,1050
6.8,1.9,42057.0,3.1,8.2,2,1050
6.3,2.8,38407.5,3.2,7.7,2,1080
6.1,2.4,34870.5,3.6,7.9,2,1080
6.2,3.3,54702.0,3.7,6.8,2,1110
5.7,2.0,25114.5,5.0,7.3,2,1110
5.4,4.1,34830.0,3.9,6.6,2,1140
5.4,4.6,48379.5,3.4,6.6,2,1140
4.3,3.4,40725.0,4.6,7.7,2,1140
4.4,3.6,19624.5,5.4,6.6,2,1170
4.4,3.8,32445.0,6.2,5.6,2,1200
5.1,4.0,21775.5,6.0,4.9,2,1200
4.5,4.4,51147.0,5.6,5.5,2,1200
3.2,5.4,38241.0,5.6,5.8,2,1230
3.2,3.5,74943.0,7.5,5.8,2,1230
4.7,4.3,11538.0,6.7,4.3,2,1230
2.9,4.7,50845.5,6.3,6.1,2,1260
3.1,4.7,76644.0,7.3,4.9,2,1320
3.6,5.6,45769.5,6.4,4.4,2,1320
2.3,5.3,42754.5,7.7,4.7,2,1380
2.9,5.8,33912.0,7.2,4.1,2,1410
2.6,5.5,9036.0,7.5,4.4,2,1470
1.8,5.8,33660.0,8.2,4.2,2,1680
1.9,5.3,26289.0,8.7,4.1,2,1770
2.2,8.1,32031.0,6.9,2.8,2,1830
2.7,7.0,51466.5,8.0,2.3,2,1860
5.0,0.0,28174.5,15.0,0.0,2,1890
4.0,0.0,34650.0,16.0,0.0,2,1920
4.0,0.0,31126.5,16.0,0.0,2,1980
4.0,0.0,17401.5,16.0,0.0,2,2010
3.0,0.0,54445.5,17.0,0.0,2,2070
3.0,0.0,21222.0,17.0,0.0,2,2100
2.0,0.0,47187.0,18.0,0.0,2,2130
2.0,0.0,18679.5,18.0,0.0,2,2160
1.0,0.0,25276.5,19.0,0.0,2,2190
1.0,0.0,31972.5,19.0,0.0,2,2250
1.0,0.0,46305.0,19.0,0.0,2,2340
