FN,FP,TN,TP,sr,t
0.0,5.0,0.0,251.0,2,0.369583358974359
0.0,10.0,0.0,246.0,2,0.38916941025640994
0.0,15.0,0.0,241.0,2,0.44789341025640994
0.0,21.0,0.0,235.0,2,0.46449435897435903
0.0,26.0,0.0,230.0,2,0.478987974358975
0.0,31.0,0.0,225.0,2,0.503539666666667
0.0,36.0,0.0,220.0,2,0.512276128205128
0.0,41.0,0.0,215.0,2,0.51722258974359
0.0,46.0,0.0,210.0,2,0.521336794871795
0.0,51.0,0.0,205.0,2,0.528053435897436
0.0,56.0,0.0,200.0,2,0.5394445897435901
0.0,62.0,0.0,194.0,2,0.576508025641026
81.7,32.0,35.0,107.3,2,0.630504846153846
50.2,42.5,29.5,133.8,2,0.640399923076923
99.6,24.4,52.6,79.4,2,0.732406631578947
93.9,33.8,48.2,80.1,2,0.7518941842105259
86.8,31.0,56.0,82.2,2,0.773130256410256
72.8,46.4,45.6,91.2,2,0.9177915000000001
65.8,30.0,67.0,93.2,2,0.927965236842105
81.8,44.0,58.0,72.2,2,1.24142602702703
66.3,59.9,48.1,81.7,2,1.25771571794872
71.9,49.9,63.1,71.1,2,1.30623705128205
68.4,35.2,82.8,69.6,2,2.03072558974359
38.0,60.8,62.2,95.0,2,2.0685938974359
74.3,56.3,71.7,53.7,2,2.08937425641026
53.9,41.0,92.0,69.1,2,2.1472189473684202
59.2,61.7,76.3,58.8,2,2.37894407692308
53.5,58.6,84.4,59.5,2,3.2293576666666697
37.6,78.4,70.6,69.4,2,3.2687539743589697
36.3,69.5,84.5,65.7,2,5.81297530769231
52.7,58.5,100.5,44.3,2,5.839386179487179
46.5,51.2,112.8,45.5,2,5.85957394594594
25.7,80.2,88.8,61.3,2,6.5140155897435905
28.6,92.5,81.5,53.4,2,6.52784723684211
23.8,73.2,105.8,53.2,2,10.6980868974359
16.9,81.5,102.5,55.1,2,10.7322793589744
31.2,77.2,112.8,34.8,2,10.748921692307698
61.0,0.0,195.0,0.0,2,10.906061351351399
56.0,0.0,200.0,0.0,2,10.9246781025641
51.0,0.0,205.0,0.0,2,19.898601564102602
46.0,0.0,210.0,0.0,2,19.970140487179503
41.0,0.0,215.0,0.0,2,20.0097336410256
36.0,0.0,220.0,0.0,2,21.222996315789498
31.0,0.0,225.0,0.0,2,21.2639693333333
26.0,0.0,230.0,0.0,2,37.5557710769231
20.0,0.0,236.0,0.0,2,37.697381282051296
15.0,0.0,241.0,0.0,2,37.8129254871795
10.0,0.0,246.0,0.0,2,38.8723414210526
5.0,0.0,251.0,0.0,2,38.979411525
13.6,3.0,2.0,237.4,27,0.369583358974359
10.5,6.5,3.5,235.5,27,0.38916941025640994
10.8,5.0,10.0,230.2,27,0.44789341025640994
15.1,13.6,7.4,219.9,27,0.46449435897435903
27.7,13.2,12.8,202.3,27,0.478987974358975
26.9,16.9,14.1,198.1,27,0.503539666666667
27.7,21.0,15.0,192.3,27,0.512276128205128
23.5,20.6,20.4,191.5,27,0.51722258974359
28.7,16.7,29.3,181.3,27,0.521336794871795
30.6,21.8,29.2,174.4,27,0.528053435897436
34.6,15.8,40.2,165.4,27,0.5394445897435901
13.2,18.2,43.8,180.8,27,0.576508025641026
