FN,FP,MSE,TN,TP,sr,t
0.0,5.0,16.56341764663292,0.0,251.0,2,0.369583358974359
0.0,10.0,64.87873626582038,0.0,246.0,2,0.38916941025640994
0.0,15.0,14.998605609645972,0.0,241.0,2,0.44789341025640994
0.0,21.0,17.368649820683423,0.0,235.0,2,0.46449435897435903
0.0,26.0,15.88903629497687,0.0,230.0,2,0.478987974358975
0.0,31.0,16.709784626599035,0.0,225.0,2,0.503539666666667
0.0,36.0,26.634773444362473,0.0,220.0,2,0.512276128205128
0.0,41.0,18.912845922394887,0.0,215.0,2,0.51722258974359
0.0,46.0,11.13732593971236,0.0,210.0,2,0.521336794871795
0.0,51.0,19.49810500856482,0.0,205.0,2,0.528053435897436
0.0,56.0,22.199510922746605,0.0,200.0,2,0.5394445897435901
0.0,62.0,22.35144020767521,0.0,194.0,2,0.576508025641026
105.5,24.1,21.04430298533448,42.9,83.5,2,0.630504846153846
71.0,31.9,9.750442411604755,40.1,113.0,2,0.640399923076923
76.0,33.1,26.049080320068043,43.9,103.0,2,0.732406631578947
79.7,46.3,17.402077893254706,35.7,94.3,2,0.7518941842105259
70.4,31.7,8.67745628851075,55.3,98.6,2,0.773130256410256
77.2,48.3,21.648032753491115,43.7,86.8,2,0.9177915000000001
69.0,39.0,7.857293153501263,58.0,90.0,2,0.927965236842105
66.7,49.7,25.686504110568013,52.3,87.3,2,1.24142602702703
82.3,48.1,15.697187645048052,59.9,65.7,2,1.25771571794872
44.4,57.5,57.83804866854457,55.5,98.6,2,1.30623705128205
62.4,59.1,84.32565399228511,58.9,75.6,2,2.03072558974359
54.4,61.0,64.74893066334444,62.0,78.6,2,2.0685938974359
56.4,68.5,16.605248250733887,59.5,71.6,2,2.08937425641026
65.8,62.3,19.51673096263386,70.7,57.2,2,2.1472189473684202
38.3,80.9,83.93909610720036,57.1,79.7,2,2.37894407692308
50.9,43.0,15.06599238241427,100.0,62.1,2,3.2293576666666697
49.1,73.8,17.491639170665,75.2,57.9,2,3.2687539743589697
42.9,61.4,16.45504259108402,92.6,59.1,2,5.81297530769231
32.6,65.0,10.45881195352425,94.0,64.4,2,5.839386179487179
23.1,66.0,16.964011270761194,98.0,68.9,2,5.85957394594594
34.8,89.9,20.952548647670845,79.1,52.2,2,6.5140155897435905
40.9,81.6,15.859348277269948,92.4,41.1,2,6.52784723684211
37.1,87.6,21.76586417563329,91.4,39.9,2,10.6980868974359
26.7,100.3,19.215999952146866,83.7,45.3,2,10.7322793589744
31.9,92.1,27.74959699813146,97.9,34.1,2,10.748921692307698
61.0,0.0,18.447369274228667,195.0,0.0,2,10.906061351351399
56.0,0.0,20.61652861106807,200.0,0.0,2,10.9246781025641
51.0,0.0,21.43369752781835,205.0,0.0,2,19.898601564102602
46.0,0.0,15.904761990904353,210.0,0.0,2,19.970140487179503
41.0,0.0,16.04198172586845,215.0,0.0,2,20.0097336410256
