FN,FP,TN,TP,sr,t
0.0,0.0,0.0,18.0,2,3058
0.0,1.0,0.0,17.0,2,3106
0.0,1.0,0.0,17.0,2,3139
0.0,2.0,0.0,16.0,2,3155
0.0,2.0,0.0,16.0,2,3161
0.0,2.0,0.0,16.0,2,3171
0.0,3.0,0.0,15.0,2,3185
0.0,3.0,0.0,15.0,2,3230
0.0,3.0,0.0,15.0,2,3249
0.0,4.0,0.0,14.0,2,3268
0.0,4.0,0.0,14.0,2,3271
0.0,4.0,0.0,14.0,2,3325
4.5,2.4,2.6,8.5,2,3341
6.5,1.3,3.7,6.5,2,3412
5.2,1.4,3.6,7.8,2,3451
4.2,1.1,4.9,7.8,2,3517
6.3,1.6,4.4,5.7,2,4669
4.7,2.6,3.4,7.3,2,4714
3.0,2.7,4.3,8.0,2,4792
6.8,3.2,3.8,4.2,2,4894
3.0,3.7,4.3,7.0,2,4903
5.4,3.4,4.6,4.6,2,4920
3.0,3.0,5.0,7.0,2,4953
2.7,2.5,6.5,6.3,2,5048
2.8,3.3,5.7,6.2,2,5186
3.0,2.2,6.8,6.0,2,5216
3.9,4.5,5.5,4.1,2,5231
2.8,4.8,5.2,5.2,2,5235
2.0,4.2,6.8,5.0,2,5256
2.6,5.0,6.0,4.4,2,5295
0.6,4.3,6.7,6.4,2,5309
2.4,5.7,6.3,3.6,2,5316
1.7,5.7,6.3,4.3,2,5328
2.1,5.9,6.1,3.9,2,5343
1.7,6.2,6.8,3.3,2,5361
1.7,7.9,5.1,3.3,2,5390
2.3,5.5,7.5,2.7,2,5432
4.0,0.0,14.0,0.0,2,5457
4.0,0.0,14.0,0.0,2,5467
4.0,0.0,14.0,0.0,2,5499
3.0,0.0,15.0,0.0,2,5510
3.0,0.0,15.0,0.0,2,14580
3.0,0.0,15.0,0.0,2,14638
2.0,0.0,16.0,0.0,2,14685
2.0,0.0,16.0,0.0,2,14744
1.0,0.0,17.0,0.0,2,14786
1.0,0.0,17.0,0.0,2,16351
1.0,0.0,17.0,0.0,2,16401
0.0,0.0,18.0,0.0,2,16446
0.0,0.0,0.0,18.0,3,3058
0.0,1.0,0.0,17.0,3,3106
0.0,1.0,0.0,17.0,3,3139
0.0,2.0,0.0,16.0,3,3155
0.0,2.0,0.0,16.0,3,3161
0.0,2.0,0.0,16.0,3,3171
0.0,3.0,0.0,15.0,3,3185
0.0,3.0,0.0,15.0,3,3230
5.3,1.2,1.8,9.7,3,3249
5.0,1.6,2.4,9.0,3,3268
6.7,1.4,2.6,7.3,3,3271
5.9,1.4,2.6,8.1,3,3325
6.7,1.9,3.1,6.3,3,3341
5.0,1.7,3.3,8.0,3,3412
5.5,1.5,3.5,7.5,3,3451
4.8,2.3,3.7,7.2,3,3517
3.8,2.8,3.2,8.2,3,4669
4.6,3.1,3.9,6.4,3,4714
2.5,2.9,4.1,8.5,3,4792
3.5,2.1,4.9,7.5,3,4894
3.5,2.6,5.4,6.5,3,4903
2.5,2.4,5.6,7.5,3,4920
2.2,2.7,5.3,7.8,3,4953
1.9,2.2,6.8,7.1,3,5048
2.7,2.8,6.2,6.3,3,5186
2.5,1.7,7.3,6.5,3,5216
1.3,1.9,8.1,6.7,3,5231
3.9,2.8,7.2,4.1,3,5235
3.1,2.7,7.3,4.9,3,5256
1.6,3.7,7.3,5.4,3,5295
0.8,2.7,8.3,6.2,3,5309
2.7,4.7,7.3,3.3,3,5316
1.1,5.5,6.5,4.9,3,5328
1.9,3.9,8.1,4.1,3,5343
1.9,5.2,7.8,3.1,3,5361
1.4,3.5,9.5,3.6,3,5390
1.5,5.8,7.2,3.5,3,5432
1.3,6.2,7.8,2.7,3,5457
1.9,5.2,8.8,2.1,3,5467
0.7,5.7,9.3,2.3,3,5499
0.8,6.3,8.7,2.2,3,5510
3.0,0.0,15.0,0.0,3,14580
3.0,0.0,15.0,0.0,3,14638
2.0,0.0,16.0,0.0,3,14685
2.0,0.0,16.0,0.0,3,14744
1.0,0.0,17.0,0.0,3,14786
1.0,0.0,17.0,0.0,3,16351
1.0,0.0,17.0,0.0,3,16401
0.0,0.0,18.0,0.0,3,16446
0.0,0.0,0.0,18.0,4,3058
0.0,1.0,0.0,17.0,4,3106
0.0,1.0,0.0,17.0,4,3139
0.0,2.0,0.0,16.0,4,3155
0.0,2.0,0.0,16.0,4,3161
0.0,2.0,0.0,16.0,4,3171
4.5,1.5,1.5,10.5,4,3185
5.2,1.3,1.7,9.8,4,3230
6.7,2.0,1.0,8.3,4,3249
4.3,1.7,2.3,9.7,4,3268
5.2,2.8,1.2,8.8,4,3271
5.4,1.8,2.2,8.6,4,3325
6.3,2.4,2.6,6.7,4,3341
4.4,2.1,2.9,8.6,4,3412
3.5,3.5,2.5,8.5,4,3451
2.7,2.2,3.8,9.3,4,3517
3.9,2.4,3.6,8.1,4,4669
3.3,3.1,3.9,7.7,4,4714
3.2,2.5,4.5,7.8,4,4792
3.1,1.1,5.9,7.9,4,4894
3.6,1.9,6.1,6.4,4,4903
2.9,1.3,6.7,7.1,4,4920
2.6,1.8,6.2,7.4,4,4953
1.3,1.0,8.0,7.7,4,5048
0.0,0.0,9.0,9.0,4,5186
1.8,2.0,7.0,7.2,4,5216
0.5,2.0,8.0,7.5,4,5231
2.6,3.0,7.0,5.4,4,5235
1.3,4.7,6.3,5.7,4,5256
1.6,3.2,7.8,5.4,4,5295
3.1,2.0,9.0,3.9,4,5309
1.1,3.1,8.9,4.9,4,5316
2.0,3.9,8.1,4.0,4,5328
1.6,3.6,8.4,4.4,4,5343
2.0,5.2,7.8,3.0,4,5361
2.7,2.5,10.5,2.3,4,5390
2.3,3.2,9.8,2.7,4,5432
1.6,5.1,8.9,2.4,4,5457
2.2,4.2,9.8,1.8,4,5467
1.0,5.0,10.0,2.0,4,5499
0.8,5.2,9.8,2.2,4,5510
1.1,5.9,9.1,1.9,4,14580
0.5,4.9,11.1,1.5,4,14638
2.0,0.0,16.0,0.0,4,14685
2.0,0.0,16.0,0.0,4,14744
1.0,0.0,17.0,0.0,4,14786
1.0,0.0,17.0,0.0,4,16351
1.0,0.0,17.0,0.0,4,16401
0.0,0.0,18.0,0.0,4,16446
0.0,0.0,0.0,18.0,5,3058
0.0,1.0,0.0,17.0,5,3106
0.0,1.0,0.0,17.0,5,3139
0.0,2.0,0.0,16.0,5,3155
4.7,1.3,0.7,11.3,5,3161
5.3,1.3,0.7,10.7,5,3171
4.9,1.4,1.6,10.1,5,3185
5.2,1.6,1.4,9.8,5,3230
5.1,1.1,1.9,9.9,5,3249
4.6,1.5,2.5,9.4,5,3268
3.9,2.4,1.6,10.1,5,3271
2.9,3.0,1.0,11.1,5,3325
2.8,2.4,2.6,10.2,5,3341
3.6,2.9,2.1,9.4,5,3412
