FN,FP,MSE,TN,TP,sr,t
0.0,0.0,1663304.0111111111,0.0,18.0,2,3058
0.0,1.0,1982997.7944444444,0.0,17.0,2,3106
0.0,1.0,2365386.25,0.0,17.0,2,3139
0.0,2.0,2602010.061111111,0.0,16.0,2,3155
0.0,2.0,4649688.572222223,0.0,16.0,2,3161
0.0,2.0,3837017.3333333335,0.0,16.0,2,3171
0.0,3.0,1124805.0,0.0,15.0,2,3185
0.0,3.0,2968167.65,0.0,15.0,2,3230
0.0,3.0,4184182.0833333335,0.0,15.0,2,3249
0.0,4.0,2923422.1166666667,0.0,14.0,2,3268
0.0,4.0,4558653.894444445,0.0,14.0,2,3271
0.0,4.0,1665665.5055555557,0.0,14.0,2,3325
5.3,1.7,2973522.3833333333,3.3,7.7,2,3341
6.9,1.9,3225127.4444444445,3.1,6.1,2,3412
5.7,1.8,2290332.2277777777,3.2,7.3,2,3451
4.3,3.1,545459.8333333333,2.9,7.7,2,3517
6.2,2.0,2528446.9888888886,4.0,5.8,2,4669
4.8,1.2,2885597.6777777774,4.8,7.2,2,4714
3.9,2.4,789877.8277777778,4.6,7.1,2,4792
5.1,3.2,3903375.9333333336,3.8,5.9,2,4894
4.8,2.8,2610084.9888888886,5.2,5.2,2,4903
4.5,3.6,1869279.7222222225,4.4,5.5,2,4920
4.7,3.2,2125346.1222222224,4.8,5.3,2,4953
2.1,2.9,702264.9833333333,6.1,6.9,2,5048
2.7,2.5,2924116.2444444443,6.5,6.3,2,5186
2.9,3.5,2153819.7444444443,5.5,6.1,2,5216
3.7,4.3,675907.9888888889,5.7,4.3,2,5231
2.4,2.6,2164911.2722222223,7.4,5.6,2,5235
2.1,4.4,1849633.2388888889,6.6,4.9,2,5256
1.9,4.5,1958124.2777777775,6.5,5.1,2,5295
3.0,5.1,2907358.566666667,5.9,4.0,2,5309
2.6,5.2,7337015.666666667,6.8,3.4,2,5316
2.1,5.0,2794558.7666666666,7.0,3.9,2,5328
2.2,6.6,3145126.5722222226,5.4,3.8,2,5343
2.2,7.5,1840378.1166666667,5.5,2.8,2,5361
2.1,4.7,4496351.744444445,8.3,2.9,2,5390
2.6,6.1,5190354.911111111,6.9,2.4,2,5432
4.0,0.0,1155103.8666666667,14.0,0.0,2,5457
4.0,0.0,3914643.8222222226,14.0,0.0,2,5467
4.0,0.0,3649028.25,14.0,0.0,2,5499
3.0,0.0,1625439.9722222222,15.0,0.0,2,5510
3.0,0.0,2170189.644444444,15.0,0.0,2,14580
3.0,0.0,2988093.5277777775,15.0,0.0,2,14638
2.0,0.0,2432638.3666666667,16.0,0.0,2,14685
2.0,0.0,1489816.7,16.0,0.0,2,14744
1.0,0.0,9324802.866666667,17.0,0.0,2,14786
1.0,0.0,807946.0222222222,17.0,0.0,2,16351
1.0,0.0,3195575.3833333333,17.0,0.0,2,16401
0.0,0.0,10089090.0,18.0,0.0,2,16446
0.0,0.0,6636863.672222222,0.0,18.0,3,3058
0.0,1.0,4493712.533333333,0.0,17.0,3,3106
0.0,1.0,2603736.65,0.0,17.0,3,3139
0.0,2.0,909189.5444444444,0.0,16.0,3,3155
0.0,2.0,1618111.7388888889,0.0,16.0,3,3161
0.0,2.0,4867241.0,0.0,16.0,3,3171
0.0,3.0,4592002.155555556,0.0,15.0,3,3185
0.0,3.0,4794202.95,0.0,15.0,3,3230
4.6,1.9,1174112.9666666666,1.1,10.4,3,3249
5.2,1.7,2635558.1333333333,2.3,8.8,3,3268
3.7,2.2,5344328.416666666,1.8,10.3,3,3271
3.8,1.5,2103811.083333333,2.5,10.2,3,3325
4.4,2.5,4598974.8,2.5,8.6,3,3341
3.6,3.3,154852.19444444444,1.7,9.4,3,3412
2.9,2.6,8111573.466666667,2.4,10.1,3,3451
3.1,4.5,859198.1555555556,1.5,8.9,3,3517
2.7,3.1,2033193.3,2.9,9.3,3,4669
3.3,2.3,1010124.3944444444,4.7,7.7,3,4714
3.9,3.8,2976005.6333333333,3.2,7.1,3,4792
3.1,4.2,5988119.627777778,2.8,7.9,3,4894
1.7,4.9,1185727.8444444444,3.1,8.3,3,4903
2.5,3.4,5008611.477777777,4.6,7.5,3,4920
1.7,3.8,3033052.644444444,4.2,8.3,3,4953
2.5,3.1,1406462.2611111111,5.9,6.5,3,5048
3.5,2.5,2607739.3777777776,6.5,5.5,3,5186
5.7,1.9,3232319.4444444445,7.1,3.3,3,5216
2.5,2.3,2021832.1111111112,7.7,5.5,3,5231
3.4,2.9,4221847.394444445,7.1,4.6,3,5235
4.8,3.5,4237086.477777777,6.5,3.2,3,5256
3.0,2.6,2563173.4,8.4,4.0,3,5295
3.2,2.3,2756065.0222222223,8.7,3.8,3,5309
3.0,3.8,7437382.927777777,8.2,3.0,3,5316
3.1,4.9,2285218.7055555554,7.1,2.9,3,5328
1.7,4.6,3017084.0555555555,7.4,4.3,3,5343
2.3,5.4,7459053.494444445,7.6,2.7,3,5361
3.1,3.7,6073124.211111112,9.3,1.9,3,5390
2.4,4.9,1306168.5555555555,8.1,2.6,3,5432
1.4,5.9,1796676.9,8.1,2.6,3,5457
1.3,5.0,3390231.805555555,9.0,2.7,3,5467
0.8,6.8,4919237.777777778,8.2,2.2,3,5499
1.3,5.9,3571193.788888889,9.1,1.7,3,5510
3.0,0.0,1921480.1444444444,15.0,0.0,3,14580
3.0,0.0,1859373.7666666668,15.0,0.0,3,14638
2.0,0.0,1631918.038888889,16.0,0.0,3,14685
2.0,0.0,2361946.283333333,16.0,0.0,3,14744
1.0,0.0,1726242.4888888889,17.0,0.0,3,14786
1.0,0.0,818270.2777777778,17.0,0.0,3,16351
1.0,0.0,1776102.2722222223,17.0,0.0,3,16401
0.0,0.0,537589.3666666667,18.0,0.0,3,16446
