FN,FP,TN,TP,sr,t
0.0,5.0,0.0,226.0,2,6726.610357142857
0.0,9.0,0.0,222.0,2,6890.222857142859
0.0,14.0,0.0,217.0,2,7208.536071428571
0.0,19.0,0.0,212.0,2,7281.7525
0.0,23.0,0.0,208.0,2,7395.054999999998
0.0,28.0,0.0,203.0,2,7551.162500000001
0.0,32.0,0.0,199.0,2,7695.6567857142845
0.0,37.0,0.0,194.0,2,7851.342857142855
0.0,42.0,0.0,189.0,2,7962.538214285714
0.0,46.0,0.0,185.0,2,8447.814285714283
0.0,51.0,0.0,180.0,2,8790.669285714286
0.0,55.0,0.0,176.0,2,8859.462857142857
64.0,28.3,31.7,107.0,2,9104.079999999998
68.8,30.3,34.7,97.2,2,9220.68857142857
68.3,30.3,38.7,93.7,2,9560.767142857143
78.4,27.6,46.4,78.6,2,9619.914999999997
55.4,28.9,50.1,96.6,2,9665.279642857142
70.2,39.1,43.9,77.8,2,9736.07285714286
59.6,42.8,45.2,83.4,2,9846.498928571433
48.2,41.7,50.3,90.8,2,9896.94214285714
66.5,43.4,53.6,67.5,2,9972.018571428573
56.3,35.8,66.2,72.7,2,10021.594642857144
61.6,51.4,54.6,63.4,2,10082.82857142857
60.4,46.5,64.5,59.6,2,10194.514285714284
44.8,60.0,56.0,70.2,2,10259.974999999997
48.1,51.1,68.9,62.9,2,10356.239285714288
54.3,58.8,66.2,51.7,2,10425.499999999998
39.9,64.5,64.5,62.1,2,10482.19285714286
37.4,67.6,66.4,59.6,2,10554.382142857143
39.7,62.8,76.2,52.3,2,10607.560714285712
32.5,64.6,78.4,55.5,2,10656.11071428571
40.9,72.3,75.7,42.1,2,10762.832142857142
38.2,59.7,93.3,39.8,2,10812.178571428569
34.7,87.2,69.8,39.3,2,10863.992857142857
23.2,71.6,90.4,45.8,2,10970.621428571429
31.7,60.7,105.3,33.3,2,11214.428571428576
30.8,76.5,94.5,29.2,2,11269.84285714286
55.0,0.0,176.0,0.0,2,11381.582142857142
51.0,0.0,180.0,0.0,2,11602.56428571429
46.0,0.0,185.0,0.0,2,11656.392857142857
42.0,0.0,189.0,0.0,2,11741.117857142857
37.0,0.0,194.0,0.0,2,12229.760714285712
32.0,0.0,199.0,0.0,2,12666.4
28.0,0.0,203.0,0.0,2,13175.696428571431
23.0,0.0,208.0,0.0,2,13508.696428571431
18.0,0.0,213.0,0.0,2,14204.975
14.0,0.0,217.0,0.0,2,14909.835714285715
9.0,0.0,222.0,0.0,2,16923.76785714286
5.0,0.0,226.0,0.0,2,20278.825000000004
11.9,2.8,2.2,214.1,25,6726.610357142857
11.0,8.0,1.0,211.0,25,6890.222857142859
19.7,9.4,4.6,197.3,25,7208.536071428571
15.2,14.7,4.3,196.8,25,7281.7525
18.7,11.6,11.4,189.3,25,7395.054999999998
14.8,18.2,9.8,188.2,25,7551.162500000001
27.4,17.7,14.3,171.6,25,7695.6567857142845
20.9,20.1,16.9,173.1,25,7851.342857142855
24.7,20.7,21.3,164.3,25,7962.538214285714
25.5,23.0,23.0,159.5,25,8447.814285714283
41.1,24.3,26.7,138.9,25,8790.669285714286
37.8,24.6,30.4,138.2,25,8859.462857142857
34.5,26.8,33.2,136.5,25,9104.079999999998
31.6,31.4,33.6,134.4,25,9220.68857142857
33.1,22.9,46.1,128.9,25,9560.767142857143
27.6,29.4,44.6,129.4,25,9619.914999999997
30.6,25.1,53.9,121.4,25,9665.279642857142
42.0,28.3,54.7,106.0,25,9736.07285714286
28.9,29.3,58.7,114.1,25,9846.498928571433
32.8,29.9,62.1,106.2,25,9896.94214285714
32.6,31.2,65.8,101.4,25,9972.018571428573
27.3,31.1,70.9,101.7,25,10021.594642857144
26.3,30.9,75.1,98.7,25,10082.82857142857
35.4,29.8,81.2,84.6,25,10194.514285714284
30.0,32.0,84.0,85.0,25,10259.974999999997
23.1,33.2,86.8,87.9,25,10356.239285714288
37.7,25.4,99.6,68.3,25,10425.499999999998
26.7,22.3,106.7,75.3,25,10482.19285714286
32.4,23.2,110.8,64.6,25,10554.382142857143
29.9,33.2,105.8,62.1,25,10607.560714285712
26.9,22.9,120.1,61.1,25,10656.11071428571
26.2,25.6,122.4,56.8,25,10762.832142857142
33.0,27.0,125.0,46.0,25,10812.178571428569
23.2,25.9,131.1,50.8,25,10863.992857142857
26.2,23.3,138.7,42.8,25,10970.621428571429
20.3,25.9,140.1,44.7,25,11214.428571428576
22.6,20.1,150.9,37.4,25,11269.84285714286
18.6,27.5,148.5,36.4,25,11381.582142857142
24.7,14.8,165.2,26.3,25,11602.56428571429
17.2,18.4,166.6,28.8,25,11656.392857142857
18.0,13.3,175.7,24.0,25,11741.117857142857
11.9,11.7,182.3,25.1,25,12229.760714285712
18.1,9.8,189.2,13.9,25,12666.4
12.7,13.1,189.9,15.3,25,13175.696428571431
10.5,14.6,193.4,12.5,25,13508.696428571431
12.3,12.6,200.4,5.7,25,14204.975
8.5,13.9,203.1,5.5,25,14909.835714285715
6.7,12.8,209.2,2.3,25,16923.76785714286
5.0,0.0,226.0,0.0,25,20278.825000000004
5.9,3.1,1.9,220.1,48,6726.610357142857
10.5,7.2,1.8,211.5,48,6890.222857142859
14.1,7.5,6.5,202.9,48,7208.536071428571
16.6,12.4,6.6,195.4,48,7281.7525
16.8,12.9,10.1,191.2,48,7395.054999999998
17.5,13.0,15.0,185.5,48,7551.162500000001
20.4,17.8,14.2,178.6,48,7695.6567857142845
25.4,19.0,18.0,168.6,48,7851.342857142855
23.2,20.2,21.8,165.8,48,7962.538214285714
23.9,19.2,26.8,161.1,48,8447.814285714283
26.4,22.2,28.8,153.6,48,8790.669285714286
27.1,25.0,30.0,148.9,48,8859.462857142857
25.1,22.9,37.1,145.9,48,9104.079999999998
24.9,22.3,42.7,141.1,48,9220.68857142857
22.1,24.5,44.5,139.9,48,9560.767142857143
18.9,25.3,48.7,138.1,48,9619.914999999997
23.9,25.5,53.5,128.1,48,9665.279642857142
22.9,21.3,61.7,125.1,48,9736.07285714286
20.5,23.4,64.6,122.5,48,9846.498928571433
26.4,22.2,69.8,112.6,48,9896.94214285714
28.7,22.7,74.3,105.3,48,9972.018571428573
26.4,29.7,72.3,102.6,48,10021.594642857144
28.0,23.0,83.0,97.0,48,10082.82857142857
26.2,23.7,87.3,93.8,48,10194.514285714284
23.1,27.1,88.9,91.9,48,10259.974999999997
28.8,21.1,98.9,82.2,48,10356.239285714288
26.7,24.4,100.6,79.3,48,10425.499999999998
24.6,24.2,104.8,77.4,48,10482.19285714286
26.2,24.1,109.9,70.8,48,10554.382142857143
17.3,25.7,113.3,74.7,48,10607.560714285712
18.6,13.7,129.3,69.4,48,10656.11071428571
17.6,18.0,130.0,65.4,48,10762.832142857142
14.3,17.2,134.8,64.7,48,10812.178571428569
20.2,18.4,138.6,53.8,48,10863.992857142857
16.9,17.5,144.5,52.1,48,10970.621428571429
20.9,17.3,148.7,44.1,48,11214.428571428576
19.0,21.0,150.0,41.0,48,11269.84285714286
15.9,16.4,159.6,39.1,48,11381.582142857142
15.9,16.7,163.3,35.1,48,11602.56428571429
15.0,18.2,166.8,31.0,48,11656.392857142857
14.3,13.1,176.9,26.7,48,11741.117857142857
11.5,11.9,182.1,25.5,48,12229.760714285712
10.2,12.1,186.9,21.8,48,12666.4
11.3,9.1,193.9,16.7,48,13175.696428571431
9.7,12.4,195.6,13.3,48,13508.696428571431
8.4,10.1,202.9,9.6,48,14204.975
6.3,10.2,206.8,7.7,48,14909.835714285715
5.7,9.5,212.5,3.3,48,16923.76785714286
3.1,5.8,220.2,1.9,48,20278.825000000004
5.9,4.5,0.5,220.1,71,6726.610357142857
