FN,FP,MSE,TN,TP,sr,t
0.0,5.0,1767415.3165123258,0.0,226.0,2,6726.610357142857
0.0,9.0,1016565.8193886771,0.0,222.0,2,6890.222857142859
0.0,14.0,2175465.883033995,0.0,217.0,2,7208.536071428571
0.0,19.0,1389878.8206410455,0.0,212.0,2,7281.7525
0.0,23.0,1284187.8464921976,0.0,208.0,2,7395.054999999998
0.0,28.0,1285861.449676096,0.0,203.0,2,7551.162500000001
0.0,32.0,1723355.749912933,0.0,199.0,2,7695.6567857142845
0.0,37.0,955349.9818378022,0.0,194.0,2,7851.342857142855
0.0,42.0,860998.7472848116,0.0,189.0,2,7962.538214285714
0.0,46.0,1073673.7023545753,0.0,185.0,2,8447.814285714283
0.0,51.0,2114858.5324691515,0.0,180.0,2,8790.669285714286
0.0,55.0,4788705.457396242,0.0,176.0,2,8859.462857142857
76.0,31.8,2162815.33252919,28.2,95.0,2,9104.079999999998
80.4,27.1,3120800.139893011,37.9,85.6,2,9220.68857142857
81.3,23.5,765256.9024818654,45.5,80.7,2,9560.767142857143
79.6,28.7,1019630.1133302994,45.3,77.4,2,9619.914999999997
60.2,33.4,1160545.110605398,45.6,91.8,2,9665.279642857142
71.8,36.4,1386775.7265810706,46.6,76.2,2,9736.07285714286
76.0,32.0,2905631.0417844113,56.0,67.0,2,9846.498928571433
77.5,36.5,1263617.8191814376,55.5,61.5,2,9896.94214285714
55.9,36.6,485859.47337039764,60.4,78.1,2,9972.018571428573
70.9,32.1,2007828.9572442328,69.9,58.1,2,10021.594642857144
53.2,53.5,4623611.801189082,52.5,71.8,2,10082.82857142857
47.4,57.4,1806560.5844407775,53.6,72.6,2,10194.514285714284
62.0,45.4,1369970.156039894,70.6,53.0,2,10259.974999999997
51.3,57.9,1150149.5276323278,62.1,59.7,2,10356.239285714288
43.4,40.8,1075008.7535584832,84.2,62.6,2,10425.499999999998
51.6,44.0,2267752.641617576,85.0,50.4,2,10482.19285714286
47.9,45.8,2141540.103449604,88.2,49.1,2,10554.382142857143
32.4,67.7,2443990.797176646,71.3,59.6,2,10607.560714285712
54.1,55.2,2671798.926074307,87.8,33.9,2,10656.11071428571
42.3,68.6,1581227.1228606298,79.4,40.7,2,10762.832142857142
41.7,53.5,1647192.557593659,99.5,36.3,2,10812.178571428569
35.4,53.1,1471097.3628323737,103.9,38.6,2,10863.992857142857
32.2,87.3,1385589.52146766,74.7,36.8,2,10970.621428571429
23.0,90.3,1910126.1189789965,75.7,42.0,2,11214.428571428576
16.3,84.8,2809402.7268875325,86.2,43.7,2,11269.84285714286
55.0,0.0,1808913.071387584,176.0,0.0,2,11381.582142857142
51.0,0.0,1696100.574198485,180.0,0.0,2,11602.56428571429
46.0,0.0,621548.7640082382,185.0,0.0,2,11656.392857142857
42.0,0.0,1308583.3374830238,189.0,0.0,2,11741.117857142857
37.0,0.0,2663031.9379061083,194.0,0.0,2,12229.760714285712
32.0,0.0,2629872.4351846855,199.0,0.0,2,12666.4
28.0,0.0,1210319.6593405975,203.0,0.0,2,13175.696428571431
23.0,0.0,1031136.6142946852,208.0,0.0,2,13508.696428571431
18.0,0.0,2282507.545611374,213.0,0.0,2,14204.975
14.0,0.0,1527235.2738443387,217.0,0.0,2,14909.835714285715
9.0,0.0,1010357.095833773,222.0,0.0,2,16923.76785714286
5.0,0.0,1547704.4552080848,226.0,0.0,2,20278.825000000004
7.1,3.5,1189060.2870462833,1.5,218.9,25,6726.610357142857
8.8,6.4,839346.954226582,2.6,213.2,25,6890.222857142859
12.0,8.3,1016352.1697312922,5.7,205.0,25,7208.536071428571
10.5,13.0,804930.8396560748,6.0,201.5,25,7281.7525
15.2,15.6,1685716.3537551735,7.4,192.8,25,7395.054999999998
16.4,17.8,9340980.03946875,10.2,186.6,25,7551.162500000001
17.4,18.5,827770.022277689,13.5,181.6,25,7695.6567857142845
26.1,23.1,1379965.2384701313,13.9,167.9,25,7851.342857142855
23.6,23.2,847815.9684457129,18.8,165.4,25,7962.538214285714
27.3,22.3,1069923.0104714504,23.7,157.7,25,8447.814285714283
30.6,24.7,6978835.77816883,26.3,149.4,25,8790.669285714286
25.5,27.6,697158.9006027349,27.4,150.5,25,8859.462857142857
36.0,25.9,1308452.1433520329,34.1,135.0,25,9104.079999999998
28.1,27.5,1652917.4918406473,37.5,137.9,25,9220.68857142857
35.9,25.6,5230410.267586463,43.4,126.1,25,9560.767142857143
23.0,32.8,2636502.8695800663,41.2,134.0,25,9619.914999999997
32.7,26.5,1343831.1537532913,52.5,119.3,25,9665.279642857142
29.2,24.0,1005264.4766246171,59.0,118.8,25,9736.07285714286
33.4,24.1,1241150.74991553,63.9,109.6,25,9846.498928571433
24.3,30.1,547986.4094968273,61.9,114.7,25,9896.94214285714
37.5,24.3,1885194.4120829366,72.7,96.5,25,9972.018571428573
29.1,26.0,1145892.4824083366,76.0,99.9,25,10021.594642857144
31.6,23.9,1593567.212294865,82.1,93.4,25,10082.82857142857
31.4,24.3,1974888.814503882,86.7,88.6,25,10194.514285714284
31.1,28.4,1444393.6699699059,87.6,83.9,25,10259.974999999997
23.9,31.9,914540.4394576398,88.1,87.1,25,10356.239285714288
35.0,25.5,2368942.079170757,99.5,71.0,25,10425.499999999998
26.7,28.4,562019.8409512355,100.6,75.3,25,10482.19285714286
26.1,27.7,1818932.9509771392,106.3,70.9,25,10554.382142857143
23.8,24.9,620482.4073564307,114.1,68.2,25,10607.560714285712
25.5,19.8,779562.7585375699,123.2,62.5,25,10656.11071428571
29.3,28.7,1108344.698166485,119.3,53.7,25,10762.832142857142
24.8,20.5,1104155.9428970742,131.5,54.2,25,10812.178571428569
23.2,27.2,1476811.570897262,129.8,50.8,25,10863.992857142857
24.0,24.7,723071.3344848698,137.3,45.0,25,10970.621428571429
17.2,24.5,2088679.552210963,141.5,47.8,25,11214.428571428576
23.6,20.8,509315.89156517165,150.2,36.4,25,11269.84285714286
15.4,23.0,822590.3057123986,153.0,39.6,25,11381.582142857142
16.5,21.6,324491.9306090106,158.4,34.5,25,11602.56428571429
17.2,16.6,1106425.2100622426,168.4,28.8,25,11656.392857142857
18.4,11.4,1474542.6144775157,177.6,23.6,25,11741.117857142857
18.5,15.6,1939716.80848022,178.4,18.5,25,12229.760714285712
13.4,12.5,1994391.763656926,186.5,18.6,25,12666.4
11.3,19.5,5007589.742517619,183.5,16.7,25,13175.696428571431
12.0,13.5,1893171.307867843,194.5,11.0,25,13508.696428571431
9.0,13.6,1115997.529393133,199.4,9.0,25,14204.975
7.3,8.4,425756.3120614899,208.6,6.7,25,14909.835714285715
6.1,9.4,6540631.649902644,212.6,2.9,25,16923.76785714286
5.0,0.0,1154794.1961618457,226.0,0.0,25,20278.825000000004
3.2,4.4,4341283.317780012,0.6,222.8,48,6726.610357142857
6.5,5.8,339122.41597131843,3.2,215.5,48,6890.222857142859
11.1,8.1,2090926.4252097153,5.9,205.9,48,7208.536071428571
10.1,10.8,1315776.6833328556,8.2,201.9,48,7281.7525
10.7,13.3,598807.1441522982,9.7,197.3,48,7395.054999999998
13.7,14.0,520466.25716227444,14.0,189.3,48,7551.162500000001
17.0,14.2,1048565.2494837841,17.8,182.0,48,7695.6567857142845
20.4,18.0,722957.878859006,19.0,173.6,48,7851.342857142855
17.3,18.6,277838.8938479493,23.4,171.7,48,7962.538214285714
22.2,19.4,7324771.997732555,26.6,162.8,48,8447.814285714283
25.2,23.5,7994022.933431077,27.5,154.8,48,8790.669285714286
23.7,23.5,5189417.599346947,31.5,152.3,48,8859.462857142857
19.8,27.1,1545864.6016509745,32.9,151.2,48,9104.079999999998
21.7,26.5,814097.9930273492,38.5,144.3,48,9220.68857142857
18.7,24.6,1491482.738903609,44.4,143.3,48,9560.767142857143
29.9,23.1,709228.5369680211,50.9,127.1,48,9619.914999999997
21.4,25.2,575588.4102654642,53.8,130.6,48,9665.279642857142
22.6,23.7,1012154.1896788031,59.3,125.4,48,9736.07285714286
23.0,25.2,991770.540232117,62.8,120.0,48,9846.498928571433
25.8,24.7,943088.846044983,67.3,113.2,48,9896.94214285714
24.4,28.4,1152614.5322609006,68.6,109.6,48,9972.018571428573
23.7,27.4,1002625.1064696288,74.6,105.3,48,10021.594642857144
22.2,23.2,3630242.318363087,82.8,102.8,48,10082.82857142857
21.9,24.1,755226.0128826044,86.9,98.1,48,10194.514285714284
23.7,19.1,1154101.463055965,96.9,91.3,48,10259.974999999997
24.5,21.7,2529264.6100970907,98.3,86.5,48,10356.239285714288
28.6,19.0,745089.5096035894,106.0,77.4,48,10425.499999999998
22.4,20.4,728260.0077554197,108.6,79.6,48,10482.19285714286
18.8,21.1,496001.1034715444,112.9,78.2,48,10554.382142857143
22.6,23.9,2406983.506471291,115.1,69.4,48,10607.560714285712
22.4,19.1,913164.1787019188,123.9,65.6,48,10656.11071428571
20.5,17.3,1178984.1579491291,130.7,62.5,48,10762.832142857142
20.0,20.3,600084.6631215398,131.7,59.0,48,10812.178571428569
19.4,20.9,359880.45749446366,136.1,54.6,48,10863.992857142857
15.4,11.5,481852.35295913194,150.5,53.6,48,10970.621428571429
17.8,20.0,415136.1456945211,146.0,47.2,48,11214.428571428576
15.5,17.3,4873655.863734759,153.7,44.5,48,11269.84285714286
17.9,15.1,1640522.6105857354,160.9,37.1,48,11381.582142857142
13.0,18.4,421087.98068506934,161.6,38.0,48,11602.56428571429
12.5,22.6,1615522.1935515138,162.4,33.5,48,11656.392857142857
12.5,12.5,1896719.10372525,177.5,28.5,48,11741.117857142857
13.1,15.1,992866.9902972687,178.9,23.9,48,12229.760714285712
9.5,12.7,4845107.835090293,186.3,22.5,48,12666.4
10.5,15.9,1055111.191605591,187.1,17.5,48,13175.696428571431
10.8,9.6,672234.2311980932,198.4,12.2,48,13508.696428571431
8.6,5.7,758803.4052211414,207.3,9.4,48,14204.975
6.6,9.5,920539.0501119228,207.5,7.4,48,14909.835714285715
4.8,5.3,1172244.0336727505,216.7,4.2,48,16923.76785714286
2.7,4.9,1175724.8555663591,221.1,2.3,48,20278.825000000004
1.7,3.8,1585273.1742078755,1.2,224.3,71,6726.610357142857
5.7,5.2,548933.929002066,3.8,216.3,71,6890.222857142859
10.2,8.7,1454058.470339598,5.3,206.8,71,7208.536071428571
10.8,10.9,834829.1735622294,8.1,201.2,71,7281.7525
12.3,12.9,1124489.708163768,10.1,195.7,71,7395.054999999998
15.9,15.0,786131.082137688,13.0,187.1,71,7551.162500000001
18.0,14.1,2034628.2861662295,17.9,181.0,71,7695.6567857142845
15.1,18.0,919337.19620208,19.0,178.9,71,7851.342857142855
19.4,19.6,707855.0981620712,22.4,169.6,71,7962.538214285714
24.0,20.6,734543.6227238808,25.4,161.0,71,8447.814285714283
23.3,21.0,630918.1167452212,30.0,156.7,71,8790.669285714286
24.3,22.0,984005.0193258381,33.0,151.7,71,8859.462857142857
21.6,21.6,603677.4579579982,38.4,149.4,71,9104.079999999998
20.1,26.8,1423870.4841962047,38.2,145.9,71,9220.68857142857
23.3,18.4,701499.456063434,50.6,138.7,71,9560.767142857143
20.4,26.8,463625.0221687044,47.2,136.6,71,9619.914999999997
21.4,23.5,752323.5607537746,55.5,130.6,71,9665.279642857142
21.2,24.1,3256337.716689701,58.9,126.8,71,9736.07285714286
20.0,20.3,286148.3006702637,67.7,123.0,71,9846.498928571433
21.9,25.9,1124292.0798861391,66.1,117.1,71,9896.94214285714
18.8,25.5,562711.6043487508,71.5,115.2,71,9972.018571428573
17.7,25.4,1036718.9492736664,76.6,111.3,71,10021.594642857144
16.7,20.9,511935.2908669519,85.1,108.3,71,10082.82857142857
15.3,17.2,1351156.1877587074,93.8,104.7,71,10194.514285714284
20.9,20.5,579185.7082011073,95.5,94.1,71,10259.974999999997
