FN,FP,TN,TP,sr,t
0.0,27.0,0.0,1322.0,2,21.578000000000003
0.0,54.0,0.0,1295.0,2,21.849
0.0,81.0,0.0,1268.0,2,22.049
0.0,108.0,0.0,1241.0,2,22.291
0.0,135.0,0.0,1214.0,2,22.464000000000002
0.0,162.0,0.0,1187.0,2,22.638
0.0,189.0,0.0,1160.0,2,22.795
0.0,216.0,0.0,1133.0,2,23.000999999999998
0.0,243.0,0.0,1106.0,2,23.215999999999998
0.0,270.0,0.0,1079.0,2,23.397
0.0,297.0,0.0,1052.0,2,23.636999999999997
0.0,324.0,0.0,1025.0,2,23.82
437.8,193.7,157.3,560.2,2,24.061
514.0,147.0,231.0,457.0,2,24.331
396.1,196.5,208.5,547.9,2,24.643
410.9,240.5,191.5,506.1,2,25.108
396.8,220.6,238.4,493.2,2,25.631999999999998
444.6,193.2,292.8,418.4,2,26.112
373.8,257.0,256.0,462.2,2,26.605
468.4,181.8,358.2,340.6,2,27.068
408.4,264.0,303.0,373.6,2,27.701
414.4,233.0,361.0,340.6,2,28.333000000000002
383.3,203.3,417.7,344.7,2,29.146
223.9,308.3,339.7,477.1,2,29.72
285.9,322.8,352.2,388.1,2,30.396
293.8,268.1,433.9,353.2,2,31.033
236.5,394.9,333.1,384.5,2,31.535999999999998
352.6,221.7,533.3,241.4,2,32.396
194.7,499.9,283.1,371.3,2,33.048
203.6,478.7,331.3,335.4,2,33.649
171.6,480.0,356.0,341.4,2,34.741
228.3,326.1,536.9,257.7,2,35.778
245.3,327.1,562.9,213.7,2,36.671
138.2,485.2,431.8,293.8,2,37.676
182.8,520.9,423.1,222.2,2,39.013000000000005
231.3,270.8,700.2,146.7,2,41.07
231.2,339.1,658.9,119.8,2,42.146
324.0,0.0,1025.0,0.0,2,43.1
297.0,0.0,1052.0,0.0,2,43.97
270.0,0.0,1079.0,0.0,2,45.168
243.0,0.0,1106.0,0.0,2,46.556000000000004
216.0,0.0,1133.0,0.0,2,48.288000000000004
189.0,0.0,1160.0,0.0,2,50.778
162.0,0.0,1187.0,0.0,2,54.532
135.0,0.0,1214.0,0.0,2,58.173
108.0,0.0,1241.0,0.0,2,63.418
81.0,0.0,1268.0,0.0,2,67.715
54.0,0.0,1295.0,0.0,2,71.663
27.0,0.0,1322.0,0.0,2,79.98899999999999
25.3,22.1,4.9,1296.7,136,21.578000000000003
40.4,44.4,9.6,1254.6,136,21.849
66.8,58.3,22.7,1201.2,136,22.049
84.1,65.8,42.2,1156.9,136,22.291
83.6,71.0,64.0,1130.4,136,22.464000000000002
88.6,74.8,87.2,1098.4,136,22.638
74.2,84.4,104.6,1085.8,136,22.795
81.8,92.2,123.8,1051.2,136,23.000999999999998
86.1,104.8,138.2,1019.9,136,23.215999999999998
107.3,94.0,176.0,971.7,136,23.397
98.6,84.6,212.4,953.4,136,23.636999999999997
97.2,100.8,223.2,927.8,136,23.82
91.6,107.1,243.9,906.4,136,24.061
99.5,99.8,278.2,871.5,136,24.331
81.2,81.6,323.4,862.8,136,24.643
116.8,90.0,342.0,800.2,136,25.108
108.4,94.9,364.1,781.6,136,25.631999999999998
115.7,81.7,404.3,747.3,136,26.112
92.4,97.1,415.9,743.6,136,26.605
100.4,106.8,433.2,708.6,136,27.068
109.3,103.0,464.0,672.7,136,27.701
107.4,101.8,492.2,647.6,136,28.333000000000002
89.5,109.6,511.4,638.5,136,29.146
116.2,98.3,549.7,584.8,136,29.72
115.4,107.8,567.2,558.6,136,30.396
105.2,114.2,587.8,541.8,136,31.033
104.0,123.7,605.3,516.0,136,31.535999999999998
109.0,106.0,649.0,485.0,136,32.396
90.1,107.5,674.5,476.9,136,33.048
96.8,103.3,705.7,443.2,136,33.649
85.4,82.9,753.1,427.6,136,34.741
96.8,96.6,766.4,389.2,136,35.778
89.9,88.8,801.2,369.1,136,36.671
96.5,105.5,811.5,335.5,136,37.676
86.6,87.7,856.3,318.4,136,39.013000000000005
99.2,112.2,858.8,278.8,136,41.07
91.0,99.3,898.7,260.0,136,42.146
105.8,121.5,903.5,218.2,136,43.1
111.8,94.5,957.5,185.2,136,43.97
118.0,95.5,983.5,152.0,136,45.168
105.8,101.3,1004.7,137.2,136,46.556000000000004
96.2,74.4,1058.6,119.8,136,48.288000000000004
81.8,78.5,1081.5,107.2,136,50.778
81.4,61.6,1125.4,80.6,136,54.532
65.7,69.0,1145.0,69.3,136,58.173
62.7,64.2,1176.8,45.3,136,63.418
50.8,49.3,1218.7,30.2,136,67.715
36.5,35.5,1259.5,17.5,136,71.663
21.0,22.1,1299.9,6.0,136,79.98899999999999
25.1,19.5,7.5,1296.9,270,21.578000000000003
48.9,32.4,21.6,1246.1,270,21.849
45.5,50.2,30.8,1222.5,270,22.049
70.5,54.4,53.6,1170.5,270,22.291
52.7,60.9,74.1,1161.3,270,22.464000000000002
65.6,60.9,101.1,1121.4,270,22.638
68.8,63.7,125.3,1091.2,270,22.795
72.2,66.2,149.8,1060.8,270,23.000999999999998
74.0,64.1,178.9,1032.0,270,23.215999999999998
70.7,77.3,192.7,1008.3,270,23.397
74.8,73.4,223.6,977.2,270,23.636999999999997
77.5,73.3,250.7,947.5,270,23.82
64.5,71.7,279.3,933.5,270,24.061
78.5,51.5,326.5,892.5,270,24.331
64.0,71.7,333.3,880.0,270,24.643
69.7,62.1,369.9,847.3,270,25.108
84.2,69.8,389.2,805.8,270,25.631999999999998
74.8,80.0,406.0,788.2,270,26.112
77.6,85.7,427.3,758.4,270,26.605
76.7,77.0,463.0,732.3,270,27.068
79.8,72.1,494.9,702.2,270,27.701
95.4,78.2,515.8,659.6,270,28.333000000000002
93.9,90.3,530.7,634.1,270,29.146
99.6,88.1,558.9,602.4,270,29.72
85.0,88.9,586.1,589.0,270,30.396
93.7,91.6,610.4,553.3,270,31.033
80.8,96.0,632.0,540.2,270,31.535999999999998
81.1,91.5,664.5,511.9,270,32.396
80.7,72.5,709.5,486.3,270,33.048
72.2,77.1,732.9,466.8,270,33.649
65.9,77.1,758.9,447.1,270,34.741
63.7,67.3,795.7,422.3,270,35.778
73.3,71.6,818.4,385.7,270,36.671
62.2,66.2,850.8,369.8,270,37.676
68.0,81.7,862.3,337.0,270,39.013000000000005
86.9,77.7,893.3,291.1,270,41.07
86.6,70.4,927.6,264.4,270,42.146
91.5,82.0,943.0,232.5,270,43.1
88.0,78.3,973.7,209.0,270,43.97
85.4,87.8,991.2,184.6,270,45.168
84.0,77.2,1028.8,159.0,270,46.556000000000004
76.2,52.4,1080.6,139.8,270,48.288000000000004
69.3,51.3,1108.7,119.7,270,50.778
54.3,52.3,1134.7,107.7,270,54.532
56.9,47.6,1166.4,78.1,270,58.173
42.5,48.7,1192.3,65.5,270,63.418
39.7,37.3,1230.7,41.3,270,67.715
27.8,32.0,1263.0,26.2,270,71.663
15.3,23.6,1298.4,11.7,270,79.98899999999999
24.9,18.8,8.2,1297.1,404,21.578000000000003
42.4,30.8,23.2,1252.6,404,21.849
50.6,42.6,38.4,1217.4,404,22.049
50.2,44.6,63.4,1190.8,404,22.291
57.2,51.4,83.6,1156.8,404,22.464000000000002
59.0,55.6,106.4,1128.0,404,22.638
49.6,54.6,134.4,1110.4,404,22.795
64.3,53.4,162.6,1068.7,404,23.000999999999998
54.3,62.1,180.9,1051.7,404,23.215999999999998
60.5,63.7,206.3,1018.5,404,23.397
59.8,57.4,239.6,992.2,404,23.636999999999997
67.1,65.9,258.1,957.9,404,23.82
60.0,64.5,286.5,938.0,404,24.061
51.8,62.1,315.9,919.2,404,24.331
53.0,65.8,339.2,891.0,404,24.643
66.9,69.1,362.9,850.1,404,25.108
57.2,60.9,398.1,832.8,404,25.631999999999998
69.6,69.4,416.6,793.4,404,26.112
57.9,70.5,442.5,778.1,404,26.605
65.6,61.5,478.5,743.4,404,27.068
62.8,66.0,501.0,719.2,404,27.701
82.5,75.7,518.3,672.5,404,28.333000000000002
73.8,72.9,548.1,654.2,404,29.146
76.3,84.0,564.0,624.7,404,29.72
77.1,70.8,604.2,596.9,404,30.396
73.1,72.2,629.8,573.9,404,31.033
70.4,73.7,654.3,550.6,404,31.535999999999998
78.0,63.9,692.1,515.0,404,32.396
68.3,77.7,705.3,497.7,404,33.048
67.4,70.2,739.8,471.6,404,33.649
66.4,69.5,766.5,446.6,404,34.741
53.7,59.3,803.7,432.3,404,35.778
60.9,57.5,832.5,398.1,404,36.671
60.8,62.7,854.3,371.2,404,37.676
59.4,69.0,875.0,345.6,404,39.013000000000005
70.2,64.4,906.6,307.8,404,41.07
71.9,67.3,930.7,279.1,404,42.146
62.5,71.8,953.2,261.5,404,43.1
75.8,67.6,984.4,221.2,404,43.97
77.2,77.2,1001.8,192.8,404,45.168
56.7,59.4,1046.6,186.3,404,46.556000000000004
63.2,57.9,1075.1,152.8,404,48.288000000000004
58.0,44.7,1115.3,131.0,404,50.778
46.7,38.0,1149.0,115.3,404,54.532
34.0,29.6,1184.4,101.0,404,58.173
33.3,29.1,1211.9,74.7,404,63.418
32.1,27.6,1240.4,48.9,404,67.715
23.1,23.9,1271.1,30.9,404,71.663
12.7,16.0,1306.0,14.3,404,79.98899999999999
20.6,17.5,9.5,1301.4,538,21.578000000000003
39.4,28.9,25.1,1255.6,538,21.849
47.8,39.5,41.5,1220.2,538,22.049
51.6,36.9,71.1,1189.4,538,22.291
46.5,51.6,83.4,1167.5,538,22.464000000000002
41.5,39.4,122.6,1145.5,538,22.638
57.4,52.2,136.8,1102.6,538,22.795
