FN,FP,MSE,TN,TP,sr,t
0.0,27.0,40.170024975833954,0.0,1322.0,2,21.578000000000003
0.0,54.0,105.62122228376572,0.0,1295.0,2,21.849
0.0,81.0,23.05378624922165,0.0,1268.0,2,22.049
0.0,108.0,25.048078314010375,0.0,1241.0,2,22.291
0.0,135.0,30.62311650526316,0.0,1214.0,2,22.464000000000002
0.0,162.0,75.10541174292068,0.0,1187.0,2,22.638
0.0,189.0,17.193921977094142,0.0,1160.0,2,22.795
0.0,216.0,31.388855759747962,0.0,1133.0,2,23.000999999999998
0.0,243.0,28.755640135581917,0.0,1106.0,2,23.215999999999998
0.0,270.0,180.03799574655295,0.0,1079.0,2,23.397
0.0,297.0,25.683609287916976,0.0,1052.0,2,23.636999999999997
0.0,324.0,104.74285170311346,0.0,1025.0,2,23.82
422.5,150.2,50.82109692260933,200.8,575.5,2,24.061
563.8,128.2,40.02702398888066,249.8,407.2,2,24.331
478.0,194.6,114.67868732298,210.4,466.0,2,24.643
532.2,138.0,61.48738947183099,294.0,384.8,2,25.108
598.5,124.5,66.37455079303189,334.5,291.5,2,25.631999999999998
325.9,297.7,32.99963422231282,188.3,537.1,2,26.112
605.6,113.9,35.525349766345435,399.1,230.4,2,26.605
301.9,232.4,22.839343762194215,307.6,507.1,2,27.068
427.6,252.4,29.002816597627874,314.6,354.4,2,27.701
504.6,196.3,37.97965951912528,397.7,250.4,2,28.333000000000002
392.0,219.4,39.552692939807265,401.6,336.0,2,29.146
252.0,323.7,40.58538337820608,324.3,449.0,2,29.72
272.1,405.1,34.52619010733877,269.9,401.9,2,30.396
245.8,367.3,27.251676526389918,334.7,401.2,2,31.033
364.2,298.6,31.78375783617495,429.4,256.8,2,31.535999999999998
411.9,228.3,106.6028236212009,526.7,182.1,2,32.396
210.2,319.2,21.706456287249818,463.8,355.8,2,33.048
317.3,274.3,29.583108806449225,535.7,221.7,2,33.649
176.5,494.2,19.724718776797623,341.8,336.5,2,34.741
231.5,395.1,29.02377691890289,467.9,254.5,2,35.778
283.7,249.8,31.32783626449221,640.2,175.3,2,36.671
189.8,378.4,94.39949125730172,538.6,242.2,2,37.676
