FN,FP,TN,TP,sr,t
0.0,7.0,0.0,339.0,2,124.54899999999999
0.0,14.0,0.0,332.0,2,137.844
0.0,21.0,0.0,325.0,2,152.787
0.0,28.0,0.0,318.0,2,164.801
0.0,35.0,0.0,311.0,2,173.891
0.0,42.0,0.0,304.0,2,183.46900000000002
0.0,48.0,0.0,298.0,2,193.105
0.0,55.0,0.0,291.0,2,200.771
0.0,62.0,0.0,284.0,2,208.475
0.0,69.0,0.0,277.0,2,214.959
0.0,76.0,0.0,270.0,2,220.74400000000003
0.0,83.0,0.0,263.0,2,227.68099999999998
130.8,34.8,55.2,125.2,2,235.467
114.7,42.1,54.9,134.3,2,241.80900000000003
122.3,43.9,60.1,119.7,2,246.171
95.8,39.4,71.6,139.2,2,253.24
121.5,43.0,75.0,106.5,2,258.668
83.1,75.5,49.5,137.9,2,266.031
71.6,71.9,60.1,142.4,2,271.78
107.2,54.9,83.1,100.8,2,279.184
102.4,62.7,82.3,98.6,2,285.078
80.5,65.3,86.7,113.5,2,292.54200000000003
63.3,78.6,80.4,123.7,2,298.184
79.9,81.4,84.6,100.1,2,303.819
85.7,73.2,99.8,87.3,2,312.586
78.7,74.7,105.3,87.3,2,320.737
37.8,100.7,86.3,121.2,2,326.106
92.2,81.5,112.5,59.8,2,335.36800000000005
60.5,87.4,113.6,84.5,2,342.13599999999997
51.4,98.2,109.8,86.6,2,350.175
68.5,96.1,118.9,62.5,2,359.621
67.3,66.9,154.1,57.7,2,368.906
66.1,66.1,161.9,51.9,2,381.92699999999996
61.8,102.3,132.7,49.2,2,390.084
51.8,75.1,166.9,52.2,2,404.142
35.3,137.3,111.7,61.7,2,423.25699999999995
38.3,146.3,109.7,51.7,2,436.704
83.0,0.0,263.0,0.0,2,460.094
76.0,0.0,270.0,0.0,2,480.764
69.0,0.0,277.0,0.0,2,515.107
62.0,0.0,284.0,0.0,2,559.057
55.0,0.0,291.0,0.0,2,700.314
48.0,0.0,298.0,0.0,2,1162.89
41.0,0.0,305.0,0.0,2,1557.56
35.0,0.0,311.0,0.0,2,1902.79
28.0,0.0,318.0,0.0,2,2224.72
21.0,0.0,325.0,0.0,2,2561.59
14.0,0.0,332.0,0.0,2,2922.52
7.0,0.0,339.0,0.0,2,3463.07
21.1,6.2,0.8,317.9,36,124.54899999999999
15.1,11.0,3.0,316.9,36,137.844
12.3,13.0,8.0,312.7,36,152.787
15.0,16.6,11.4,303.0,36,164.801
25.1,17.3,17.7,285.9,36,173.891
27.4,18.1,23.9,276.6,36,183.46900000000002
24.6,20.8,27.2,273.4,36,193.105
34.2,20.2,34.8,256.8,36,200.771
32.7,28.7,33.3,251.3,36,208.475
27.9,28.3,40.7,249.1,36,214.959
24.9,31.1,44.9,245.1,36,220.74400000000003
39.1,28.7,54.3,223.9,36,227.68099999999998
31.0,32.0,58.0,225.0,36,235.467
35.0,30.3,66.7,214.0,36,241.80900000000003
38.0,31.0,73.0,204.0,36,246.171
34.4,36.0,75.0,200.6,36,253.24
45.5,34.3,83.7,182.5,36,258.668
48.5,31.6,93.4,172.5,36,266.031
44.0,42.7,89.3,170.0,36,271.78
41.6,35.3,103.7,165.4,36,279.184
47.7,44.5,100.5,153.3,36,285.078
35.5,35.6,116.4,158.5,36,292.54200000000003
46.0,44.6,114.4,141.0,36,298.184
39.0,40.8,125.2,141.0,36,303.819
44.5,39.4,133.6,128.5,36,312.586
36.9,38.2,141.8,129.1,36,320.737
41.4,35.1,151.9,117.6,36,326.106
33.2,39.5,154.5,118.8,36,335.36800000000005
36.9,40.8,160.2,108.1,36,342.13599999999997
29.3,32.1,175.9,108.7,36,350.175
33.0,29.7,185.3,98.0,36,359.621
25.3,33.8,187.2,99.7,36,368.906
30.8,23.0,205.0,87.2,36,381.92699999999996
26.2,23.2,211.8,84.8,36,390.084
28.7,21.4,220.6,75.3,36,404.142
25.2,29.2,219.8,71.8,36,423.25699999999995
21.4,20.3,235.7,68.6,36,436.704
13.6,21.5,241.5,69.4,36,460.094
17.3,19.2,250.8,58.7,36,480.764
13.3,15.3,261.7,55.7,36,515.107
9.2,5.9,278.1,52.8,36,559.057
2.2,2.6,288.4,52.8,36,700.314
4.9,6.6,291.4,43.1,36,1162.89
5.0,10.1,294.9,36.0,36,1557.56
9.3,10.3,301.7,24.7,36,1902.79
9.6,10.5,307.5,18.4,36,2224.72
9.3,15.7,309.3,11.7,36,2561.59
7.0,7.5,324.5,7.0,36,2922.52
3.4,11.9,327.1,3.6,36,3463.07
6.6,5.5,1.5,332.4,70,124.54899999999999
5.1,7.6,6.4,326.9,70,137.844
9.8,11.0,10.0,315.2,70,152.787
15.1,12.6,15.4,302.9,70,164.801
23.4,13.7,21.3,287.6,70,173.891
16.9,18.7,23.3,287.1,70,183.46900000000002
18.9,20.8,27.2,279.1,70,193.105
20.9,20.4,34.6,270.1,70,200.771
32.3,15.2,46.8,251.7,70,208.475
27.3,20.1,48.9,249.7,70,214.959
37.8,20.9,55.1,232.2,70,220.74400000000003
37.0,25.7,57.3,226.0,70,227.68099999999998
27.3,28.5,61.5,228.7,70,235.467
29.2,26.8,70.2,219.8,70,241.80900000000003
30.3,30.5,73.5,211.7,70,246.171
32.5,26.4,84.6,202.5,70,253.24
31.3,33.7,84.3,196.7,70,258.668
34.8,35.9,89.1,186.2,70,266.031
33.5,27.9,104.1,180.5,70,271.78
34.0,27.6,110.4,174.0,70,279.184
32.4,36.1,108.9,168.6,70,285.078
38.8,29.1,122.9,155.2,70,292.54200000000003
30.3,29.5,129.5,156.7,70,298.184
40.6,28.5,137.5,139.4,70,303.819
29.9,28.7,144.3,143.1,70,312.586
33.0,31.6,148.4,133.0,70,320.737
29.6,26.8,160.2,129.4,70,326.106
31.6,32.0,162.0,120.4,70,335.36800000000005
29.2,32.4,168.6,115.8,70,342.13599999999997
27.9,26.8,181.2,110.1,70,350.175
25.2,27.4,187.6,105.8,70,359.621
25.6,30.7,190.3,99.4,70,368.906
20.8,26.4,201.6,97.2,70,381.92699999999996
17.4,23.5,211.5,93.6,70,390.084
20.1,18.3,223.7,83.9,70,404.142
13.5,16.1,232.9,83.5,70,423.25699999999995
14.8,19.2,236.8,75.2,70,436.704
16.5,17.2,245.8,66.5,70,460.094
12.8,15.8,254.2,63.2,70,480.764
11.4,11.5,265.5,57.6,70,515.107
6.0,6.4,277.6,56.0,70,559.057
1.5,1.9,289.1,53.5,70,700.314
6.4,3.4,294.6,41.6,70,1162.89
6.7,4.5,300.5,34.3,70,1557.56
8.4,8.5,302.5,26.6,70,1902.79
7.3,7.5,310.5,20.7,70,2224.72
7.8,6.0,319.0,13.2,70,2561.59
6.0,5.9,326.1,8.0,70,2922.52
4.8,4.5,334.5,2.2,70,3463.07
5.9,4.5,2.5,333.1,104,124.54899999999999
10.2,6.0,8.0,321.8,104,137.844
9.1,9.2,11.8,315.9,104,152.787
11.0,10.3,17.7,307.0,104,164.801
14.4,14.6,20.4,296.6,104,173.891
15.8,14.6,27.4,288.2,104,183.46900000000002
18.0,13.2,34.8,280.0,104,193.105
18.0,17.5,37.5,273.0,104,200.771
28.6,17.8,44.2,255.4,104,208.475
23.9,22.3,46.7,253.1,104,214.959
27.4,23.5,52.5,242.6,104,220.74400000000003
21.8,21.1,61.9,241.2,104,227.68099999999998
21.9,24.7,65.3,234.1,104,235.467
32.7,26.6,70.4,216.3,104,241.80900000000003
26.4,27.5,76.5,215.6,104,246.171
27.3,35.4,75.6,207.7,104,253.24
33.3,24.1,93.9,194.7,104,258.668
29.7,29.6,95.4,191.3,104,266.031
29.8,27.2,104.8,184.2,104,271.78
30.8,25.5,112.5,177.2,104,279.184
36.1,27.6,117.4,164.9,104,285.078
29.1,28.9,123.1,164.9,104,292.54200000000003
27.6,29.0,130.0,159.4,104,298.184
29.5,29.6,136.4,150.5,104,303.819
30.8,26.9,146.1,142.2,104,312.586
28.5,23.6,156.4,137.5,104,320.737
