FN,FP,MSE,TN,TP,sr,t
0.0,7.0,69487.63919092457,0.0,339.0,2,124.54899999999999
0.0,14.0,109452.52123060376,0.0,332.0,2,137.844
0.0,21.0,30585.879710147106,0.0,325.0,2,152.787
0.0,28.0,98905.66433716155,0.0,318.0,2,164.801
0.0,35.0,61975.58440668064,0.0,311.0,2,173.891
0.0,42.0,75002.82341181589,0.0,304.0,2,183.46900000000002
0.0,48.0,67914.11789251561,0.0,298.0,2,193.105
0.0,55.0,16386.563867490462,0.0,291.0,2,200.771
0.0,62.0,80141.97916195288,0.0,284.0,2,208.475
0.0,69.0,83951.32138743583,0.0,277.0,2,214.959
0.0,76.0,49240.60990995925,0.0,270.0,2,220.74400000000003
0.0,83.0,79814.55703797427,0.0,263.0,2,227.68099999999998
115.6,37.0,84589.39624400405,53.0,140.4,2,235.467
119.7,49.8,94260.08750540661,47.2,129.3,2,241.80900000000003
151.9,18.4,91170.81945409071,85.6,90.1,2,246.171
90.4,53.8,85069.36401515521,57.2,144.6,2,253.24
144.1,45.1,89593.61316031995,72.9,83.9,2,258.668
98.5,49.1,66097.70822943759,75.9,122.5,2,266.031
120.9,32.3,78904.10006076387,99.7,93.1,2,271.78
103.0,51.3,93504.73014952225,86.7,105.0,2,279.184
61.3,77.2,71576.71783126272,67.8,139.7,2,285.078
77.2,84.0,97024.93194832977,68.0,116.8,2,292.54200000000003
81.4,58.1,122616.41229251042,100.9,105.6,2,298.184
88.7,74.3,197203.8999746468,91.7,91.3,2,303.819
76.8,87.7,75648.74482948758,85.3,96.2,2,312.586
94.5,63.5,69624.11200992572,116.5,71.5,2,320.737
63.5,102.8,93270.23048577717,84.2,95.5,2,326.106
54.4,95.3,174785.8833194951,98.7,97.6,2,335.36800000000005
70.5,78.6,117364.35977685548,122.4,74.5,2,342.13599999999997
71.8,86.6,94840.61047450232,121.4,66.2,2,350.175
42.0,129.8,76977.2724921815,85.2,89.0,2,359.621
41.5,107.2,337242.12722253066,113.8,83.5,2,368.906
62.4,111.0,791308.6704547661,117.0,55.6,2,381.92699999999996
58.9,110.8,178135.00227971587,124.2,52.1,2,390.084
35.5,137.8,119749.6069325812,104.2,68.5,2,404.142
47.9,96.0,62387.719778338156,153.0,49.1,2,423.25699999999995
29.6,131.3,154345.08148674597,124.7,60.4,2,436.704
83.0,0.0,78199.62036831936,263.0,0.0,2,460.094
76.0,0.0,92053.84325110464,270.0,0.0,2,480.764
69.0,0.0,106580.9999724919,277.0,0.0,2,515.107
62.0,0.0,84533.9180554607,284.0,0.0,2,559.057
55.0,0.0,94026.62274914363,291.0,0.0,2,700.314
48.0,0.0,72616.57432766474,298.0,0.0,2,1162.89
41.0,0.0,78752.52598767544,305.0,0.0,2,1557.56
35.0,0.0,89541.52601531213,311.0,0.0,2,1902.79
28.0,0.0,240331.01131222653,318.0,0.0,2,2224.72
21.0,0.0,83965.5040509509,325.0,0.0,2,2561.59
14.0,0.0,69682.74426697861,332.0,0.0,2,2922.52
7.0,0.0,85816.49416255057,339.0,0.0,2,3463.07
4.9,5.0,17922.504701566188,2.0,334.1,36,124.54899999999999
7.4,10.2,10214.391106580926,3.8,324.6,36,137.844
6.9,12.2,11833.24321739104,8.8,318.1,36,152.787
14.0,14.1,6727.35033762081,13.9,304.0,36,164.801
12.2,15.5,11325.524297431215,19.5,298.8,36,173.891
9.9,20.0,19439.41886794884,22.0,294.1,36,183.46900000000002
21.8,20.7,33960.69391979132,27.3,276.2,36,193.105
18.7,19.7,23432.116659378902,35.3,272.3,36,200.771
16.7,22.4,30838.551240759534,39.6,267.3,36,208.475
23.8,24.8,12788.26888396532,44.2,253.2,36,214.959
