FN,FP,TN,TP,sr,t
0.0,338.0,0.0,16360.0,2,461.0
0.0,671.0,0.0,16027.0,2,480.5
0.0,1023.0,0.0,15675.0,2,485.5
0.0,1390.0,0.0,15308.0,2,488.0
0.0,1687.0,0.0,15011.0,2,490.5
0.0,2006.0,0.0,14692.0,2,497.5
0.0,2339.0,0.0,14359.0,2,522.0
0.0,2681.0,0.0,14017.0,2,538.5
0.0,3010.0,0.0,13688.0,2,550.0
0.0,3370.0,0.0,13328.0,2,555.5
0.0,3781.0,0.0,12917.0,2,557.5
0.0,4028.0,0.0,12670.0,2,558.5
5790.7,2115.9,2290.1,6501.3,2,560.0
6802.1,1990.9,2738.1,5166.9,2,561.5
7119.7,2002.8,3029.2,4546.3,2,563.5
6394.3,1874.9,3474.1,4954.7,2,567.5
5688.2,2292.2,3403.8,5313.8,2,574.5
6640.4,2034.0,3978.0,4045.6,2,590.0
5723.6,1763.6,4582.4,4628.4,2,608.0
5534.5,2800.0,3886.0,4477.5,2,632.5
4941.1,3116.0,3900.0,4740.9,2,650.0
5314.5,2853.3,4496.7,4033.5,2,677.0
5407.2,2876.8,4809.2,3604.8,2,709.0
4139.3,3824.4,4193.6,4540.7,2,740.5
3973.0,4068.6,4281.4,4375.0,2,772.5
3817.9,4142.3,4542.7,4195.1,2,803.5
3835.5,4702.4,4315.6,3844.5,2,815.0
3534.5,4769.1,4586.9,3807.5,2,823.5
4173.6,3885.0,5804.0,2835.4,2,832.0
3628.5,4069.3,5953.7,3046.5,2,844.0
3645.9,3912.4,6447.6,2692.1,2,864.5
3860.9,4075.4,6611.6,2150.1,2,894.0
3199.3,3467.1,7553.9,2477.7,2,984.0
2450.0,5150.9,6204.1,2893.0,2,1083.0
2081.8,6326.9,5362.1,2927.2,2,1259.5
2301.5,4007.4,8015.6,2373.5,2,1468.5
2405.5,3615.6,8742.4,1934.5,2,1611.5
4007.0,0.0,12691.0,0.0,2,1767.5
3673.0,0.0,13025.0,0.0,2,1990.0
3340.0,0.0,13358.0,0.0,2,2388.0
3005.0,0.0,13693.0,0.0,2,2791.5
2671.0,0.0,14027.0,0.0,2,3093.0
2338.0,0.0,14360.0,0.0,2,3471.0
2004.0,0.0,14694.0,0.0,2,3894.0
1670.0,0.0,15028.0,0.0,2,4552.0
1336.0,0.0,15362.0,0.0,2,5067.5
1002.0,0.0,15696.0,0.0,2,5678.5
668.0,0.0,16030.0,0.0,2,6048.5
334.0,0.0,16364.0,0.0,2,6901.5
78.6,49.0,289.0,16281.4,1671,461.0
183.7,188.3,482.7,15843.3,1671,480.5
362.9,334.3,688.7,15312.1,1671,485.5
449.3,420.2,969.8,14858.7,1671,488.0
346.0,375.4,1311.6,14665.0,1671,490.5
196.2,193.3,1812.7,14495.8,1671,497.5
126.1,101.6,2237.4,14232.9,1671,522.0
193.4,172.2,2508.8,13823.6,1671,538.5
201.9,189.9,2820.1,13486.1,1671,550.0
392.4,427.7,2942.3,12935.6,1671,555.5
701.8,660.6,3120.4,12215.2,1671,557.5
766.7,725.2,3302.8,11903.3,1671,558.5
801.9,791.8,3614.2,11490.1,1671,560.0
737.3,800.2,3928.8,11231.7,1671,561.5
659.0,631.4,4400.6,11007.0,1671,563.5
522.6,450.4,4898.6,10826.4,1671,567.5
452.1,400.2,5295.8,10549.9,1671,574.5
361.8,234.9,5777.1,10324.2,1671,590.0
278.7,272.5,6073.5,10073.3,1671,608.0
243.4,195.8,6490.2,9768.6,1671,632.5
238.0,230.7,6785.3,9444.0,1671,650.0
293.0,244.4,7105.6,9055.0,1671,677.0
318.2,296.9,7389.1,8693.8,1671,709.0
367.6,289.2,7728.8,8312.4,1671,740.5
339.5,364.0,7986.0,8008.5,1671,772.5
347.8,348.6,8336.4,7665.2,1671,803.5
554.0,509.4,8509.6,7125.0,1671,815.0
601.9,576.1,8779.9,6740.1,1671,823.5
557.9,593.5,9095.5,6451.1,1671,832.0
461.3,464.3,9558.7,6213.7,1671,844.0
431.2,436.9,9923.1,5906.8,1671,864.5
336.5,291.0,10396.0,5674.5,1671,894.0
278.0,251.5,10769.5,5399.0,1671,984.0
275.0,256.1,11098.9,5068.0,1671,1083.0
275.7,222.5,11466.5,4733.3,1671,1259.5
355.8,256.4,11766.6,4319.2,1671,1468.5
386.9,342.0,12016.0,3953.1,1671,1611.5
385.9,384.3,12306.7,3621.1,1671,1767.5
344.9,301.0,12724.0,3328.1,1671,1990.0
350.8,278.1,13079.9,2989.2,1671,2388.0
332.3,271.2,13421.8,2672.7,1671,2791.5
334.0,274.8,13752.2,2337.0,1671,3093.0
330.4,292.6,14067.4,2007.6,1671,3471.0
236.4,245.4,14448.6,1767.6,1671,3894.0
258.3,278.6,14749.4,1411.7,1671,4552.0
247.8,269.6,15092.4,1088.2,1671,5067.5
281.4,317.2,15378.8,720.6,1671,5678.5
321.7,377.5,15653.5,345.3,1671,6048.5
184.6,249.5,16114.5,149.4,1671,6901.5
58.5,38.3,299.7,16301.5,3340,461.0
138.5,132.2,538.8,15888.5,3340,480.5
297.9,309.6,713.4,15377.1,3340,485.5
367.3,407.0,983.0,14940.7,3340,488.0
318.4,318.4,1368.6,14692.6,3340,490.5
182.1,176.5,1829.5,14509.9,3340,497.5
122.0,90.4,2248.6,14237.0,3340,522.0
151.1,130.1,2550.9,13865.9,3340,538.5
179.8,178.4,2831.6,13508.2,3340,550.0
367.4,394.8,2975.2,12960.6,3340,555.5
632.6,608.6,3172.4,12284.4,3340,557.5
719.2,719.5,3308.5,11950.8,3340,558.5
745.9,761.5,3644.5,11546.1,3340,560.0
710.6,716.2,4012.8,11258.4,3340,561.5
610.7,571.6,4460.4,11055.3,3340,563.5
446.1,422.4,4926.6,10902.9,3340,567.5
369.5,359.9,5336.1,10632.5,3340,574.5
265.9,263.7,5748.3,10420.1,3340,590.0
242.8,224.7,6121.3,10109.2,3340,608.0
199.2,169.2,6516.8,9812.8,3340,632.5
208.9,189.5,6826.5,9473.1,3340,650.0
171.2,179.9,7170.1,9176.8,3340,677.0
241.4,242.9,7443.1,8770.6,3340,709.0
286.3,225.6,7792.4,8393.7,3340,740.5
283.1,294.6,8055.4,8064.9,3340,772.5
277.7,290.7,8394.3,7735.3,3340,803.5
453.2,439.9,8578.1,7226.8,3340,815.0
491.3,489.1,8866.9,6850.7,3340,823.5
449.1,488.9,9200.1,6559.9,3340,832.0
371.2,343.9,9679.1,6303.8,3340,844.0
344.3,310.2,10049.8,5993.7,3340,864.5
259.7,268.6,10418.4,5751.3,3340,894.0
181.0,178.5,10842.5,5496.0,3340,984.0
196.3,187.5,11167.5,5146.7,3340,1083.0
181.1,184.1,11504.9,4827.9,3340,1259.5
242.7,204.4,11818.6,4432.3,3340,1468.5
225.6,233.2,12124.8,4114.4,3340,1611.5
270.7,254.6,12436.4,3736.3,3340,1767.5
228.8,219.7,12805.3,3444.2,3340,1990.0
181.3,185.6,13173.4,3157.7,3340,2388.0
209.6,182.8,13510.2,2795.4,3340,2791.5
193.1,233.6,13793.4,2477.9,3340,3093.0
220.4,219.7,14140.3,2117.6,3340,3471.0
176.8,176.7,14517.3,1827.2,3340,3894.0
199.2,202.9,14825.1,1470.8,3340,4552.0
185.4,210.7,15151.3,1150.6,3340,5067.5
215.5,218.6,15477.4,786.5,3340,5678.5
233.1,252.3,15778.7,433.9,3340,6048.5
146.1,182.4,16181.6,187.9,3340,6901.5
49.2,43.3,294.7,16310.8,5009,461.0
127.9,132.9,538.1,15899.1,5009,480.5
282.1,308.7,714.3,15392.9,5009,485.5
368.0,376.2,1013.8,14940.0,5009,488.0
320.9,286.4,1400.6,14690.1,5009,490.5
164.2,178.4,1827.6,14527.8,5009,497.5
100.6,99.2,2239.8,14258.4,5009,522.0
131.8,114.7,2566.3,13885.2,5009,538.5
171.6,155.3,2854.7,13516.4,5009,550.0
331.7,386.9,2983.1,12996.3,5009,555.5
622.2,622.7,3158.3,12294.8,5009,557.5
715.1,665.4,3362.6,11954.9,5009,558.5
733.9,719.9,3686.1,11558.1,5009,560.0
686.6,704.7,4024.3,11282.4,5009,561.5
615.9,528.9,4503.1,11050.1,5009,563.5
450.8,360.6,4988.4,10898.2,5009,567.5
338.8,332.1,5363.9,10663.2,5009,574.5
256.0,243.7,5768.3,10430.0,5009,590.0
224.0,215.7,6130.3,10128.0,5009,608.0
165.2,165.4,6520.6,9846.8,5009,632.5
170.2,178.4,6837.6,9511.8,5009,650.0
160.6,157.8,7192.2,9187.4,5009,677.0
188.7,209.3,7476.7,8823.3,5009,709.0
225.2,228.7,7789.3,8454.8,5009,740.5
234.0,250.3,8099.7,8114.0,5009,772.5
258.7,250.9,8434.1,7754.3,5009,803.5
400.3,394.7,8624.3,7278.7,5009,815.0
487.8,469.8,8886.2,6854.2,5009,823.5
433.1,446.1,9242.9,6575.9,5009,832.0
346.3,308.7,9714.3,6328.7,5009,844.0
302.2,291.4,10068.6,6035.8,5009,864.5
229.1,214.6,10472.4,5781.9,5009,894.0
148.1,153.5,10867.5,5528.9,5009,984.0
165.6,156.1,11198.9,5177.4,5009,1083.0
147.5,157.5,11531.5,4861.5,5009,1259.5
207.5,176.9,11846.1,4467.5,5009,1468.5
195.6,167.4,12190.6,4144.4,5009,1611.5
215.4,222.2,12468.8,3791.6,5009,1767.5
182.8,176.7,12848.3,3490.2,5009,1990.0
194.8,154.0,13205.0,3144.2,5009,2388.0
155.0,181.0,13512.0,2850.0,5009,2791.5
154.8,164.5,13862.5,2516.2,5009,3093.0
150.9,163.4,14196.6,2187.1,5009,3471.0
145.5,169.9,14524.1,1858.5,5009,3894.0
158.3,167.7,14860.3,1511.7,5009,4552.0
153.4,169.5,15192.5,1182.6,5009,5067.5
181.5,211.3,15484.7,820.5,5009,5678.5
217.6,258.1,15771.9,450.4,5009,6048.5
114.5,143.9,16220.1,219.5,5009,6901.5
45.4,38.9,299.1,16314.6,6678,461.0
124.2,117.2,553.8,15902.8,6678,480.5
276.4,285.6,737.4,15398.6,6678,485.5
368.1,370.9,1019.1,14939.9,6678,488.0
297.1,268.7,1418.3,14713.9,6678,490.5
161.5,177.0,1829.0,14530.5,6678,497.5
103.7,93.1,2245.9,14255.3,6678,522.0
142.6,111.3,2569.7,13874.4,6678,538.5
148.8,143.0,2867.0,13539.2,6678,550.0
335.0,384.8,2985.2,12993.0,6678,555.5
603.2,613.1,3167.9,12313.8,6678,557.5
670.3,700.0,3328.0,11999.7,6678,558.5
742.0,729.2,3676.8,11550.0,6678,560.0
674.4,694.1,4034.9,11294.6,6678,561.5
582.6,532.9,4499.1,11083.4,6678,563.5
414.0,374.6,4974.4,10935.0,6678,567.5
330.2,296.4,5399.6,10671.8,6678,574.5
239.5,233.6,5778.4,10446.5,6678,590.0
220.8,215.2,6130.8,10131.2,6678,608.0
169.3,154.7,6531.3,9842.7,6678,632.5
152.8,152.7,6863.3,9529.2,6678,650.0
155.6,157.2,7192.8,9192.4,6678,677.0
189.8,196.6,7488.4,8823.2,6678,709.0
196.9,212.0,7806.0,8483.1,6678,740.5
222.3,230.9,8119.1,8125.7,6678,772.5
233.3,230.1,8454.9,7779.7,6678,803.5
381.6,382.2,8635.8,7298.4,6678,815.0
473.1,432.1,8923.9,6868.9,6678,823.5
406.1,443.2,9245.8,6602.9,6678,832.0
324.4,283.9,9739.1,6350.6,6678,844.0
276.5,271.5,10088.5,6061.5,6678,864.5
211.5,214.3,10472.7,5799.5,6678,894.0
126.5,132.8,10888.2,5550.5,6678,984.0
132.7,143.4,11211.6,5210.3,6678,1083.0
132.0,124.9,11564.1,4877.0,6678,1259.5
162.4,162.7,11860.3,4512.6,6678,1468.5
160.0,145.7,12212.3,4180.0,6678,1611.5
200.8,178.2,12512.8,3806.2,6678,1767.5
147.1,151.0,12874.0,3525.9,6678,1990.0
132.1,133.5,13225.5,3206.9,6678,2388.0
142.4,141.8,13551.2,2862.6,6678,2791.5
136.9,151.2,13875.8,2534.1,6678,3093.0
149.5,140.3,14219.7,2188.5,6678,3471.0
127.4,143.4,14550.6,1876.6,6678,3894.0
144.4,134.7,14893.3,1525.6,6678,4552.0
144.6,149.6,15212.4,1191.4,6678,5067.5
174.1,182.0,15514.0,827.9,6678,5678.5
