FN,FP,TN,TP,sr,t
0.0,2.0,0.0,101.0,2,202.93333333333302
0.0,4.0,0.0,99.0,2,204.986666666667
0.0,6.0,0.0,97.0,2,207.89
0.0,8.0,0.0,95.0,2,211.74333333333303
0.0,10.0,0.0,93.0,2,213.99666666666698
0.0,12.0,0.0,91.0,2,215.13
0.0,15.0,0.0,88.0,2,216.27
0.0,17.0,0.0,86.0,2,217.293333333333
0.0,19.0,0.0,84.0,2,218.50333333333302
0.0,21.0,0.0,82.0,2,219.62666666666698
0.0,23.0,0.0,80.0,2,221.01
0.0,25.0,0.0,78.0,2,222.52
31.9,8.8,18.2,44.1,2,224.326666666667
32.6,11.6,17.4,41.4,2,226.13
33.8,12.9,18.1,38.2,2,227.64
32.9,12.9,20.1,37.1,2,228.97333333333302
29.1,12.8,22.2,38.9,2,230.14
32.8,17.7,19.3,33.2,2,231.16
27.2,17.1,21.9,36.8,2,231.99666666666698
25.1,12.6,28.4,36.9,2,232.7
29.0,17.9,25.1,31.0,2,233.543333333333
27.1,20.8,24.2,30.9,2,234.383333333333
25.2,22.5,24.5,30.8,2,235.16333333333301
25.0,21.3,27.7,29.0,2,235.96
21.4,20.7,31.3,29.6,2,236.95
20.7,24.4,29.6,28.3,2,237.89
21.2,25.5,30.5,25.8,2,239.24333333333303
19.6,25.6,32.4,25.4,2,240.34666666666698
21.1,27.5,32.5,21.9,2,241.826666666667
18.3,24.8,37.2,22.7,2,243.52333333333303
19.1,30.7,33.3,19.9,2,245.15666666666698
17.0,33.2,32.8,20.0,2,246.37666666666698
14.9,29.9,38.1,20.1,2,247.266666666667
12.2,30.4,39.6,20.8,2,248.06333333333302
14.1,33.4,38.6,16.9,2,248.97
13.1,33.8,40.2,15.9,2,249.56333333333302
10.9,38.8,37.2,16.1,2,250.24
25.0,0.0,78.0,0.0,2,250.866666666667
23.0,0.0,80.0,0.0,2,251.516666666667
20.0,0.0,83.0,0.0,2,252.14
19.0,0.0,84.0,0.0,2,252.893333333333
16.0,0.0,87.0,0.0,2,253.983333333333
14.0,0.0,89.0,0.0,2,255.173333333333
12.0,0.0,91.0,0.0,2,256.97
10.0,0.0,93.0,0.0,2,259.5
8.0,0.0,95.0,0.0,2,261.686666666667
6.0,0.0,97.0,0.0,2,263.58333333333303
4.0,0.0,99.0,0.0,2,264.933333333333
2.0,0.0,101.0,0.0,2,266.54
0.0,2.0,0.0,101.0,12,202.93333333333302
0.0,4.0,0.0,99.0,12,204.986666666667
20.3,3.1,2.9,76.7,12,207.89
17.9,4.9,3.1,77.1,12,211.74333333333303
17.7,5.5,4.5,75.3,12,213.99666666666698
18.1,6.0,6.0,72.9,12,215.13
18.3,6.5,7.5,70.7,12,216.27
18.9,7.3,8.7,68.1,12,217.293333333333
13.6,6.2,12.8,70.4,12,218.50333333333302
12.1,7.1,13.9,69.9,12,219.62666666666698
11.3,7.5,15.5,68.7,12,221.01
11.9,11.7,13.3,66.1,12,222.52
9.0,11.9,15.1,67.0,12,224.326666666667
13.7,11.9,17.1,60.3,12,226.13
15.9,13.4,17.6,56.1,12,227.64
17.1,16.7,16.3,52.9,12,228.97333333333302
14.2,15.6,19.4,53.8,12,230.14
11.4,15.0,22.0,54.6,12,231.16
15.9,12.3,26.7,48.1,12,231.99666666666698
14.6,16.0,25.0,47.4,12,232.7
19.8,15.6,27.4,40.2,12,233.543333333333
17.1,19.2,25.8,40.9,12,234.383333333333
15.8,15.9,31.1,40.2,12,235.16333333333301
15.9,12.2,36.8,38.1,12,235.96
12.9,19.9,32.1,38.1,12,236.95
18.9,14.0,40.0,30.1,12,237.89
12.7,20.7,35.3,34.3,12,239.24333333333303
17.9,15.6,42.4,27.1,12,240.34666666666698
16.8,22.1,37.9,26.2,12,241.826666666667
14.4,25.8,36.2,26.6,12,243.52333333333303
15.3,14.4,49.6,23.7,12,245.15666666666698
17.3,12.2,53.8,19.7,12,246.37666666666698
16.4,15.7,52.3,18.6,12,247.266666666667
14.0,18.8,51.2,19.0,12,248.06333333333302
11.2,17.4,54.6,19.8,12,248.97
15.6,13.0,61.0,13.4,12,249.56333333333302
