FN,FP,MSE,TN,TP,sr,t
0.0,2.0,36.044069644012374,0.0,101.0,2,202.93333333333302
0.0,4.0,78.62785243797194,0.0,99.0,2,204.986666666667
0.0,6.0,63.0091243365694,0.0,97.0,2,207.89
0.0,8.0,44.691883894282654,0.0,95.0,2,211.74333333333303
0.0,10.0,63.391286990291405,0.0,93.0,2,213.99666666666698
0.0,12.0,64.10626732470446,0.0,91.0,2,215.13
0.0,15.0,37.44697436893202,0.0,88.0,2,216.27
0.0,17.0,41.67193800431532,0.0,86.0,2,217.293333333333
0.0,19.0,45.670987799352886,0.0,84.0,2,218.50333333333302
0.0,21.0,26.03970728155361,0.0,82.0,2,219.62666666666698
0.0,23.0,67.11678285868364,0.0,80.0,2,221.01
0.0,25.0,29.143256019417585,0.0,78.0,2,222.52
35.3,11.9,60.103501272922486,15.1,40.7,2,224.326666666667
30.5,9.7,76.13811193095961,19.3,43.5,2,226.13
35.5,14.2,63.19111535059203,16.8,36.5,2,227.64
32.3,12.5,34.91079463861935,20.5,37.7,2,228.97333333333302
29.7,13.2,29.113872459546883,21.8,38.3,2,230.14
31.1,16.2,51.01163032362433,20.8,34.9,2,231.16
30.8,18.0,46.30799720604078,21.0,33.2,2,231.99666666666698
26.8,15.6,42.48746230852205,25.4,35.2,2,232.7
28.6,17.8,53.056025792880476,25.2,31.4,2,233.543333333333
27.7,21.8,28.36271995685009,23.2,30.3,2,234.383333333333
22.0,17.1,31.605782513484122,29.9,34.0,2,235.16333333333301
23.4,20.6,67.27394145631139,28.4,30.6,2,235.96
22.4,25.5,40.34988861920188,26.5,28.6,2,236.95
24.2,26.5,76.61968218985982,27.5,24.8,2,237.89
18.2,23.1,41.583698586839,32.9,28.8,2,239.24333333333303
19.5,26.6,47.44071300970859,31.4,25.5,2,240.34666666666698
17.6,27.1,51.83548088457367,32.9,25.4,2,241.826666666667
16.7,25.5,144.03317954692642,36.5,24.3,2,243.52333333333303
17.9,31.2,57.156313451995366,32.8,21.1,2,245.15666666666698
17.5,31.1,39.21903326860833,34.9,19.5,2,246.37666666666698
16.6,34.5,42.51876242718487,33.5,18.4,2,247.266666666667
10.8,31.3,66.47095610571769,38.7,22.2,2,248.06333333333302
12.5,32.5,26.614457551240292,39.5,18.5,2,248.97
14.0,34.6,55.46218447680748,39.4,15.0,2,249.56333333333302
13.1,37.2,43.68930938511268,38.8,13.9,2,250.24
25.0,0.0,42.54935604099266,78.0,0.0,2,250.866666666667
23.0,0.0,86.39322443365671,80.0,0.0,2,251.516666666667
20.0,0.0,22.501795048543663,83.0,0.0,2,252.14
19.0,0.0,30.759118899676974,84.0,0.0,2,252.893333333333
16.0,0.0,43.94350814455176,87.0,0.0,2,253.983333333333
14.0,0.0,50.65280090614827,89.0,0.0,2,255.173333333333
12.0,0.0,48.1467408090608,91.0,0.0,2,256.97
10.0,0.0,45.17279417475704,93.0,0.0,2,259.5
8.0,0.0,80.08326898597595,95.0,0.0,2,261.686666666667
6.0,0.0,63.84384822006406,97.0,0.0,2,263.58333333333303
4.0,0.0,39.127571704422884,99.0,0.0,2,264.933333333333
2.0,0.0,73.05769507011851,101.0,0.0,2,266.54
0.0,2.0,34.810572146709916,0.0,101.0,12,202.93333333333302
0.0,4.0,20.411473786407875,0.0,99.0,12,204.986666666667
8.2,3.0,27.10670872707663,3.0,88.8,12,207.89
10.9,4.8,20.773833969795,3.2,84.1,12,211.74333333333303
9.6,5.1,25.605052168284754,4.9,83.4,12,213.99666666666698
8.8,7.8,28.89433805825248,4.2,82.2,12,215.13
12.8,7.2,15.750749989212599,6.8,76.2,12,216.27
14.5,9.1,37.633621477885235,6.9,72.5,12,217.293333333333
11.0,9.3,43.57626175836064,9.7,73.0,12,218.50333333333302
7.3,8.0,25.897781100323748,13.0,74.7,12,219.62666666666698
11.0,10.3,25.452183484358173,12.7,69.0,12,221.01
11.6,9.2,47.48088418554487,15.8,66.4,12,222.52
13.5,11.0,16.650633505933136,16.0,62.5,12,224.326666666667
11.9,12.1,49.33341738942791,16.9,62.1,12,226.13
16.4,10.8,26.76855667745456,20.2,55.6,12,227.64
9.8,15.8,40.703327108953786,17.2,60.2,12,228.97333333333302
13.4,15.9,38.24018695792865,19.1,54.6,12,230.14
18.8,10.4,13.188517001078713,26.6,47.2,12,231.16
13.1,14.7,45.94818413160726,24.3,50.9,12,231.99666666666698
17.7,11.2,29.367756299892392,29.8,44.3,12,232.7
14.0,12.6,41.21116084142459,30.4,46.0,12,233.543333333333
13.6,13.3,33.836225307443094,31.7,44.4,12,234.383333333333
14.8,16.8,24.367101229773397,30.2,41.2,12,235.16333333333301
14.7,13.0,14.52526007551231,36.0,39.3,12,235.96
16.0,15.1,28.607238414239056,36.9,35.0,12,236.95
12.7,18.8,29.217179546925223,35.2,36.3,12,237.89
19.4,13.2,33.67862272923422,42.8,27.6,12,239.24333333333303
17.7,9.4,37.53091827400211,48.6,27.3,12,240.34666666666698
17.0,18.4,23.203675523193304,41.6,26.0,12,241.826666666667
