FN,FP,TN,TP,sr,t
0.0,9.0,0.0,447.0,2,13.1294382646089
0.0,18.0,0.0,438.0,2,13.248845435908802
0.0,27.0,0.0,429.0,2,13.350736141445198
0.0,37.0,0.0,419.0,2,13.4256699767273
0.0,46.0,0.0,410.0,2,13.502753092236302
0.0,55.0,0.0,401.0,2,13.566142096602302
0.0,64.0,0.0,392.0,2,13.631731378412
0.0,73.0,0.0,383.0,2,13.6872533298314
0.0,82.0,0.0,374.0,2,13.754294302313198
0.0,91.0,0.0,365.0,2,13.803859817649501
0.0,100.0,0.0,356.0,2,13.853952498780501
0.0,110.0,0.0,346.0,2,13.9030329713633
198.4,46.8,72.2,138.6,2,13.9503183980703
136.4,74.1,53.9,191.6,2,13.9911502177275
147.1,75.5,61.5,171.9,2,14.032251164870901
181.2,60.4,85.6,128.8,2,14.074367847509599
172.4,67.5,87.5,128.6,2,14.1140590760231
109.4,99.3,64.7,182.6,2,14.1551203870377
152.0,76.2,96.8,131.0,2,14.1917243825412
95.0,122.1,59.9,179.0,2,14.233252060704999
119.8,103.8,88.2,144.2,2,14.279890291198699
180.8,60.1,140.9,74.2,2,14.322581955703301
119.2,108.4,101.6,126.8,2,14.355446072305801
136.2,86.3,132.7,100.8,2,14.402497253903
129.3,98.6,129.4,98.7,2,14.440960814602402
95.7,133.7,103.3,123.3,2,14.473842463325699
98.0,132.7,113.3,112.0,2,14.5112910871316
102.9,123.4,131.6,98.1,2,14.5490328752619
100.1,116.8,148.2,90.9,2,14.589562095354
103.7,117.7,156.3,78.3,2,14.6307274187917
95.2,117.7,165.3,77.8,2,14.6710168110623
58.7,173.9,118.1,105.3,2,14.7150483778064
51.6,194.0,107.0,103.4,2,14.7674185348802
46.9,205.1,104.9,99.1,2,14.822820257783698
45.3,203.4,115.6,91.7,2,14.8784780444677
46.9,202.6,125.4,81.1,2,14.9348176786098
62.2,162.2,175.8,55.8,2,15.0114552104085
109.0,0.0,347.0,0.0,2,15.0834709410096
100.0,0.0,356.0,0.0,2,15.1430637449416
91.0,0.0,365.0,0.0,2,15.222434323308498
82.0,0.0,374.0,0.0,2,15.2922975117361
73.0,0.0,383.0,0.0,2,15.361233418555601
64.0,0.0,392.0,0.0,2,15.434046376845801
55.0,0.0,401.0,0.0,2,15.5338762997156
46.0,0.0,410.0,0.0,2,15.637958571596501
36.0,0.0,420.0,0.0,2,15.7603096711629
27.0,0.0,429.0,0.0,2,15.8986811211355
18.0,0.0,438.0,0.0,2,16.013578990288302
9.0,0.0,447.0,0.0,2,16.1843967592701
19.4,8.0,1.0,427.6,47,13.1294382646089
20.6,15.3,2.7,417.4,47,13.248845435908802
35.8,24.6,2.4,393.2,47,13.350736141445198
36.1,31.2,5.8,382.9,47,13.4256699767273
34.7,41.0,5.0,375.3,47,13.502753092236302
55.1,45.0,10.0,345.9,47,13.566142096602302
62.2,49.0,15.0,329.8,47,13.631731378412
71.2,56.5,16.5,311.8,47,13.6872533298314
73.9,62.4,19.6,300.1,47,13.754294302313198
65.1,70.6,20.4,299.9,47,13.803859817649501
92.9,67.0,33.0,263.1,47,13.853952498780501
93.1,73.0,36.0,253.9,47,13.9030329713633
87.1,79.4,39.6,249.9,47,13.9503183980703
94.0,88.5,39.5,234.0,47,13.9911502177275
110.2,80.4,56.6,208.8,47,14.032251164870901
