FN,FP,MSE,TN,TP,sr,t
0.0,9.0,0.14626582620630774,0.0,447.0,2,13.1294382646089
0.0,18.0,0.09481699672522974,0.0,438.0,2,13.248845435908802
0.0,27.0,0.10555698466343677,0.0,429.0,2,13.350736141445198
0.0,37.0,0.06283022623927403,0.0,419.0,2,13.4256699767273
0.0,46.0,0.247207725528949,0.0,410.0,2,13.502753092236302
0.0,55.0,0.13339408195166197,0.0,401.0,2,13.566142096602302
0.0,64.0,0.09669323075424534,0.0,392.0,2,13.631731378412
0.0,73.0,0.07838030205722124,0.0,383.0,2,13.6872533298314
0.0,82.0,0.09003378758214833,0.0,374.0,2,13.754294302313198
0.0,91.0,0.06868690144087432,0.0,365.0,2,13.803859817649501
0.0,100.0,0.07829503563540806,0.0,356.0,2,13.853952498780501
0.0,110.0,0.07788088095039981,0.0,346.0,2,13.9030329713633
196.3,49.9,0.11265217813467003,69.1,140.7,2,13.9503183980703
203.4,48.0,0.06977275882271672,80.0,124.6,2,13.9911502177275
174.5,63.9,0.16132296721757672,73.1,144.5,2,14.032251164870901
187.2,56.8,0.07424819635176018,89.2,122.8,2,14.074367847509599
149.9,77.1,0.08167101787188581,77.9,151.1,2,14.1140590760231
72.1,119.2,0.08562543116857138,44.8,219.9,2,14.1551203870377
168.1,69.9,0.08126731183832754,103.1,114.9,2,14.1917243825412
156.8,84.4,0.31505511013340304,97.6,117.2,2,14.233252060704999
118.3,100.1,0.08712733383999015,91.9,145.7,2,14.279890291198699
126.9,101.9,0.07177632366322442,99.1,128.1,2,14.322581955703301
111.8,120.4,0.15091196466403553,89.6,134.2,2,14.355446072305801
129.6,98.6,0.0774432775168059,120.4,107.4,2,14.402497253903
145.1,87.4,0.08516457548040704,140.6,82.9,2,14.440960814602402
123.8,108.3,0.12739500457864356,128.7,95.2,2,14.473842463325699
108.6,119.1,0.1461803508308063,126.9,101.4,2,14.5112910871316
67.8,157.7,0.08753829511329378,97.3,133.2,2,14.5490328752619
100.5,121.3,0.10455856949657727,143.7,90.5,2,14.589562095354
91.8,126.5,0.13192943488833267,147.5,90.2,2,14.6307274187917
79.0,152.2,0.08411586674451232,130.8,94.0,2,14.6710168110623
66.2,157.2,0.18036471781144042,134.8,97.8,2,14.7150483778064
92.5,128.8,0.2024313863364823,172.2,62.5,2,14.7674185348802
83.3,131.5,0.09486422519847812,178.5,62.7,2,14.822820257783698
52.8,193.9,0.09784405149110913,125.1,84.2,2,14.8784780444677
