FN,FP,MSE,TN,TP,sr
14.5,14.9,0.005425972838103059,362.1,21.5,101
7.8,10.1,0.00308309116970078,366.9,28.2,201
7.8,10.7,0.0027633225467239776,366.3,28.2,301
8.3,6.3,0.0025980336935404634,370.7,27.7,401
6.9,8.1,0.0022040687650119015,368.9,29.1,501
8.4,6.2,0.0018217462142027876,370.8,27.6,601
9.6,9.8,0.003115503385398475,367.2,26.4,701
8.0,4.9,0.003050291371811942,372.1,28.0,801
7.7,6.6,0.002016923526259655,370.4,28.3,901
8.4,5.3,0.0020587980315388134,371.7,27.6,1001
6.2,4.8,0.0008659941437057294,372.2,29.8,1101
9.6,5.4,0.002127273722525489,371.6,26.4,1201
7.1,6.4,0.0023356364904361304,370.6,28.9,1301
8.3,5.9,0.0013219103748028443,371.1,27.7,1401
6.2,7.2,0.0025323759978432827,369.8,29.8,1501
8.3,6.4,0.0024165265750238133,370.6,27.7,1601
7.2,6.9,0.0026850284644392274,370.1,28.8,1701
6.8,5.4,0.001443748662171611,371.6,29.2,1801
7.6,5.9,0.001201230311220989,371.1,28.4,1901
5.3,6.5,0.002750681430170974,370.5,30.7,2001
5.2,5.6,0.0018366054353888457,371.4,30.8,2101
6.3,5.0,0.0020183471036028322,372.0,29.7,2201
6.0,5.0,0.0011733765643377435,372.0,30.0,2301
5.1,4.3,0.0009491874276494601,372.7,30.9,2401
5.0,5.7,0.0014925030905060615,371.3,31.0,2501
6.8,6.4,0.0009368400305883558,370.6,29.2,2601
5.9,4.2,0.0011601247534369183,372.8,30.1,2701
5.7,7.7,0.001287649465749234,369.3,30.3,2801
5.8,5.8,0.001867863818176135,371.2,30.2,2901
5.2,4.8,0.0010607391007668697,372.2,30.8,3001
5.2,5.2,0.001124873240132909,371.8,30.8,3101
4.8,4.5,0.0012431080942877574,372.5,31.2,3201
6.0,6.0,0.0017302801101770544,371.5,29.5,3301
6.1,3.3,0.0011279763719950699,373.7,29.9,3401
5.0,5.3,0.0014035154312780085,371.7,31.0,3501
5.1,4.4,0.0013263028442598538,373.6,29.9,3601
4.5,4.2,0.0019883492291859354,372.8,31.5,3701
