FN,FP,TN,TP,sr
12.7,7.4,369.6,23.3,101
12.9,8.1,368.9,23.1,201
12.6,6.8,370.2,23.4,301
10.2,9.1,367.9,25.8,401
9.3,9.5,367.5,26.7,501
9.4,8.7,368.3,26.6,601
9.9,7.2,369.8,26.1,701
8.1,6.6,370.4,27.9,801
7.2,5.6,371.4,28.8,901
7.6,5.2,371.8,28.4,1001
9.1,5.8,371.2,26.9,1101
9.7,4.9,372.1,26.3,1201
8.1,5.0,372.0,27.9,1301
7.0,6.5,370.5,29.0,1401
7.5,7.5,369.5,28.5,1501
6.8,5.7,371.3,29.2,1601
8.1,5.6,371.4,27.9,1701
6.5,4.5,372.5,29.5,1801
5.9,7.5,369.5,30.1,1901
6.2,4.8,372.2,29.8,2001
5.2,5.9,371.1,30.8,2101
6.0,4.8,372.2,30.0,2201
7.8,5.6,371.4,28.2,2301
7.4,4.3,372.7,28.6,2401
6.5,5.9,371.1,29.5,2501
7.5,4.4,372.6,28.5,2601
6.1,5.1,371.9,29.9,2701
6.0,3.7,373.3,30.0,2801
6.1,3.8,373.2,29.9,2901
6.0,4.3,372.7,30.0,3001
6.1,6.2,370.8,29.9,3101
7.1,3.8,373.2,28.9,3201
6.3,3.7,373.7,29.3,3301
5.6,4.4,372.6,30.4,3401
5.7,3.6,373.4,30.3,3501
5.9,4.9,373.1,29.1,3601
5.6,4.4,372.6,30.4,3701
