class_weight,criterion,file,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,random_state,results,splitter
,entropy,dataset,,,10,1e-07,1,2,0.0,False,,./data2/video-0001-classification.csv,best
,mse,dataset,,,10,1e-07,1,2,0.0,False,,./data2/video-0001-regression.csv,best
,entropy,dataset,,,10,1e-07,2,2,0.0,False,,./data2/video-0002-classification.csv,best
,mse,dataset,,,10,1e-07,2,2,0.0,False,,./data2/video-0002-regression.csv,best
,entropy,dataset,,,10,1e-07,4,2,0.0,False,,./data2/video-0003-classification.csv,best
,mse,dataset,,,10,1e-07,4,2,0.0,False,,./data2/video-0003-regression.csv,best
,entropy,dataset,,,10,1e-07,6,2,0.0,False,,./data2/video-0004-classification.csv,best
,mse,dataset,,,10,1e-07,6,2,0.0,False,,./data2/video-0004-regression.csv,best
,entropy,dataset,,,10,1e-07,8,2,0.0,False,,./data2/video-0005-classification.csv,best
,mse,dataset,,,10,1e-07,8,2,0.0,False,,./data2/video-0005-regression.csv,best
,entropy,dataset,,,10,1e-07,10,2,0.0,False,,./data2/video-0006-classification.csv,best
,mse,dataset,,,10,1e-07,10,2,0.0,False,,./data2/video-0006-regression.csv,best
,entropy,dataset,,,20,1e-07,1,2,0.0,False,,./data2/video-0007-classification.csv,best
,mse,dataset,,,20,1e-07,1,2,0.0,False,,./data2/video-0007-regression.csv,best
,entropy,dataset,,,20,1e-07,2,2,0.0,False,,./data2/video-0008-classification.csv,best
,mse,dataset,,,20,1e-07,2,2,0.0,False,,./data2/video-0008-regression.csv,best
,entropy,dataset,,,20,1e-07,4,2,0.0,False,,./data2/video-0009-classification.csv,best
,mse,dataset,,,20,1e-07,4,2,0.0,False,,./data2/video-0009-regression.csv,best
,entropy,dataset,,,20,1e-07,6,2,0.0,False,,./data2/video-0010-classification.csv,best
,mse,dataset,,,20,1e-07,6,2,0.0,False,,./data2/video-0010-regression.csv,best
,entropy,dataset,,,20,1e-07,8,2,0.0,False,,./data2/video-0011-classification.csv,best
,mse,dataset,,,20,1e-07,8,2,0.0,False,,./data2/video-0011-regression.csv,best
,entropy,dataset,,,20,1e-07,10,2,0.0,False,,./data2/video-0012-classification.csv,best
,mse,dataset,,,20,1e-07,10,2,0.0,False,,./data2/video-0012-regression.csv,best
,entropy,dataset,,,30,1e-07,1,2,0.0,False,,./data2/video-0013-classification.csv,best
,mse,dataset,,,30,1e-07,1,2,0.0,False,,./data2/video-0013-regression.csv,best
,entropy,dataset,,,30,1e-07,2,2,0.0,False,,./data2/video-0014-classification.csv,best
,mse,dataset,,,30,1e-07,2,2,0.0,False,,./data2/video-0014-regression.csv,best
,entropy,dataset,,,30,1e-07,4,2,0.0,False,,./data2/video-0015-classification.csv,best
,mse,dataset,,,30,1e-07,4,2,0.0,False,,./data2/video-0015-regression.csv,best
,entropy,dataset,,,30,1e-07,6,2,0.0,False,,./data2/video-0016-classification.csv,best
,mse,dataset,,,30,1e-07,6,2,0.0,False,,./data2/video-0016-regression.csv,best
,entropy,dataset,,,30,1e-07,8,2,0.0,False,,./data2/video-0017-classification.csv,best
,mse,dataset,,,30,1e-07,8,2,0.0,False,,./data2/video-0017-regression.csv,best
,entropy,dataset,,,30,1e-07,10,2,0.0,False,,./data2/video-0018-classification.csv,best
,mse,dataset,,,30,1e-07,10,2,0.0,False,,./data2/video-0018-regression.csv,best
,entropy,dataset,,,40,1e-07,1,2,0.0,False,,./data2/video-0019-classification.csv,best
,mse,dataset,,,40,1e-07,1,2,0.0,False,,./data2/video-0019-regression.csv,best
